programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024
Java,10.51,728,6153528.08741731,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Lampung', 'Jakarta', 'Central Java', 'South Sulawesi', 'Banten', 'North Sumatra', 'South Sumatra']",103000,6800,1577.0,13,202
JavaScript,3.54,1111,6168157.003505131,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",118000,11400,2134.0,18,474
Dart,0.56,32,6250160.575302064,"['West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",945,877,170.0,0,129
Node.js,0.0,450,5596209.021148038,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",34000,-1,399.0,4,291
PHP,1.21,505,5762279.073145573,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",123000,8600,1445.0,16,272
Visual Basic,2.35,234,7144311.004662363,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",32000,0,714.0,7,0
MySQL,0.0,511,5282098.994573214,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra']",129000,-1,985.0,43,380
TypeScript,0.32,211,6615735.536738093,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra', 'West Papua']",14000,1600,-1.0,10,284
SQL,1.64,793,6759264.31838862,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",143000,6,708.0,54,390
PostgreSQL,0.0,365,5041078.898883171,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",36000,-1,277.0,23,399
Flow,0.0,120,9290698.169868832,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten', 'West Papua']",0,-1,-1.0,0,0
CHAIN,0.0,64,15192250.868864454,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
Z++,0.0,99,11847031.221049825,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
FOCUS,0.0,326,8253786.878237909,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",0,-1,-1.0,0,0
Python,21.9,675,6328999.928444785,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",113000,6100,2736.0,86,311
kernel,0.0,1,34507957.0,['Jakarta'],0,-1,-1.0,27,0
Address,0.0,141,6299805.372725985,"['East Kalimantan', 'West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten']",0,-1,-1.0,0,0
ASP.NET,0.0,84,5711475.593743629,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'West Papua']",12000,8,16.0,6,63
C#,5.62,225,6280696.306146191,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",32000,1200,310.0,34,146
JS++,0.0,181,5600773.319669451,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,-1,-1.0,0,0
C,8.38,362,5928978.561136166,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",25000,1200,1252.0,41,120
GraphQL,0.0,62,5751854.840652354,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",4200,-1,-1.0,1,0
Go,2.02,211,7847129.7347823875,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",15000,1000,28.0,30,249
Ada,0.73,71,7701312.460197072,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,0,100.0,0,11
Ruby,0.99,112,7351875.455507939,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",3500,1100,330.0,2,42
MariaDB,0.0,24,5157964.20480754,"['Bali', 'Jakarta']",2600,-1,85.0,78,204
Scheme,0.05,6,11844474.673449611,"['Bali', 'Yogyakarta', 'East Java']",0,1,-1.0,0,0
Expect,0.0,33,17920520.2997776,"['East Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
Copilot,0.0,8,10416144.382139197,[],0,-1,-1.0,0,0
Solidity,0.27,4,9521067.869493987,"['Central Java', 'Jakarta']",1000,78,68.0,10,19
solid,0.0,338,6382359.167111682,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
pipelines,0.0,244,5560387.992877893,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
RAPID,0.0,31,5498341.381929189,"['West Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,0
NPL,0.0,1,11004708.625,['East Java'],0,-1,-1.0,0,0
april,0.0,3,4708513.986111111,['Jakarta'],0,-1,-1.0,0,0
flagship,0.0,11,6203420.772235206,"['Bali', 'East Java', 'West Java', 'Jakarta']",0,-1,-1.0,0,0
Swift,0.98,96,6856960.628534172,"['East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",4600,271,95.0,0,49
Small,0.0,72,13011626.419631569,"['West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",0,-1,-1.0,0,0
Kotlin,0.97,117,6101024.9262127,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",8300,1100,326.0,11,135
Simplicity,0.0,5,10856018.1374031,"['Bali', 'Jakarta']",0,-1,-1.0,0,0
Perl,0.56,18,7126649.348725472,"['East Kalimantan', 'Central Java', 'Jakarta']",1200,42,171.0,1,14
C++,11.6,118,5903931.743223736,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",58000,2500,2039.0,69,146
Scratch,1.41,25,6819342.410831299,"['Jakarta', 'East Java', 'Banten', 'West Java']",1000,-1,4784.0,60,0
R,1.09,148,8115521.460633558,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",21000,301,3071.0,35,41
F,0.0,14,15115687.341627616,"['Bali', 'Central Java', 'East Java', 'Jakarta']",0,-1,-1.0,0,0
Rust,1.45,27,8891196.888704723,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",856,101,188.0,6,152
Groovy,0.05,10,10062850.58605517,['Jakarta'],435,44,-1.0,1,16
Scala,0.64,36,6069870.496656338,"['Bali', 'West Java', 'Jakarta']",584,16,69.0,2,18
Revolution,0.0,61,3054643.915108728,"['South Kalimantan', 'Riau', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",0,-1,-1.0,0,0
MATLAB,1.48,17,5764911.548656295,"['Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",34000,109,463.0,48,29
Apex,0.05,11,7816074.484489086,"['East Java', 'Banten', 'Jakarta']",0,-1,-1.0,0,9
Click,0.0,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']",0,0,-1.0,0,0
