Month,C_tiobe,C_wiki,C_gtrend,C_tiobe_label,C_wiki_label,C_gtrend_label
2015-07,16.15,576,41,high,low,high
2015-08,14.73,714,40,medium,medium,high
2015-09,15.62,673,49,high,low,high
2015-10,16.19,768,54,high,medium,high
2015-11,17.15,752,49,high,medium,high
2015-12,16.46,605,47,high,low,high
2016-01,16.04,716,39,high,medium,high
2016-02,15.59,594,37,high,low,high
2016-03,14.6,588,43,medium,low,high
2016-04,13.91,669,40,medium,low,high
2016-05,13.22,632,39,medium,low,high
2016-06,12.38,555,32,medium,low,medium
2016-07,12.24,659,34,medium,low,medium
2016-08,11.3,720,34,low,medium,medium
2016-09,10.95,1056,40,low,medium,high
2016-10,9.84,1095,45,low,medium,high
2016-11,9.2,1081,41,low,medium,high
2016-12,8.73,1086,37,low,medium,high
2017-01,9.35,1298,36,low,high,high
2017-02,8.44,1125,34,low,medium,medium
2017-03,7.74,1180,35,low,high,high
2017-04,6.97,1174,33,low,high,medium
2017-05,7.0,1008,29,low,medium,low
2017-06,6.85,942,31,low,medium,medium
2017-07,7.32,1400,29,low,high,low
2017-08,6.48,1509,28,low,high,low
2017-09,7.38,1458,34,low,high,medium
2017-10,8.37,1344,38,low,high,high
2017-11,9.29,1120,35,low,medium,high
2017-12,10.16,1105,33,low,medium,medium
2018-01,11.04,1789,24,low,high,low
2018-02,11.86,2029,11,medium,high,low
2018-03,12.76,2701,14,medium,high,low
2018-04,13.59,3014,12,medium,high,low
2018-05,14.0,4000,11,medium,high,low
2018-06,14.94,4090,6,high,high,low
2018-07,14.66,3357,6,medium,high,low
2018-08,14.97,2735,11,high,high,low
2018-09,15.45,2179,16,high,high,low
2018-10,15.38,1396,18,high,high,low
2018-11,14.4,1183,28,medium,high,low
2018-12,14.28,654,33,medium,low,medium
2019-01,13.34,677,32,medium,low,medium
2019-02,12.42,589,31,medium,low,medium
2019-03,13.31,694,34,medium,low,medium
2019-04,14.08,792,34,medium,medium,medium
2019-05,14.24,628,31,medium,low,medium
2019-06,13.3,616,28,medium,low,low
2019-07,14.21,733,27,medium,medium,low
2019-08,15.15,800,26,high,medium,low
2019-09,15.21,906,32,high,medium,medium
2019-10,16.18,1012,35,high,medium,high
2019-11,16.04,1138,35,high,high,high
2019-12,16.09,720,30,high,medium,medium
2020-01,15.77,706,25,high,low,low
2020-02,16.77,677,27,high,low,low
2020-03,16.33,865,31,high,medium,medium
2020-04,16.72,907,30,high,medium,medium
2020-05,17.07,632,28,high,low,low
2020-06,17.19,618,26,high,low,low
2020-07,16.45,711,25,high,low,low
2020-08,16.98,831,25,high,medium,low
2020-09,15.95,1047,28,high,medium,low
2020-10,16.95,917,30,high,medium,medium
2020-11,16.21,727,30,high,medium,medium
2020-12,16.48,640,29,high,low,low
2021-01,17.38,589,25,high,low,low
2021-02,16.34,683,29,high,low,low
2021-03,15.33,614,30,high,low,medium
2021-04,14.32,490,24,medium,low,low
2021-05,13.38,434,23,medium,low,low
2021-06,12.54,476,28,medium,low,low
2021-07,11.63,602,21,low,low,low
2021-08,12.57,643,25,medium,low,low
2021-09,11.83,632,32,medium,low,medium
2021-10,11.16,707,35,low,low,high
2021-11,10.72,556,36,low,low,high
2021-12,11.8,585,32,medium,low,medium
2022-01,12.44,508,32,medium,low,medium
2022-02,14.08,431,34,medium,low,medium
2022-03,13.06,515,40,medium,low,high
2022-04,12.71,1118,32,medium,medium,medium
2022-05,11.59,1970,30,low,high,medium
2022-06,11.91,1752,30,medium,high,medium
2022-07,13.13,1703,23,medium,high,low
2022-08,14.76,1496,29,high,high,low
2022-09,13.96,1433,39,medium,high,high
2022-10,15.21,1755,42,high,high,high
2022-11,15.08,1930,45,high,high,high
2022-12,16.56,601,34,high,low,medium
2023-01,16.26,937,34,high,medium,medium
2023-02,15.39,1815,39,high,high,high
2023-03,14.73,1407,45,medium,high,high
2023-04,14.41,2112,31,medium,high,medium
2023-05,13.35,6579,49,medium,high,high
2023-06,12.37,6616,35,medium,high,high
2023-07,11.56,3893,23,low,high,low
2023-08,11.41,2037,26,low,high,low
2023-09,11.27,1459,34,low,high,medium
2023-10,12.08,1551,36,medium,high,high
2023-11,11.77,1017,35,low,medium,high
2023-12,11.44,892,30,low,medium,medium
2024-01,11.44,1009,26,low,medium,low
2024-02,10.97,753,31,low,medium,medium
2024-03,11.17,795,34,low,medium,medium
2024-04,10.21,772,33,low,medium,medium
2024-05,9.98,907,35,low,medium,high
2024-06,9.23,1000,32,low,medium,medium
2024-07,9.48,1194,28,low,high,low
2024-08,9.17,1089,32,low,medium,medium
2024-09,8.89,1273,38,low,high,high
2024-10,8.38,1252,41,low,high,high
