Month,C++_tiobe,C++_wiki,C++_gtrend,C++_tiobe_label,C++_wiki_label,C++_gtrend_label
2015-07,8.64,1969,37,high,low,low
2015-08,7.74,4130,44,high,low,low
2015-09,6.78,5996,71,low,high,high
2015-10,5.75,6303,100,low,high,high
2015-11,6.2,5071,88,low,high,high
2015-12,5.94,4112,66,low,low,high
2016-01,6.91,4485,52,low,low,high
2016-02,6.91,3499,51,low,low,high
2016-03,6.72,4890,68,low,low,high
2016-04,5.92,4130,61,low,low,high
2016-05,6.7,3999,57,low,low,high
2016-06,6.2,2775,43,low,low,low
2016-07,6.31,2814,26,low,low,low
2016-08,5.8,5001,38,low,high,low
2016-09,6.66,6979,57,low,high,high
2016-10,5.8,7290,92,low,high,high
2016-11,5.41,5378,69,low,high,high
2016-12,5.34,4523,58,low,low,high
2017-01,6.3,4562,49,low,low,high
2017-02,5.43,3701,47,low,low,low
2017-03,5.18,4726,61,low,low,high
2017-04,4.55,4575,65,low,low,high
2017-05,4.75,4130,51,low,low,high
2017-06,5.72,2956,45,low,low,low
2017-07,5.58,4542,30,low,low,low
2017-08,5.55,6674,38,low,high,low
2017-09,5.56,8163,54,low,high,high
2017-10,5.01,8513,85,low,high,high
2017-11,5.34,6639,75,low,high,high
2017-12,4.72,5181,56,low,high,high
2018-01,5.6,5011,43,low,high,low
2018-02,5.73,3628,45,low,low,low
2018-03,6.45,5219,50,low,high,high
2018-04,7.22,4101,53,low,low,high
2018-05,7.67,4115,46,high,low,low
2018-06,8.34,2163,25,high,low,low
2018-07,7.62,3950,30,high,low,low
2018-08,7.47,5414,33,high,high,low
2018-09,7.39,7221,59,high,high,high
2018-10,7.59,7171,85,high,high,high
2018-11,8.28,5417,77,high,high,high
2018-12,7.56,4397,59,high,low,high
2019-01,8.16,4955,46,high,high,low
2019-02,7.44,4014,45,high,low,low
2019-03,8.13,5569,55,high,high,high
2019-04,8.84,4008,53,high,low,high
2019-05,8.1,0,47,high,low,low
2019-06,7.38,2279,33,low,low,low
2019-07,6.7,4664,36,low,low,low
2019-08,6.06,6297,35,low,high,low
2019-09,5.64,9392,81,low,high,high
2019-10,6.23,9571,100,low,high,high
2019-11,5.6,8053,86,low,high,high
2019-12,6.2,6440,57,low,high,high
2020-01,5.57,7177,57,low,high,high
2020-02,6.16,5898,48,low,high,high
2020-03,6.79,7983,60,low,high,high
2020-04,6.78,6300,54,low,high,high
2020-05,6.13,4745,46,low,low,low
2020-06,5.95,8595,41,low,high,low
2020-07,6.21,3713,31,low,low,low
2020-08,6.84,4856,25,low,low,low
2020-09,7.11,8491,35,low,high,low
2020-10,6.94,12096,46,low,high,low
2020-11,7.6,12402,44,high,high,low
2020-12,6.91,11535,42,low,high,low
2021-01,7.56,6742,35,high,high,low
2021-02,6.88,3952,32,low,low,low
2021-03,6.52,6302,36,low,high,low
2021-04,7.14,3337,38,low,low,low
2021-05,7.81,2431,29,high,low,low
2021-06,7.36,4702,33,low,low,low
2021-07,8.02,5525,24,high,high,low
2021-08,7.36,6529,23,low,high,low
2021-09,7.13,10131,33,low,high,low
2021-10,7.5,8835,41,high,high,low
2021-11,8.28,7111,44,high,high,low
2021-12,7.73,7503,35,high,high,low
2022-01,8.29,6309,54,high,high,high
2022-02,8.01,6568,53,high,high,high
2022-03,8.66,7744,80,high,high,high
2022-04,8.28,5779,66,high,high,high
2022-05,8.83,4286,52,high,low,high
2022-06,9.63,5101,51,high,high,high
2022-07,10.0,5990,33,high,high,low
2022-08,10.14,7134,36,high,high,low
2022-09,9.76,11275,66,high,high,high
2022-10,9.92,14671,85,high,high,high
2022-11,10.75,12713,82,high,high,high
2022-12,11.94,10576,61,high,high,high
2023-01,12.91,8087,51,high,high,high
2023-02,13.94,6231,51,high,high,high
2023-03,13.29,6435,61,high,high,high
2023-04,12.96,2989,36,high,low,low
2023-05,11.96,3443,49,high,low,high
2023-06,11.36,3089,35,high,low,low
2023-07,10.8,3126,28,high,low,low
2023-08,10.63,3611,39,high,low,low
2023-09,10.65,2695,61,high,low,high
2023-10,10.67,2562,66,high,low,high
2023-11,10.36,2215,64,high,low,high
2023-12,10.01,2037,39,high,low,low
2024-01,9.96,1474,34,high,low,low
2024-02,10.53,1392,38,high,low,low
2024-03,10.7,2290,43,high,low,low
2024-04,9.76,1411,36,high,low,low
2024-05,9.53,2248,45,high,low,low
2024-06,10.03,1438,31,high,low,low
2024-07,10.34,1306,29,high,low,low
2024-08,10.04,1879,44,high,low,low
2024-09,10.75,2131,63,high,low,high
2024-10,11.6,2039,69,high,low,high
