Month,Java_tiobe,Java_wiki,Java_gtrend,Java_tiobe_label,Java_wiki_label,Java_gtrend_label
2015-07,17.73,2977,100,high,low,high
2015-08,19.27,4984,84,high,high,high
2015-09,19.56,6450,83,high,high,high
2015-10,19.54,6561,85,high,high,high
2015-11,20.4,5726,86,high,high,high
2015-12,20.97,5070,91,high,high,high
2016-01,21.47,5233,78,high,high,high
2016-02,21.14,4427,73,high,high,high
2016-03,20.53,6123,77,high,high,high
2016-04,20.85,5023,71,high,high,high
2016-05,20.96,4384,71,high,high,high
2016-06,20.79,3574,75,high,low,high
2016-07,19.8,3926,63,high,high,high
2016-08,19.01,5030,54,high,high,high
2016-09,18.24,6384,54,high,high,high
2016-10,18.8,7048,60,high,high,high
2016-11,18.75,5450,56,high,high,high
2016-12,17.86,4297,51,high,high,high
2017-01,17.28,4272,48,high,high,high
2017-02,16.68,4093,48,high,high,high
2017-03,16.38,5509,47,high,high,high
2017-04,15.57,4899,46,high,high,high
2017-05,14.64,4453,46,high,high,high
2017-06,14.49,2997,43,high,low,high
2017-07,13.77,4197,42,low,high,high
2017-08,12.96,5062,44,low,high,high
2017-09,12.69,5767,44,low,high,high
2017-10,12.43,5838,45,low,high,high
2017-11,13.23,5448,45,low,high,high
2017-12,13.27,4191,37,low,high,high
2018-01,14.22,4769,39,high,high,high
2018-02,14.99,3515,31,high,low,high
2018-03,14.94,5164,26,high,high,high
2018-04,15.78,4692,26,high,high,high
2018-05,16.38,3694,24,high,low,high
2018-06,15.37,2541,19,high,low,high
2018-07,16.14,4696,20,high,high,high
2018-08,16.88,5344,20,high,high,high
2018-09,17.44,6373,21,high,high,high
2018-10,17.8,6295,19,high,high,high
2018-11,16.75,4970,17,high,high,low
2018-12,15.93,3750,23,high,low,high
2019-01,16.9,4045,20,high,high,high
2019-02,15.88,3433,20,high,low,high
2019-03,14.88,4310,18,high,high,low
2019-04,15.04,4711,19,high,high,high
2019-05,16.0,3478,20,high,low,high
2019-06,15.0,2515,17,high,low,low
2019-07,15.06,4905,19,high,high,high
2019-08,16.03,5439,19,high,high,high
2019-09,16.66,7059,22,high,high,high
2019-10,16.88,6692,22,high,high,high
2019-11,16.25,5206,21,high,high,high
2019-12,17.25,4258,18,high,high,low
2020-01,16.9,4012,18,high,high,low
2020-02,17.36,3741,17,high,low,low
2020-03,17.78,4484,18,high,high,low
2020-04,16.73,4735,16,high,high,low
2020-05,16.28,3048,15,high,low,low
2020-06,16.1,3493,16,high,low,low
2020-07,15.1,3565,14,high,low,low
2020-08,14.43,3847,12,high,high,low
2020-09,13.48,7263,13,low,high,low
2020-10,12.56,6565,13,low,high,low
2020-11,11.68,4151,13,low,high,low
2020-12,12.53,4646,12,low,high,low
2021-01,11.96,2925,10,low,low,low
2021-02,11.29,2675,11,low,low,low
2021-03,10.45,4406,12,low,high,low
2021-04,11.23,2720,11,low,low,low
2021-05,11.74,1796,10,low,low,low
2021-06,11.54,3299,11,low,low,low
2021-07,11.2,2776,10,low,low,low
2021-08,10.43,3296,9,low,low,low
2021-09,11.12,5754,11,low,high,low
2021-10,10.46,4346,12,low,high,low
2021-11,10.72,3453,13,low,low,low
2021-12,10.12,2912,11,low,low,low
2022-01,10.66,2143,14,low,low,low
2022-02,12.13,2111,14,low,low,low
2022-03,11.19,3116,18,low,low,low
2022-04,10.82,2006,17,low,low,low
2022-05,10.99,2151,14,low,low,low
2022-06,10.47,2110,15,low,low,low
2022-07,11.59,2061,13,low,low,low
2022-08,12.46,2656,12,low,low,low
2022-09,11.72,3834,16,low,low,low
2022-10,12.84,3975,18,low,high,low
2022-11,11.98,2617,18,low,low,low
2022-12,11.82,2072,15,low,low,low
2023-01,12.21,2311,13,low,low,low
2023-02,13.21,2305,14,low,low,low
2023-03,13.56,2987,14,low,low,low
2023-04,13.23,1422,12,low,low,low
2023-05,12.22,2139,14,low,low,low
2023-06,11.28,2621,12,low,low,low
2023-07,10.5,2208,12,low,low,low
2023-08,10.33,2534,11,low,low,low
2023-09,9.49,2875,13,low,low,low
2023-10,8.92,3011,14,low,low,low
2023-11,8.35,2709,13,low,low,low
2023-12,7.99,3066,12,low,low,low
2024-01,7.87,3277,12,low,low,low
2024-02,8.88,2342,13,low,low,low
2024-03,8.95,3236,14,low,low,low
2024-04,8.94,2625,13,low,low,low
2024-05,8.69,2941,15,low,low,low
2024-06,8.4,2110,16,low,low,low
2024-07,8.59,1936,15,low,low,low
2024-08,9.16,1585,13,low,low,low
2024-09,9.45,1843,14,low,low,low
2024-10,10.51,1577,13,low,low,low
