Month,SQL_tiobe,SQL_wiki,SQL_gtrend,SQL_tiobe_label,SQL_wiki_label,SQL_gtrend_label
2015-07,2.44,1128,67,high,low,high
2015-08,2.44,2062,77,high,high,high
2015-09,2.44,2463,81,high,high,high
2015-10,2.44,3439,87,high,high,high
2015-11,2.44,3512,94,high,high,high
2015-12,2.44,2408,79,high,high,high
2016-01,2.44,2498,67,high,high,high
2016-02,2.44,2230,62,high,high,high
2016-03,2.44,3185,69,high,high,high
2016-04,2.44,2923,71,high,high,high
2016-05,2.44,2532,65,high,high,high
2016-06,2.44,1825,63,high,high,high
2016-07,2.44,1574,41,high,high,low
2016-08,2.44,1985,54,high,high,low
2016-09,2.44,2271,56,high,high,low
2016-10,2.44,2732,66,high,high,high
2016-11,2.44,2451,74,high,high,high
2016-12,2.44,2063,62,high,high,high
2017-01,2.44,1884,65,high,high,high
2017-02,2.44,1689,67,high,high,high
2017-03,2.44,2397,68,high,high,high
2017-04,2.44,1866,63,high,high,high
2017-05,2.44,1997,63,high,high,high
2017-06,2.44,1278,46,high,low,low
2017-07,2.44,1603,49,high,high,low
2017-08,2.44,1622,60,high,high,low
2017-09,2.44,2023,55,high,high,low
2017-10,2.44,2642,68,high,high,high
2017-11,2.44,2374,73,high,high,high
2017-12,2.44,1898,59,high,high,low
2018-01,2.44,2529,60,high,high,low
2018-02,2.36,1710,59,high,high,low
2018-03,2.69,2629,69,high,high,high
2018-04,2.65,1971,62,high,high,high
2018-05,1.99,1941,58,high,high,low
2018-06,2.34,929,37,high,low,low
2018-07,2.33,1789,58,high,high,low
2018-08,2.32,1667,59,high,high,low
2018-09,2.06,2188,61,high,high,low
2018-10,2.04,2509,70,high,high,high
2018-11,1.84,2309,68,low,high,high
2018-12,2.18,2136,64,high,high,high
2019-01,2.28,2292,64,high,high,high
2019-02,1.9,1579,55,low,high,low
2019-03,1.93,2726,66,low,high,high
2019-04,2.27,2304,63,high,high,high
2019-05,2.56,1959,65,high,high,high
2019-06,2.22,1246,53,high,low,low
2019-07,1.98,1907,74,low,high,high
2019-08,1.63,1764,71,low,high,high
2019-09,1.94,2161,71,low,high,high
2019-10,1.93,2509,72,low,high,high
2019-11,1.69,2218,72,low,high,high
2019-12,1.84,1743,67,low,high,high
2020-01,1.5,1509,64,low,low,high
2020-02,1.53,1458,67,low,low,high
2020-03,1.83,1965,57,low,high,low
2020-04,2.17,2068,49,high,high,low
2020-05,2.09,1143,52,high,low,low
2020-06,1.73,1722,53,low,high,low
2020-07,1.4,954,52,low,low,low
2020-08,1.46,1025,39,low,low,low
2020-09,1.76,1546,46,low,high,low
2020-10,1.57,1694,38,low,high,low
2020-11,1.54,1605,40,low,high,low
2020-12,1.53,1301,36,low,low,low
2021-01,1.61,1177,38,low,low,low
2021-02,1.72,855,36,low,low,low
2021-03,1.87,1157,39,low,low,low
2021-04,1.83,920,42,low,low,low
2021-05,1.71,1090,33,low,low,low
2021-06,1.88,1057,42,low,low,low
2021-07,1.53,990,34,low,low,low
2021-08,1.47,836,31,low,low,low
2021-09,1.8,1079,37,low,low,low
2021-10,2.17,1168,37,high,low,low
2021-11,2.11,1194,43,high,low,low
2021-12,1.79,1164,42,low,low,low
2022-01,1.8,848,68,low,low,high
2022-02,1.55,867,62,low,low,high
2022-03,1.85,934,74,low,low,high
2022-04,2.28,679,72,high,low,high
2022-05,1.87,548,54,low,low,low
2022-06,1.94,740,73,low,low,high
2022-07,1.64,625,66,low,low,high
2022-08,1.67,544,64,low,low,high
2022-09,2.01,1085,71,high,low,high
2022-10,1.78,918,71,low,low,high
2022-11,1.82,702,75,low,low,high
2022-12,2.22,630,66,high,low,high
2023-01,2.5,487,65,high,low,high
2023-02,2.12,379,64,high,low,high
2023-03,1.95,446,67,low,low,high
2023-04,1.68,256,44,low,low,low
2023-05,1.48,391,56,low,low,low
2023-06,1.47,449,55,low,low,low
2023-07,1.48,338,57,low,low,low
2023-08,1.53,328,56,low,low,low
2023-09,1.44,457,55,low,low,low
2023-10,1.78,445,61,low,low,low
2023-11,1.88,455,60,low,low,low
2023-12,1.61,368,52,low,low,low
2024-01,1.46,339,55,low,low,low
2024-02,1.82,325,56,low,low,low
2024-03,1.92,917,58,low,low,low
2024-04,1.61,649,44,low,low,low
2024-05,1.44,1279,62,low,low,high
2024-06,1.75,1238,58,low,low,low
2024-07,2.04,1279,61,high,low,low
2024-08,2.21,854,55,high,low,low
2024-09,1.94,612,50,low,low,low
2024-10,1.64,708,54,low,low,low
