Month,Java,JavaScript,PHP,Python,SQL,C++,C
2015-07,17.73,2.19,2.89,4.26,2.44,8.64,16.15
2015-08,19.27,2.16,2.73,4.07,2.44,7.74,14.73
2015-09,19.56,2.34,2.53,3.66,2.44,6.78,15.62
2015-10,19.54,2.29,2.56,4.51,2.44,5.75,16.19
2015-11,20.4,2.47,3.25,3.77,2.44,6.2,17.15
2015-12,20.97,2.36,2.79,4.43,2.44,5.94,16.46
2016-01,21.47,2.57,2.71,3.85,2.44,6.91,16.04
2016-02,21.14,2.2,2.77,4.18,2.44,6.91,15.59
2016-03,20.53,2.33,2.77,4.26,2.44,6.72,14.6
2016-04,20.85,2.57,2.99,3.33,2.44,5.92,13.91
2016-05,20.96,2.34,2.99,3.79,2.44,6.7,13.22
2016-06,20.79,2.58,3.23,3.9,2.44,6.2,12.38
2016-07,19.8,2.64,3.27,4.17,2.44,6.31,12.24
2016-08,19.01,2.71,3.17,4.4,2.44,5.8,11.3
2016-09,18.24,2.93,2.85,4.3,2.44,6.66,10.95
2016-10,18.8,2.75,2.74,3.77,2.44,5.8,9.84
2016-11,18.75,2.71,3.13,3.57,2.44,5.41,9.2
2016-12,17.86,2.86,2.92,4.24,2.44,5.34,8.73
2017-01,17.28,2.85,2.56,3.46,2.44,6.3,9.35
2017-02,16.68,2.87,3.07,4.04,2.44,5.43,8.44
2017-03,16.38,2.67,3.01,3.92,2.44,5.18,7.74
2017-04,15.57,2.85,3.38,3.46,2.44,4.55,6.97
2017-05,14.64,3.07,2.69,3.55,2.44,4.75,7.0
2017-06,14.49,3.02,2.77,4.33,2.44,5.72,6.85
2017-07,13.77,2.61,3.09,3.54,2.44,5.58,7.32
2017-08,12.96,2.1,2.29,3.69,2.44,5.55,6.48
2017-09,12.69,2.02,2.21,2.98,2.44,5.56,7.38
2017-10,12.43,3.01,2.79,3.8,2.44,5.01,8.37
2017-11,13.23,2.97,1.9,4.48,2.44,5.34,9.29
2017-12,13.27,2.47,1.59,3.78,2.44,4.72,10.16
2018-01,14.22,3.47,2.53,4.68,2.44,5.6,11.04
2018-02,14.99,3.16,3.42,5.17,2.36,5.73,11.86
2018-03,14.94,3.92,4.01,5.87,2.69,6.45,12.76
2018-04,15.78,3.49,4.22,5.8,2.65,7.22,13.59
2018-05,16.38,2.92,3.32,5.19,1.99,7.67,14.0
2018-06,15.37,2.5,2.88,5.76,2.34,8.34,14.94
2018-07,16.14,2.83,2.83,6.36,2.33,7.62,14.66
2018-08,16.88,2.41,2.93,6.99,2.32,7.47,14.97
2018-09,17.44,2.13,2.78,7.65,2.06,7.39,15.45
2018-10,17.8,2.28,2.79,7.16,2.04,7.59,15.38
2018-11,16.75,2.66,2.38,7.68,1.84,8.28,14.4
