Month,Java,JavaScript,PHP,Python,MySQL,SQL,C++,C,PostgreSQL
2015-07,2977,2446,5034,1129,2440,1128,1969,576,269
2015-08,4984,2838,7669,1545,4851,2062,4130,714,480
2015-09,6450,3290,7466,2196,5475,2463,5996,673,623
2015-10,6561,3987,9579,1985,7029,3439,6303,768,643
2015-11,5726,3831,9131,2187,6303,3512,5071,752,597
2015-12,5070,3142,6553,1906,5395,2408,4112,605,483
2016-01,5233,3740,6546,2338,5103,2498,4485,716,505
2016-02,4427,3239,5797,1829,4640,2230,3499,594,501
2016-03,6123,4296,7393,2404,5899,3185,4890,588,579
2016-04,5023,4298,7243,2103,5244,2923,4130,669,475
2016-05,4384,4025,6440,1909,4854,2532,3999,632,445
2016-06,3574,3271,4634,1848,3595,1825,2775,555,333
2016-07,3926,3015,4785,1571,3057,1574,2814,659,370
2016-08,5030,3428,6454,2396,4555,1985,5001,720,514
2016-09,6384,3519,6900,3020,5450,2271,6979,1056,719
2016-10,7048,4192,7756,2957,6204,2732,7290,1095,687
2016-11,5450,3919,6926,2992,6282,2451,5378,1081,720
2016-12,4297,3180,5570,2334,5294,2063,4523,1086,650
2017-01,4272,3474,6204,2431,4984,1884,4562,1298,564
2017-02,4093,3346,5643,2462,4735,1689,3701,1125,600
2017-03,5509,3358,6382,3215,6435,2397,4726,1180,767
2017-04,4899,3956,7096,3247,5137,1866,4575,1174,477
2017-05,4453,3946,6515,3159,5101,1997,4130,1008,493
2017-06,2997,2650,4570,2019,3418,1278,2956,942,317
2017-07,4197,3194,5785,2491,3842,1603,4542,1400,425
2017-08,5062,3542,5963,3286,4067,1622,6674,1509,514
2017-09,5767,3275,5557,3086,4721,2023,8163,1458,846
2017-10,5838,3637,5668,3780,5400,2642,8513,1344,878
2017-11,5448,3327,5455,2821,5292,2374,6639,1120,646
2017-12,4191,2803,4295,2390,4120,1898,5181,1105,521
2018-01,4769,3214,4418,2671,4562,2529,5011,1789,570
2018-02,3515,2443,3693,2225,3544,1710,3628,2029,514
2018-03,5164,3194,4315,3168,4302,2629,5219,2701,617
2018-04,4692,2968,4383,2656,4204,1971,4101,3014,596
2018-05,3694,2825,3861,2311,3632,1941,4115,4000,521
2018-06,2541,2113,2244,1630,1798,929,2163,4090,259
2018-07,4696,2919,3843,2776,3615,1789,3950,3357,529
2018-08,5344,2957,4226,2966,3523,1667,5414,2735,530
2018-09,6373,3330,4359,4314,4250,2188,7221,2179,1176
2018-10,6295,3618,5091,4653,4914,2509,7171,1396,965
2018-11,4970,3130,4512,3663,4947,2309,5417,1183,793
2018-12,3750,2725,3876,2735,4241,2136,4397,654,658
2019-01,4045,3198,4306,3420,4606,2292,4955,677,739
2019-02,3433,2546,3260,2709,3580,1579,4014,589,695
2019-03,4310,2562,4296,3823,4727,2726,5569,694,877
2019-04,4711,2596,4418,3454,4220,2304,4008,792,858
2019-05,3478,2296,3628,3542,4503,1959,0,628,628
2019-06,2515,1900,3138,3208,2999,1246,2279,616,451
2019-07,4905,2566,4451,4701,3885,1907,4664,733,845
2019-08,5439,2355,4082,4587,3505,1764,6297,800,894
2019-09,7059,2560,4762,5561,4138,2161,9392,906,941
2019-10,6692,2817,5309,6587,4547,2509,9571,1012,962
2019-11,5206,2584,4561,5171,3946,2218,8053,1138,847
2019-12,4258,2187,3428,3951,3134,1743,6440,720,718
2020-01,4012,2367,3938,4610,3617,1509,7177,706,767
2020-02,3741,2185,3582,4134,3101,1458,5898,677,883
2020-03,4484,2566,3895,5196,4134,1965,7983,865,1013
2020-04,4735,3049,3825,5511,4913,2068,6300,907,801
2020-05,3048,2295,2640,3656,2925,1143,4745,632,574
2020-06,3493,2575,3199,4128,4718,1722,8595,618,620
2020-07,3565,2773,3501,3616,2119,954,3713,711,523
2020-08,3847,2303,2735,3120,2071,1025,4856,831,481
2020-09,7263,3019,3381,6530,3526,1546,8491,1047,789
2020-10,6565,6973,7566,7021,3084,1694,12096,917,880
2020-11,4151,9450,4825,5636,2678,1605,12402,727,601
2020-12,4646,9332,4440,4966,3109,1301,11535,640,430
2021-01,2925,5275,3440,4070,2352,1177,6742,589,521
2021-02,2675,1960,2179,3051,1976,855,3952,683,595
2021-03,4406,2677,3469,4083,3299,1157,6302,614,730
2021-04,2720,1950,2584,2737,2039,920,3337,490,482
2021-05,1796,1732,1646,2815,1506,1090,2431,434,208
2021-06,3299,2136,2455,3394,2601,1057,4702,476,370
2021-07,2776,5630,3707,5153,1859,990,5525,602,372
2021-08,3296,6707,3490,7679,1749,836,6529,643,411
2021-09,5754,7828,3745,6557,2246,1079,10131,632,691
2021-10,4346,11713,3854,16996,2469,1168,8835,707,612
2021-11,3453,13008,3347,7996,2359,1194,7111,556,450
2021-12,2912,12878,2830,10423,2104,1164,7503,585,496
2022-01,2143,13760,2607,3842,1979,848,6309,508,367
2022-02,2111,15152,2407,16518,1354,867,6568,431,308
2022-03,3116,17321,3127,17903,2135,934,7744,515,434
2022-04,2006,17437,2474,26049,1373,679,5779,1118,334
2022-05,2151,14219,1796,23123,1318,548,4286,1970,308
2022-06,2110,16358,2495,31243,2358,740,5101,1752,399
2022-07,2061,15815,2170,24238,1809,625,5990,1703,452
2022-08,2656,15929,2044,25792,1519,544,7134,1496,379
2022-09,3834,20508,2547,25044,2207,1085,11275,1433,490
2022-10,3975,21249,5812,28052,2087,918,14671,1755,530
2022-11,2617,17777,5612,24482,2014,702,12713,1930,407
2022-12,2072,14623,2978,4758,1623,630,10576,601,362
2023-01,2311,13353,2440,6562,1552,487,8087,937,415
