Month,Python,C++,Java,C,C#,JavaScript,Visual Basic,Go,Fortran,Delphi,SQL,MATLAB,Rust,Scratch,PHP,Assembly,R,Ruby,COBOL,Swift
2015-07,4.26,8.64,17.73,16.15,5.65,2.19,1.95,0.06,0.77,1.03,2.44,1.21,0.12,0.58,2.89,1.54,1.23,1.38,1.03,1.23
2015-08,4.07,7.74,19.27,14.73,4.84,2.16,1.78,0.08,0.85,0.92,2.44,1.23,0.14,0.64,2.73,1.76,1.01,1.42,0.99,1.18
2015-09,3.66,6.78,19.56,15.62,4.91,2.34,1.53,0.25,0.89,1.16,2.44,1.18,0.2,0.79,2.53,1.81,1.04,1.78,0.99,1.19
2015-10,4.51,5.75,19.54,16.19,4.82,2.29,1.51,0.14,0.84,1.81,2.44,1.16,0.2,0.64,2.56,1.57,0.99,1.83,0.91,1.28
2015-11,3.77,6.2,20.4,17.15,4.32,2.47,1.68,0.2,0.83,0.96,2.44,1.19,0.19,0.6,3.25,1.88,1.01,2.04,0.92,1.24
2015-12,4.43,5.94,20.97,16.46,4.11,2.36,1.65,0.19,0.82,1.12,2.44,1.17,0.22,0.73,2.79,1.93,1.12,2.06,0.83,1.41
2016-01,3.85,6.91,21.47,16.04,4.71,2.57,1.68,0.16,0.85,1.79,2.44,1.23,0.19,0.57,2.71,2.09,1.05,2.05,0.87,1.36
2016-02,4.18,6.91,21.14,15.59,4.4,2.2,1.86,0.29,0.67,2.16,2.44,1.09,0.2,0.79,2.77,1.83,1.19,2.05,0.85,1.38
2016-03,4.26,6.72,20.53,14.6,4.27,2.33,1.67,0.2,0.79,2.01,2.44,1.19,0.21,0.77,2.77,1.85,1.29,2.24,0.94,1.59
2016-04,3.33,5.92,20.85,13.91,3.8,2.57,1.61,0.24,0.76,2.21,2.44,1.34,0.19,0.81,2.99,2.19,1.27,2.35,1.02,1.48
