language,mae,mse,rmse
APL,5.7412712813535665,52.376878204666376,5.7412712813535665
ASP.NET,33.05011097434452,2490.089591913117,33.05011097434452
Ada,5.1850000000000005,68.871125,5.1850000000000005
Apex,3.5909999999999997,32.238405,3.5909999999999997
Arduino,3.0000002271780675,9.000001363068462,3.0000002271780675
Assembly,10.399999997019275,162.39999832508593,10.399999997019275
Bash,75.22364655516238,8046.3142095124185,75.22364655516238
C,23.350933578442298,589.6486497334133,23.350933578442298
C#,54.940557980034306,3904.7734733832017,54.940557980034306
C++,53.17178493058856,3701.139209808321,53.17178493058856
Crystal,4.395999985099089,27.54408000000401,4.395999985099089
DYNAMO,18.544999999999998,889.635125,18.544999999999998
Dart,63.39999963045078,5722.599928998922,63.39999963045078
Delphi,17.91168271162535,558.5268904324216,17.91168271162535
Elixir,16.56721317794854,356.27019426483946,16.56721317794854
Erlang,8.672731973424346,180.94351222180308,8.672731973424346
F#,6.408207962710273,122.35882215136876,6.408207962710273
Flow,1.6079999999999999,12.80032,1.6079999999999999
Go,29.400000143051518,1704.9999887347446,29.400000143051518
Groovy,7.41542832046553,88.94469863367097,7.41542832046553
Haskell,9.232363336131183,101.91694403372196,9.232363336131183
Java,74.15400930470544,6014.568351882712,74.15400930470544
JavaScript,158.99812589898656,31313.433917755105,158.99812589898656
Kotlin,28.999999773492807,904.9999843948553,28.999999773492807
Lisp,4.59,53.540499999999994,4.59
Lua,19.041066690914775,525.2171856118076,19.041066690914775
MATLAB,14.572865827326007,320.72462722947773,14.572865827326007
MariaDB,85.5733160618635,8534.155462681663,85.5733160618635
MySQL,131.77057833545072,19758.14057892505,131.77057833545072
Node.js,191.59681489521927,54825.251468964525,191.59681489521927
PHP,100.59061689779615,11352.867120655035,100.59061689779615
Perl,6.298841108492712,95.4129986110789,6.298841108492712
PostgreSQL,90.47364026491616,11895.04763626988,90.47364026491616
PowerShell,24.15772815801458,1092.362724382367,24.15772815801458
Python,85.14184374250009,9852.68066383273,85.14184374250009
R,7.527716818362468,74.30371694697395,7.527716818362468
Ruby,17.27489933144158,425.60555011298027,17.27489933144158
Rust,31.800000208615927,1217.8000131368458,31.800000208615927
SAS,4.393999994038072,32.70417990460916,4.393999994038072
SPARK,5.155466034355726,33.70490075755485,5.155466034355726
SQL,104.68562633342398,14741.667041427838,104.68562633342398
SQLite,56.09292107665315,4593.377896817734,56.09292107665315
Scala,4.774952064672421,40.00982747624873,4.774952064672421
Solidity,9.77000002131511,243.9245000426302,9.77000002131511
Swift,13.79145482318555,306.8428099481247,13.79145482318555
TypeScript,64.7999990791021,8661.999959593863,64.7999990791021
VBA,6.599999946355821,80.5999996542931,6.599999946355821
Visual Basic,26.453214832612286,813.0165252340801,26.453214832612286
