language,mae,mse,rmse
APL,4.834494964670283,42.81238307981374,4.834494964670283
ASP.NET,30.429275799060143,2367.0971266936094,30.429275799060143
Ada,3.999914950634827,49.99914954251524,3.999914950634827
Apex,2.879949917058713,22.031459116775604,2.879949917058713
Arduino,2.991937344364146,9.915463831621796,2.991937344364146
Assembly,17.787645847590035,564.5819935630302,17.787645847590035
Bash,91.20863930156492,9700.425087401078,91.20863930156492
C,51.68543335518596,2983.235996616263,51.68543335518596
C#,98.20197706948878,11357.426980640044,98.20197706948878
C++,91.7342957916361,10323.899662337219,91.7342957916361
Crystal,4.731973625876704,31.89928931883486,4.731973625876704
DYNAMO,14.200182928681627,656.2058538851267,14.200182928681627
Dart,71.3253587086566,5696.751871731112,71.3253587086566
Delphi,17.538808883958236,467.6220392552415,17.538808883958236
Elixir,13.181425766880011,261.96759752645875,13.181425766880011
Erlang,10.645406350979421,255.70798945166706,10.645406350979421
F#,9.444477991338378,217.7986512410764,9.444477991338378
Flow,2.240045133786379,14.848288866418121,2.240045133786379
Go,58.61723730850923,4717.233171923525,58.61723730850923
Groovy,6.280898001883898,69.59619761803435,6.280898001883898
Haskell,7.267113672203033,88.6930028868971,7.267113672203033
Java,183.58038250879366,36619.45017138723,183.58038250879366
JavaScript,242.83556360144976,70460.5916260335,242.83556360144976
Kotlin,79.14334258218321,8506.54822489693,79.14334258218321
Lisp,3.799945481343413,36.19901867904285,3.799945481343413
Lua,19.34017335610446,395.112406113794,19.34017335610446
MATLAB,13.02415594886342,290.49499066222035,13.02415594886342
MariaDB,144.15809881740287,26481.721445191135,144.15809881740287
MySQL,232.63217684257043,62967.66738250172,232.63217684257043
Node.js,185.06846779140673,43161.50560392395,185.06846779140673
PHP,188.71766304425168,43076.11063628589,188.71766304425168
Perl,10.144761742561558,119.60523600798452,10.144761742561558
PostgreSQL,153.6120282136259,28553.41630791024,153.6120282136259
PowerShell,21.229354452507664,802.928794404949,21.229354452507664
Python,143.39232778341346,26337.604008272676,143.39232778341346
R,22.868099799010057,654.9716415798355,22.868099799010057
Ruby,53.682138318552134,3512.5579219029105,53.682138318552134
Rust,17.906743991850874,678.379779775754,17.906743991850874
SAS,4.044427773303279,28.691127335093835,4.044427773303279
SPARK,11.708431605018154,202.01827553092534,11.708431605018154
SQL,164.41470098651502,34738.943491614584,164.41470098651502
SQLite,123.7795817158974,18916.528618724416,123.7795817158974
Scala,19.136029200332324,388.5660522576218,19.136029200332324
Solidity,7.293321051762445,185.0034439631805,7.293321051762445
Swift,34.72827809040317,1584.8742369729146,34.72827809040317
TypeScript,111.4160570035366,14839.964352116236,111.4160570035366
VBA,14.553565565416864,212.53005090356578,14.553565565416864
Visual Basic,36.83132733950456,2226.488755640673,36.83132733950456
