language,mae,mse,rmse
PostgreSQL,169.37315494193575,44331.455319925044,202.08267438736053
SQL,391.5278601355433,236964.26508304634,464.6120455026909
MySQL,684.2955015676216,841377.4416465645,831.5810870469992
Python,3519.904692653091,35013908.90754723,4103.946982575515
Kernel,681.9560739997961,828631.7736524364,824.9062489338341
ASP.NET,6.380167739400924,184.19024446238143,9.633365793522156
C,638.7689259579045,999271.2458409934,806.7669755574186
C++,2613.7768390666242,11911868.64379132,3123.140458020952
Go,30.78147675013497,1910.4884921644552,36.18502400487769
Ruby,499.33945121894806,530297.3477604619,603.8460074257055
Ada,91.65593954903942,43546.08539834902,129.43457703689336
MariaDB,126.98186807494847,29529.899705812975,154.52440867267177
Solidity,29.336150694854297,2438.3827888109035,35.99324659093743
Swift,77.4852902854764,9618.079448095019,89.33890814264325
Kotlin,114.90220147381444,28795.08731805568,139.7473878573337
Perl,74.4214786796854,10305.006091647729,93.56813453617286
Scratch,1219.2595567025749,6398159.173414849,1560.7233966595627
R,413.8721958539774,379450.7130417015,488.9155489028062
Scala,338.9731908645367,388052.83844196436,449.9970922746961
Rust,38.85696305526453,2722.411413762482,46.022976742552274
MATLAB,299.64169642371627,148708.86547942113,358.1939152480756
SQLite,71.52339771110545,7953.584998574035,84.46274836143328
Bash,2.8200048245581657,175.04002721053132,4.183782864090701
Assembly,452.0728684834994,308778.88822595007,518.8939618813936
PowerShell,3.476224876564731,23.016728404823915,4.607273222728879
FoxPro,11.199813450466081,502.06885991460933,15.130678178090545
Delphi,121.30086479532956,22035.09802800302,142.89190336867347
Visual FoxPro,251.5668772048135,312995.65048568684,367.1500579348453
Unity,79.61856301344406,24437.771388800422,101.58855392084793
Arduino,804.9951211296981,994486.4055114344,948.190050457552
SAS,66.8238761372775,8604.885744163783,80.08414629501435
SPSS,418.0912473112294,301711.4667359484,489.90520134303586
Haskell,26.76095996346234,1300.8373633797876,32.885707780958626
SQLAlchemy,6.704904634163879,135.70703335193406,8.353294833943385
Sage,46.41397176908018,4383.807811969513,60.97669779671186
Lisp,21.242221532947276,1339.3222025351981,27.25042194703808
Lua,15.168401970323316,832.8623598700906,18.855460091988892
VBA,174.02843286703057,47809.23588761049,203.5888606742947
ActionScript,146.5902974079751,33218.279157472694,172.09378898989044
Elixir,112.76107357556835,77137.74826452768,171.26288726878602
Stata,30.297405823535236,1435.7077351271525,37.17663266971784
VBScript,43.21962361224276,3113.6357768846947,51.02399734598656
C#,74.92682164365388,24084.625475444955,101.44731068659584
Dart,22.26302669777783,3316.3345617825153,25.356247736744834
JavaScript,2026.6586682569873,13991301.55497929,2375.444090386146
Java,1021.3722585169622,1652031.3802475412,1217.9478908043968
Node.js,163.55664132469198,36479.77698123403,185.23175997159453
PHP,912.834393450825,1566162.9913865603,1150.31122916196
Visual Basic,1540.0226757150465,4019827.5370208113,1768.6976596700151
