language,mae,mse,rmse
PostgreSQL,154.74766130770223,42079.512208437045,190.5213128072806
SQL,337.0893194338494,213119.45451594074,406.8457146717682
MySQL,681.5973746358223,878576.4626842417,806.1392790833248
Python,3270.240924519214,31440240.075687807,3914.7377615539067
Kernel,694.5912480950715,865914.8895473104,830.9395197252858
ASP.NET,6.6058410694911345,187.30894083151142,9.879750389028521
C,482.8955112748561,771333.7999038933,611.3134357444035
C++,2322.3253822794763,9117632.682949413,2808.922040689281
Go,30.895970104018584,1919.8647765015899,36.2946694033093
Ruby,626.0150863048736,811591.8888846644,711.6608560221615
Ada,92.04312748728755,44335.18407349328,128.97082521176733
MariaDB,118.98300818030717,30194.473902588885,152.85495297466346
Solidity,27.558618975453555,2178.812556581622,34.35085404023984
Swift,60.56784130594896,7942.146881806,72.16342992743844
Kotlin,103.04328967881472,23946.57869549574,128.3538616241563
Perl,105.64993600004667,20992.171927662064,120.47088574030306
Scratch,1193.1718533331502,6350353.246857573,1537.3044018460746
R,411.53331290123833,393219.90287697624,485.0766265073993
Scala,436.63117149098315,607235.5187370036,534.8631043540906
Rust,39.3520538781762,2786.606087464157,46.4838687872817
MATLAB,367.7765258821887,250010.60863479442,430.64727281501075
SQLite,68.2384801689552,7148.431345305328,80.85613289041497
Bash,2.82,175.04000000000002,4.183778196797722
Assembly,499.2189212179825,407200.0070263944,574.9236635032014
PowerShell,3.5493368374974095,24.095918227425624,4.7429661584005895
FoxPro,12.145800753127565,535.3585916630965,15.728606169460571
Delphi,139.03843161306543,29827.004058828792,163.635582439404
Visual FoxPro,233.22601603144705,321661.064678723,349.2522525165799
Unity,79.43383807005357,24529.97133532667,101.7839607638538
Arduino,733.2868348949656,819170.6055230453,878.2549063449136
SAS,60.27625684561317,6519.899333666953,74.68266136628543
SPSS,339.84824709012463,207627.98046315144,403.0931604740259
Haskell,28.71237192205269,1473.9768062095422,35.086995646458625
SQLAlchemy,6.202996204499711,124.42929445771044,7.879677043633743
Sage,52.59139774895546,6114.3317874775885,63.7665045524912
Lisp,18.952748677013343,981.1003738448513,23.830511217553504
Lua,12.408521342851461,673.390347227694,16.261991921963368
VBA,158.78769591517806,47809.19933766106,194.6344431696411
ActionScript,166.3300729919827,41971.22276356202,190.47435771236215
Elixir,116.23599927437299,75651.85257033027,172.39501866861983
Stata,27.78334488571005,1287.179415144691,34.55640253307665
VBScript,37.36557169787642,2850.836454999284,45.07517711761459
C#,75.83713640955027,24701.471478330735,103.51726406064509
Dart,20.999999953508375,3071.2799899536376,24.058404924246513
JavaScript,2287.606702528214,17372088.851755608,2635.488503156052
Java,1166.1971570465269,2293310.587161104,1388.3886601320555
Node.js,149.01893352392656,31962.182114049567,169.93139486298796
PHP,1047.3986313400949,1896514.8889127467,1258.0980549305793
Visual Basic,1289.3031466916455,2769340.2316878242,1515.1120549941888
