language,mae,mse,rmse
Java,40.89153906142991,1967.7242661449393,44.35903815621952
JavaScript,5.4041056390977475,36.437151462566746,6.036319363864601
Node.js,2.2291648817208625,6.338353724654349,2.5176087314462405
PHP,12.477610029055933,174.61699873858953,13.214272539136974
Visual Basic,21.22210680982028,641.9206593759815,25.336153207935524
MySQL,22.366056462513658,582.5554805009818,24.136186121692504
TypeScript,7.283035978039734,58.856098526363624,7.671772841160225
SQL,5.444998408875726,43.21455095862766,6.5737775257934965
PostgreSQL,6.340901706523251,54.066829965103935,7.353015025491511
Python,19.50731224387359,562.2518094707036,23.711849558199876
kernel,5.965504646686861,46.67181783704152,6.8316775273018795
ASP.NET,9.195397552987865,97.46563747381136,9.872468661576564
C#,38.64904919915819,1684.384448937837,41.041253013740175
JS++,0.16872712210517324,0.037366033240184775,0.19330295714288692
C,5.05628880950577,45.59177230370678,6.752167970637785
GraphQL,0.3814010636973773,0.21529305846490523,0.4639968302315278
Go,131.55980794298506,20590.137720724713,143.4926399531513
Ada,2.562449196549259,8.204855927171417,2.8644119688291028
Ruby,3.1656848818550096,13.153474251570737,3.626771877520109
MariaDB,24.922756891089975,739.7934428821576,27.19914415716343
Scheme,13.298153891096804,200.83851309031334,14.171750530203152
Solidity,4.330907976717497,31.83311672814975,5.642084431143312
Kotlin,7.200757728701045,65.15181568123612,8.071667465972327
Perl,1.7560172435808055,3.9216267913418195,1.9803097715614644
C++,99.58144030524713,12409.831569011276,111.39942355780516
Scratch,22.511024415924073,900.5088923558926,30.008480340661915
R,18.959677952960934,427.859742606182,20.684770789307336
Rust,1.6077399159991612,3.3937910737569217,1.8422244905974194
Groovy,0.20710577507944167,0.08434154629899542,0.2904161605334583
Scala,6.583330752514446,56.10763416862289,7.490502931621006
MATLAB,9.400931040140504,139.55312204929575,11.813260432636527
Apex,0.21599361543550644,0.059274137238195024,0.24346280462977302
SQLite,31.463714575657857,1081.1069483789738,32.88019082029442
ECMAScript,1.358076091315077,2.568042495270215,1.6025113089367622
Assembly,23.41427824647706,801.4210015802431,28.309380098833728
PowerShell,13.731409521305745,228.84797701123415,15.127722135577258
Visual FoxPro,11.790034126783173,190.46721306507436,13.800985945398045
FoxPRO,7.099640378998038,74.68763709934287,8.642200940694615
UNITY,5.28886236276889,42.29061808145716,6.503123717219069
Arduino,17.57107360771619,466.6760997806236,21.602687327752157
PowerBuilder,3.6133340863740138,15.125087309472255,3.889098521440702
SRL,2.4911107485839707,7.144394549594289,2.6729000261128903
Haskell,62.23234317895751,4381.41851928903,66.19228443926852
Objective-C,13.923118053324206,260.70347847654136,16.14631470263544
Sqlalchemy,48.18354518781123,2728.626173742216,52.23625344281705
Erlang,17.281951114637877,546.524497559166,23.377863408771255
Lisp,20.03023916552224,436.62907421263384,20.895671183588092
Lua,3.218398191344485,15.200736034796728,3.8988121312518675
VBA,37.49730527646415,1571.0678428750296,39.63669818331277
ActionScript,12.013273301840652,175.7424357883761,13.256788290848432
Boo,4.276094739491473,37.527897513660186,6.126001755930224
Stata,6.8680439054952025,66.68106343579814,8.165847380143603
DML,24.773301243829728,868.5505420432734,29.471181551530528
Dockerfile,5.513579063315094,41.540181020116634,6.445167260833239
VBScript,48.842691649041555,2809.48228701707,53.0045496822402
