language,mae,mse,rmse
Java,21.07563035581198,880.9922152396927,23.213069297791268
JavaScript,6.343761013808839,76.2270913536102,7.0780629332881775
Node.js,1.271256925621724,4.02299981519982,1.453163010446089
PHP,10.782177805973648,241.6608131645311,11.890199229381986
Visual Basic,45.8322578872523,6576.437253314766,52.90130242886081
MySQL,35.06071466093607,2837.6209954659635,39.12643886195405
TypeScript,2.6856152331307137,22.78996603359735,3.0736050827874473
SQL,48.08257447755903,5184.363179954421,53.91128122145223
PostgreSQL,8.6631774972,134.8138156715269,9.609266059470531
Python,18.18755362996574,698.945779512772,20.639671165060697
kernel,20.077087725849005,919.3272689910325,22.945056084971807
ASP.NET,10.138579975650131,204.1420370392214,11.32327955238912
C#,35.90566148574578,3015.845638379395,40.330424744696714
JS++,0.06262848420851021,0.01812768083563984,0.08947204189489046
C,12.666507945821092,420.49742548945096,14.371869162745341
GraphQL,0.66542856304655,0.8812809829705772,0.7444122222407736
Go,51.78070785693875,7192.907058425693,58.55361635181688
Ada,1.4783638535026609,6.918389107512191,1.7252991930620976
Ruby,3.9708256577245478,36.7578643723473,4.407267817709366
MariaDB,35.76904294564379,3093.0855322162674,40.63824011687997
Scheme,2.097552201394757,16.886214109463054,2.458233648068798
Solidity,10.96036340542442,297.5114665945956,12.04879689619631
Kotlin,4.8145172125437545,51.29358783633048,5.343751725460708
Perl,2.584877132268103,15.061853786088728,3.018518978327531
C++,25.38140097764325,1324.0711075749819,29.85032691218092
Scratch,10.838159807667685,257.3206828353453,12.873139832985768
R,18.39233665995921,792.7703142127214,20.35444969585853
Rust,1.2978300393176425,4.239458118958519,1.4405547709018385
Groovy,1.7526758503433377,8.333576104844738,2.0347808648738672
Scala,3.1212808552807507,20.797745540461417,3.469623282720074
MATLAB,24.462802997782262,990.960250492855,28.286619433831685
Apex,0.3934951829299226,0.5064193405331192,0.45963692742062207
SQLite,24.41815649211629,1335.0466076432317,27.89382353185173
ECMAScript,10.437690395409941,283.52018888430064,11.671295871690988
Assembly,36.621130843742144,3415.359803519531,41.41322544640119
PowerShell,11.867175642740785,361.4580278422839,13.389193205232738
Visual FoxPro,34.55254055333852,4124.633572248533,39.350509265845695
FoxPRO,12.395979913783313,315.0416027464655,13.812576226829531
UNITY,16.301883738599525,633.6402895067333,18.574431585510357
Arduino,33.35244866299186,2407.7176766554367,37.42019016442797
PowerBuilder,0.9813046158306372,1.7980427112033701,1.1322757137538155
SRL,1.9129659208514567,9.181138696446192,2.131121404648457
Haskell,13.60800108009098,412.981964912524,15.899291760880644
Objective-C,16.929095428891333,539.246735758473,19.36848160644181
Sqlalchemy,12.940995516397342,747.0960104225303,14.810279635661974
Erlang,25.347717619443554,1612.5237543446124,30.029825413004083
Lisp,10.772757110684097,430.0713806238579,12.451310219623831
Lua,27.788727370748795,3154.3001615007865,30.65438347127959
VBA,52.20629654225015,5958.147754584186,58.363777409019846
ActionScript,11.62158091205654,325.43731881393836,13.101713792058689
Boo,1.2025302065296755,12.289431145727276,1.3318249668898687
Stata,11.792115672339316,298.23848268947677,13.533871058204937
DML,38.440359893632134,2577.2608537326446,43.50161765069001
Dockerfile,15.506709293865526,437.7809679276908,17.29650303802496
VBScript,40.7509516321566,4766.739366375665,45.78961675296282
