language,mae,mse,rmse
APL,6.174545646094264,50.539902604221936,6.174545646094264
ASP.NET,41.29160380193041,2772.464304935849,41.29160380193041
Ada,4.90000497693737,63.05005017589978,4.90000497693737
Apex,3.420004841395419,29.322033272764806,3.420004841395419
Arduino,4.5147224567676645,22.589973625578054,4.5147224567676645
Assembly,11.73758008284868,197.93293406320623,11.73758008284868
Bash,70.91849142166016,5902.832803319987,70.91849142166016
C,23.649302664576542,938.4416769714823,23.649302664576542
C#,41.70340067079332,3084.234132079519,41.70340067079332
C++,39.15125927784377,3516.490236731695,39.15125927784377
Crystal,5.714357160379191,44.334307141954085,5.714357160379191
DYNAMO,17.50000483724985,816.2501696845187,17.50000483724985
Dart,55.120018058385405,5584.629638123193,55.120018058385405
Delphi,19.939103363640676,598.9782500198659,19.939103363640676
Elixir,17.992164263838113,408.7077472030125,17.992164263838113
Erlang,13.265598623394169,250.97935127567325,13.265598623394169
F#,7.512138938411073,99.04014292889835,7.512138938411073
Flow,1.7600028640990417,12.928013845733725,1.7600028640990417
Go,33.41175643648653,2494.911617360046,33.41175643648653
Groovy,8.74809820224733,94.19544298471615,8.74809820224733
Haskell,8.587860077476803,108.86581355824926,8.587860077476803
Java,51.055422860623665,3918.9285159472793,51.055422860623665
JavaScript,117.54898822661369,31474.749987561507,117.54898822661369
Kotlin,18.716241374020065,782.4481756267244,18.716241374020065
Lisp,4.4000058161100934,48.80006625339589,4.4000058161100934
Lua,21.581190872450644,613.1393884558446,21.581190872450644
MATLAB,16.357701506132095,312.71406225674235,16.357701506132095
MariaDB,54.220477686004344,6771.1418310447525,54.220477686004344
MySQL,126.5441349447711,41449.79343045285,126.5441349447711
Node.js,227.50262304371017,65080.918378211,227.50262304371017
PHP,71.14158921173228,9197.931673728646,71.14158921173228
Perl,5.3142867220700705,85.00979464763984,5.3142867220700705
PostgreSQL,99.90806114383273,24460.599769044253,99.90806114383273
PowerShell,30.435650797546373,1436.2072227003132,30.435650797546373
Python,66.19207498031197,10149.648749730684,66.19207498031197
R,6.836073670092114,109.58721097163398,6.836073670092114
Ruby,13.947775193179126,243.3539539594921,13.947775193179126
Rust,42.930377230785524,2073.7074342354977,42.930377230785524
SAS,4.053754682423514,27.575593547375252,4.053754682423514
SPARK,8.005868052801313,66.23713026886072,8.005868052801313
SQL,72.9743795036609,13577.723149153917,72.9743795036609
SQLite,71.44755473796293,8522.061055878698,71.44755473796293
Scala,2.187619382992401,6.222412683875676,2.187619382992401
Solidity,11.64706865182286,259.84400065726135,11.64706865182286
Swift,9.858046064788699,184.21946549224714,9.858046064788699
TypeScript,92.05040736859341,16058.76055449261,92.05040736859341
VBA,11.120161326344322,153.0853761507721,11.120161326344322
Visual Basic,34.864280826997415,1256.1631804214626,34.864280826997415
