language,mae,mse,rmse
APL,28.879367831230603,1216.7742299719275,28.879367831230603
ASP.NET,231.88309276669492,76738.83072085243,231.88309276669492
Ada,13.764287907875891,624.3494708182157,13.764287907875891
Apex,8.738572744725534,256.9189586692401,8.738572744725534
Arduino,72.59550146819336,5760.570952016831,72.59550146819336
Assembly,458.0036909386872,232052.00900585257,458.0036909386872
Bash,520.1340285501157,302575.6233683311,520.1340285501157
C,1160.1760845388876,1408041.0854390804,1160.1760845388876
C#,1631.225811395663,2918201.690167021,1631.225811395663
C++,1746.7130002839162,3224396.9769742675,1746.7130002839162
Crystal,26.672998066277863,1380.4474212003859,26.672998066277863
DYNAMO,50.002388995544926,8210.931736799019,50.002388995544926
Dart,1261.3590967970808,1656339.854790957,1261.3590967970808
Delphi,112.01929091281242,19168.196843077283,112.01929091281242
Elixir,210.47832766939177,46007.012438163736,210.47832766939177
Erlang,141.16374541690914,26442.639150129184,141.16374541690914
F#,111.69606650802764,15655.81925286977,111.69606650802764
Flow,6.167620217533807,117.11577225811793,6.167620217533807
Go,2200.2530872153984,4871827.74745563,2200.2530872153984
Groovy,67.97489902887915,4658.595384097191,67.97489902887915
Haskell,120.34234887413857,15109.012129440121,120.34234887413857
Java,2867.0291451870553,9043797.37600376,2867.0291451870553
JavaScript,5206.27196843107,27867834.27437269,5206.27196843107
Kotlin,1856.966819520724,3542986.7606874155,1856.966819520724
Lisp,10.309525271917261,365.24105122315814,10.309525271917261
Lua,103.53420640261155,13587.222790638032,103.53420640261155
MATLAB,135.3441616872138,18819.992724900578,135.3441616872138
MariaDB,2917.3894649225695,8816561.227648536,2917.3894649225695
MySQL,5105.624468646967,27297447.23277942,5105.624468646967
Node.js,1468.4343549797843,2299176.907913467,1468.4343549797843
PHP,3418.8725272227007,12456128.94140146,3418.8725272227007
Perl,116.9981013695458,15035.376834256787,116.9981013695458
PostgreSQL,3645.8935948669373,13338412.331057211,3645.8935948669373
PowerShell,180.07573145418044,50990.857629871134,180.07573145418044
Python,3552.6184198194233,12807377.769836675,3552.6184198194233
R,516.0175689594105,276821.03012125276,516.0175689594105
Ruby,757.8720665077159,686347.2538926944,757.8720665077159
Rust,824.4293153960792,720085.4638392484,824.4293153960792
SAS,13.050218525900629,363.8904216362792,13.050218525900629
SPARK,73.16023147300012,6983.784165622319,73.16023147300012
SQL,3844.588822306824,15380158.687339809,3844.588822306824
SQLite,2621.92308505484,7050001.323251175,2621.92308505484
Scala,240.72305863015018,69749.64115766573,240.72305863015018
Solidity,52.30080785100904,5567.421344731005,52.30080785100904
Swift,775.3379640432955,668805.115495122,775.3379640432955
TypeScript,2297.7787029217034,5353199.151788862,2297.7787029217034
VBA,429.40798239503465,195106.94177243035,429.40798239503465
Visual Basic,248.36245737419532,72304.67976566512,248.36245737419532
