language,mae,mse,rmse
Python,5.599430396582288,37.56363600111306,6.12891801226881
C++,4.3948621272870545,23.088587205250224,4.805058501751069
Java,5.7952385025900535,47.02643302275267,6.857582155742115
C,2.154972289736676,6.941994700475815,2.634766536237284
C#,4.582783901677917,24.24778781579569,4.924204282500441
JavaScript,0.43893448621324305,0.2760260477043271,0.5253818113565858
Visual Basic,1.578643181174353,4.121326047673717,2.030104935138506
Go,0.3083272339794274,0.15179639891126928,0.389610573407947
Fortran,0.390747925445384,0.257495552666201,0.5074401961474879
Delphi,0.3592468556164474,0.1685331578838987,0.4105279014682177
SQL,0.4865770130600824,0.3002865985132106,0.5479841225010179
MATLAB,0.5189014163452381,0.29515768145287,0.5432841627112556
Rust,0.33155275872240925,0.18536488842940882,0.43054022858428553
Scratch,0.24035306076600332,0.07043946632702375,0.2654043449663621
PHP,1.8854206318547493,4.9417635510437465,2.2230077712513165
Assembly,0.523101382251581,0.36323117505483127,0.602686630891072
R,0.5578332484626596,0.35898282670534426,0.5991517559895359
Ruby,0.904759947903137,0.9920225673074727,0.9960032968356444
COBOL,0.2844238487566711,0.09087259877119647,0.3014508231390262
Swift,0.7020124313736078,0.5356487192208766,0.731880262898841
