language,mae,mse,rmse
Python,2.6365354437541297,11.439096089572768,2.988885585553343
C++,5.99390635672491,100.70292110822464,6.705171038768204
Java,4.337902072326982,42.468405453546154,4.960124048575122
C,4.827757345304657,39.866346847527026,5.331852250094989
C#,2.4527066673399487,15.02348285191469,2.7665982307254535
JavaScript,1.2498082468785598,4.437437991140919,1.4461459607647995
Visual Basic,0.7360006485918072,1.269827142949379,0.8104806593735908
Go,0.3036154830369117,0.2842160553041385,0.36562886396138855
Fortran,0.921357227018704,1.833128121784691,1.0246574419015282
Delphi,1.0332922656041685,2.849308401592295,1.1775098543345273
SQL,1.019716854727235,2.348142369996066,1.1551908460562041
MATLAB,0.5843203105657558,0.5437552700496757,0.6381356054522882
Rust,0.07900022070602924,0.020647269749476997,0.09804760095784305
Scratch,0.26796838572365617,0.1675212273652663,0.30232980907841694
PHP,3.565167598835662,22.820266324566617,4.021489290954181
Assembly,0.38531262843091596,0.33791749113053104,0.44776093297894726
R,0.5324631250545553,0.5788495940825342,0.5813293706451907
Ruby,1.4586312088870175,4.001678239912991,1.5904395256878632
COBOL,0.7588521047123311,3.3341284100133683,0.8380789977651
Swift,0.38186330745829145,0.3470269461954997,0.40192676549735673
