language,mae,mse,rmse
PostgreSQL,93.05562184403057,11679.559186310518,108.07200926377985
SQL,337.55315583919014,137934.62371061827,371.39550846855735
MySQL,662.3244941571025,544199.3205034649,737.698665108908
Python,21999.73924591782,490783549.8928042,22153.635139471
Kernel,750.1739130434783,644810.0,803.0006226647648
ASP.NET,8.576623576841518,626.0631549977364,25.021254065248936
C,870.8724264797784,2917962.2358119967,1708.2043893550901
C++,3075.3404894018718,11176316.003237631,3343.099759689745
Go,18.563283162359454,1334.343667987188,36.528669124226084
Ruby,981.3722870810427,1035844.1615597891,1017.7642956794019
Ada,204.7539921023715,143202.47364769972,378.4210269629579
MariaDB,126.54798706539,54157.16112727149,232.71691199238504
Solidity,16.291537212437742,434.04847037234913,20.833829949683977
Swift,66.55519281819295,4700.662891719551,68.56138046830411
Kotlin,47.79226533639674,3480.7792186125603,58.998128941624586
Perl,40.084847635597306,2701.457679776249,51.97554886459833
Scratch,3241.8695652173915,26637829.260869566,5161.184869859785
R,628.4720926226241,652957.882862407,808.0580937422798
Scala,874.5976050657473,830125.7907472065,911.1123919403174
Rust,27.580693664001956,1262.0546320687533,35.52540826040924
MATLAB,176.7137229588249,45182.38795990609,212.56149218498183
SQLite,47.79061466786442,2981.141018317107,54.59982617478838
Bash,12.260874389775557,761.0435965674494,27.58701862411829
Assembly,373.40089628210944,162265.19376570795,402.82154084123647
PowerShell,4.8236778233220745,35.167540662238096,5.930222648622739
FoxPro,21.10361281538331,1514.402683990793,38.915327108875665
Delphi,94.55055400710107,13631.457553815664,116.75383314399431
Visual FoxPro,91.73069097562176,11988.047814167752,109.48994389517127
Unity,129.75508349271632,41085.80783427278,202.6963439094864
Arduino,620.6919750098403,528049.3769588005,726.6700605906373
SAS,42.86875609229982,3921.303202720621,62.62030982613086
SPSS,395.10794254788334,262769.8547764684,512.6108219463069
Haskell,29.30535507717314,1658.0355145124245,40.718982238170256
SQLAlchemy,14.44102424490175,245.19804042924895,15.658800734068013
Sage,34.55876857118157,1427.695508378254,37.784858189203966
Lisp,44.079978082225864,2379.287596891969,48.77794170413476
Lua,40.17959899665911,3371.361735443947,58.06342855398695
VBA,156.83013280298331,28270.580093998153,168.13857408101853
ActionScript,179.13853351199862,40406.08335983638,201.01264477598514
Elixir,48.203572683109925,2831.5025103644703,53.21186437594975
Stata,34.59576061386157,1778.2102751739067,42.16883061188568
VBScript,28.190086928477285,2041.7421766294967,45.185641266109045
C#,200.8229084016775,51126.31148489943,226.11128119777533
Dart,149.55055274879956,29700.149189837823,172.3373122392183
JavaScript,11593.960072356094,149860866.71893364,12241.767303740651
Java,649.9046327695305,651047.251116269,806.8749910093069
Node.js,187.19129044871957,40730.759940522046,201.8186313017756
PHP,1463.1970849279612,2391456.840230837,1546.4335873974146
Visual Basic,894.9880523177385,969397.5864013906,984.5799035128589
