language,mae,mse,rmse
PostgreSQL,87.59232768120367,10078.564432471412,100.39205363210483
SQL,329.3654157751885,128101.84098312668,357.91317520192894
MySQL,696.0734073545831,592777.197878015,769.9202542328751
Python,21677.849609442,476818524.5856148,21836.1746784004
Kernel,750.1739189890416,644810.008920413,803.0006282191895
ASP.NET,8.577720274203855,625.9757418689584,25.019507226741265
C,1156.1965414808221,2682336.3594114734,1637.7839782497183
C++,9474.704581657212,95129720.73576306,9753.446608033648
Go,18.539028430286034,1332.5388994751363,36.503957312531696
Ruby,861.4957984758786,812027.9687094884,901.1259449763326
Ada,176.23512083785013,152086.29667414882,389.9824312378044
MariaDB,122.2007988953336,53809.79268023557,231.96937875554949
Solidity,16.304364339154873,434.56937071216004,20.846327511390587
Swift,65.45901028171299,4551.808303053841,67.46709051866577
Kotlin,47.4384322845839,3430.267014404332,58.568481407701974
Perl,46.44933134304807,3381.4781834140695,58.15047878920748
Scratch,3379.4434638481903,28323938.348889273,5322.023895933696
R,543.1958705640259,881470.7683695535,938.866746865365
Scala,875.3478253678135,831474.5639232214,911.8522708877911
Rust,40.29343588651025,2228.687629604583,47.208978273254154
MATLAB,162.89834230577878,40314.93312128529,200.7857891417749
SQLite,46.38602006524821,2837.2043855821316,53.26541453496942
Bash,12.26086956521739,761.0434782608696,27.587016479874542
Assembly,372.1763338835919,159333.12520435415,399.1655360929274
PowerShell,5.635992717209939,43.013531603368165,6.558470218226821
FoxPro,16.373210692803436,1650.5867687721675,40.62741400547379
Delphi,105.96288096079368,14144.869850314968,118.93220695133412
Visual FoxPro,88.40387305977924,11331.985083425876,106.45179699481768
Unity,126.01606160912853,39098.8800342939,197.7343673575585
Arduino,620.7685608771684,528154.3290820831,726.7422714292069
SAS,56.630446860997075,4832.560741008582,69.5166220483172
SPSS,399.6517007501172,259974.42064766696,509.87686812373335
Haskell,32.438359639202666,2375.648883430614,48.74062867291121
SQLAlchemy,14.608695639864258,249.99999961386555,15.811388288631253
Sage,21.113973190438486,555.4004585428127,23.566935705407538
Lisp,43.98340368175354,2370.813241657478,48.69099754223031
Lua,39.845773829925704,3340.4889602543444,57.796963244225424
VBA,121.12954753096655,17499.307097173067,132.28494660078698
ActionScript,406.5015053093407,191152.70758159293,437.2101412154033
Elixir,38.79451337621794,1897.059020700562,43.55524102448019
Stata,31.221113501141414,1989.0625383135846,44.5989073668132
VBScript,31.045966225795937,1901.6865801266856,43.608331544862914
C#,141.52312560407972,26403.521860485016,162.49160550774621
Dart,149.56521737186807,29706.869556302616,172.3568088481062
JavaScript,12867.036554729322,181001586.26028705,13453.682999843837
Java,485.41061816226204,343244.7836402498,585.8709615949998
Node.js,187.87763060692757,40992.21580269997,202.46534469557986
PHP,3274.670071684759,11007613.681412434,3317.772397469789
Visual Basic,749.7134510356746,722723.7309992,850.1315962833048
