language,mae,mse,rmse
PostgreSQL,154.29234215743108,39305.6614389351,184.05330283143215
SQL,353.0015459079546,222330.94323870106,423.9409263735748
MySQL,722.5036371970822,970303.016111848,836.5638162690927
Python,3875.754775703911,53133233.7679223,4735.50638716663
Kernel,681.816888400243,840641.7165060977,820.4382724782272
ASP.NET,6.596636289582316,199.8783033212834,10.091973517440234
C,934.3168865284639,2141074.0736147,1137.142254675152
C++,2275.2251839916744,8864824.035031151,2752.9146964861784
Go,36.10978612511941,2319.4057154890934,42.672349174338464
Ruby,670.857625897879,895077.8535995785,760.4446374207415
Ada,97.50309784707869,45563.891186116976,134.04031942848195
MariaDB,173.08999767342306,66598.78321681177,213.33273790524458
Solidity,29.081145235517806,2263.6374146148974,33.72356230975764
Swift,69.22175419596198,9817.282403774781,79.9407856041828
Kotlin,113.20124487797796,29306.144660809903,138.1698289224143
Perl,81.5239641896836,12976.579158797005,98.31036941699362
Scratch,1189.3338938882607,6154874.064060224,1515.8869017014208
R,426.47782931112806,431487.96084549726,497.15199074145676
Scala,466.4388006135979,669056.770675879,565.5293233534142
Rust,35.668847390286324,2466.8435612985245,44.04773232928332
MATLAB,402.86595536754436,315940.4988593936,461.64059055535853
SQLite,83.82299341937237,10810.074180221945,94.8012282504357
Bash,2.8200000054936676,175.04000009876864,4.183778201780515
Assembly,445.6800395210262,350743.0468421712,527.0967376041752
PowerShell,3.691281962744573,25.15170120385132,4.890708762107977
FoxPro,12.12048877981988,558.3640087297712,15.571194367384408
Delphi,124.32271717972738,24053.941893887524,145.1173229976293
Visual FoxPro,250.80936643266583,346204.25608926296,370.34859500757386
Unity,80.43200016129796,23612.392049905782,101.29273944209052
Arduino,829.6530778278375,1033985.0727717467,988.7360045818438
SAS,51.7748191814826,4804.791610829238,65.80041455307534
SPSS,435.20274155173854,358595.6691533226,505.03622814436966
Haskell,31.47158010648899,1679.3846025842013,38.05569522313196
SQLAlchemy,6.604482648050426,141.66763743628616,8.174228824118888
Sage,64.91010530567134,9612.116393966455,75.95917972513698
Lisp,17.85205602646949,886.5825613735317,22.572081236458825
Lua,12.931923028169043,679.9534027799482,16.67250110345659
VBA,152.74721837895677,44311.81636323171,186.47812521231657
ActionScript,170.30196849401506,42632.518115925915,194.45324679105778
Elixir,138.00593259056075,82408.15816882846,187.9887136118102
Stata,31.18758676763533,1571.3834164249129,37.344861742938534
VBScript,44.75427018582575,3518.619802252677,51.84689270727365
C#,77.12783311934663,24302.334013205797,103.53419220064863
Dart,20.340137902986065,2953.7774476135737,23.407337448212836
JavaScript,2554.135059240361,17388199.27493932,2918.4179250662837
Java,1216.6154737131335,2510095.211637133,1425.1003570497296
Node.js,138.92971515686838,31347.87360812218,162.21518327654724
PHP,821.4957736454857,1222681.3627333408,1056.7418936788802
Visual Basic,1224.7137519346468,2687405.932556917,1489.7860429991965
