language,mae,mse,rmse
PostgreSQL,206.444083391819,57594.336906723416,239.9882015990024
SQL,1727.5232227318559,4100738.697216204,2025.0280731921234
MySQL,1467.6938378516813,3204404.759151005,1790.0851262303156
Python,22355.463523266997,512215765.62988025,22632.184287644006
Kernel,1916.4774501638283,4761710.169089436,2182.134315089114
ASP.NET,35.221038656091835,2068.3815408227415,45.47946284668215
C,3727.8129343173528,18796211.591064822,4335.459790041285
C++,5937.971444180878,47160456.16547033,6867.347098077272
Go,127.21111064352236,21424.03527104996,146.36951619462968
Ruby,1198.3966259073861,2285173.6540779965,1511.6790843555375
Ada,1158.867194157459,1838280.4593232085,1355.8320173691166
MariaDB,672.175835976778,514331.660569081,717.169199400728
Solidity,39.61086303672868,2037.0308779376955,45.133478460425536
Swift,253.78457938935887,80599.34719990233,283.90024163410345
Kotlin,228.7636625675271,61821.77521914649,248.63985042455784
Perl,213.99546561010945,64025.9257820119,253.03344795107998
Scratch,3232.9277445421494,15448524.418882914,3930.461094945848
R,2062.938113564785,5289974.24444502,2299.9944009594938
Scala,856.7221196121483,862745.573719708,928.8409840870007
Rust,311.35548537919976,111020.3628087293,333.1971830744211
MATLAB,606.5988565979136,456118.0973206181,675.3651585036188
SQLite,193.75370624672843,46257.27631423485,215.075048097716
Bash,12.26086956521739,761.0434782608696,27.587016479874542
Assembly,1056.884819465836,1350559.6273682457,1162.1358041847973
PowerShell,14.573638045067248,345.71658551565355,18.593455448508045
FoxPro,64.99246382569346,5972.975128711097,77.28502525529183
Delphi,293.5637240412715,102736.17714632444,320.5248463790669
Visual FoxPro,1915.0540842216706,4932833.096569333,2220.9982207487997
Unity,213.4088535790059,89210.1896466278,298.6807487044115
Arduino,3532.421970017681,14404145.366955612,3795.2793529535625
SAS,161.7092370951577,30135.090059523507,173.5946141431914
SPSS,1507.927244866635,3272720.04758264,1809.066070540996
Haskell,84.27146555835125,9662.442195497517,98.29772222944699
SQLAlchemy,21.927321177217976,564.4695728718735,23.75856840956276
Sage,103.56279853858396,12402.692578858772,111.36737663633265
Lisp,136.7792635847171,20091.339004292793,141.7439205196921
Lua,61.087736499173694,5905.1798679597205,76.84516814972638
VBA,407.2793530263124,212748.338372075,461.2465049971382
ActionScript,816.9144647389404,778603.7447206374,882.3852586714249
Elixir,4196.419015098776,21802490.06740281,4669.313661278584
Stata,183.96856538752408,40389.48255676178,200.97134760149711
VBScript,258.64586730248334,77753.84067843933,278.84375674997517
C#,363.1641586148215,155829.55482692452,394.75252352192064
Dart,149.11152672566118,29513.79391411666,171.79579131665787
JavaScript,18356.456387867587,363891121.63414925,19075.93042643397
Java,822.5130289126274,888710.913994196,942.7146514158969
Node.js,635.3703878147968,431041.4341499965,656.5374582992173
PHP,4726.453536224587,27549554.278186124,5248.766929306932
Visual Basic,5778.957571459481,45695640.16101325,6759.855039940816
