language,mae,mse,rmse
PostgreSQL,527.9180077725943,560199.0978266692,596.0396021923488
SQL,1090.7244348415431,2296686.6204218986,1224.7044696501484
MySQL,2408.564692220221,10988446.705449564,2696.8361314804665
Python,5771.586990469669,110358456.91992936,6206.900651179766
Kernel,1074.4394465281002,1923014.4082272698,1250.9755159237322
ASP.NET,21.91833455066158,1084.3006498267894,25.25611592043569
C,1198.1457568195012,2886672.024450251,1401.697157445055
C++,6023.484987767612,75045754.58760296,6905.593804151659
Go,149.0073623399083,47806.544461054,164.67341012299877
Ruby,811.1677643353216,1814645.9911503617,936.4502406736468
Ada,265.0880789329755,147949.1267943696,318.9305651892888
MariaDB,315.67015782657705,202145.49975797586,361.91479717057564
Solidity,61.3278481118291,11056.225237015193,71.467531409681
Swift,245.56628527352822,120740.49373649243,274.03012100902725
Kotlin,349.93529312680937,287937.86656381306,391.6329978448935
Perl,140.79558599892468,31728.503284008337,162.84085837856236
Scratch,2344.8136519415893,13068430.036060138,2748.595170413167
R,592.1403450347425,812309.2361264757,695.0393265047765
Scala,693.781365588545,1780118.4872703273,802.6983923400339
Rust,103.24758746784195,22363.347395017143,117.65845781939245
MATLAB,1055.3051449872205,3381000.1587611735,1223.159938418517
SQLite,327.9482663699751,223189.7061304995,372.6795937029018
Bash,2.82,175.04000000000002,4.183778196797722
Assembly,1381.8627663509237,3543167.3993691327,1595.0749361092317
PowerShell,14.62941567314499,560.7067009838378,16.976501097725794
FoxPro,33.34877250187752,2741.7160936500645,39.436046246186436
Delphi,422.24758098857393,372090.01171506976,466.55096720006196
Visual FoxPro,2868.0489917769,37098336.67829734,3200.3324236913286
Unity,121.05352653470399,53999.02536245517,144.8281712042844
Arduino,3041.0759214512887,26161843.224272564,3390.526452523924
SAS,177.29036302661387,54266.45181924504,201.0480654032635
SPSS,1181.560200271409,2404914.3500477024,1325.5471804492795
Haskell,96.29808144939238,24041.8530284874,109.28981920871777
SQLAlchemy,9.642125827490936,234.50622552675182,11.258916374887637
Sage,196.0084812486937,126713.27854699681,234.1917367459167
Lisp,45.8749318155876,7581.018735033057,56.07092604458654
Lua,31.665351398190108,1774.7263488361782,34.78077401239736
VBA,611.0642043166754,652810.5054796773,681.229752656776
ActionScript,370.7216582365776,277488.92109413806,433.55403852303436
Elixir,586.0080276409246,1151101.838783098,662.0749722378511
Stata,114.86094439450395,22427.538400450787,125.99364640323886
VBScript,136.059170327305,53996.62001093698,154.85745751663222
C#,123.28261029748589,48073.712449561244,150.21777219257336
Dart,30.275872044071093,5000.336728648072,32.746602986227344
JavaScript,4574.191153609993,46824422.40914993,4925.117384550924
Java,2503.7960994839714,12370796.211811844,2868.655406354154
Node.js,410.9408463588973,287368.3833155098,470.33040392768817
PHP,1829.542508566401,6137472.705852079,2072.3866163159914
Visual Basic,3962.7153899201176,46866224.01837994,4390.295213537628
