programming language,tiobe index ratings,job amount,average salary,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024,location_count,tiobe index ratings_T,job amount_T,average salary_T,linkedin skill_T,wiki view Oct 2024_T,github user count_T,search count Oct 2024_T,stack_overflow_count_2024_T,location_count_T,kmeans_2,agg_cluster,dbscan_cluster,gmm_cluster2,som_cluster,optics_cluster,birch_cluster
Java,10.51,728,6153528.08741731,103000,6800,1577.0,13,202,12,4.602523014150932,4.471072475332855,-0.2344748813957232,4.029506806608898,2.3568755169049,5.065941143951305,0.3632119281683617,2.071070106151436,2.917045449314437,0,0,1,1,5,0,1
JavaScript,3.54,1111,6168157.003505131,118000,11400,2134.0,18,474,12,1.3957738758199032,7.029717586065122,-0.2328457746120868,4.65865100435214,3.2925473506460774,8.626879386658471,0.6635998649805703,5.339626753902118,2.917045449314437,0,0,1,1,5,0,1
Dart,0.56,32,6250160.575302064,945,877,170.0,0,129,6,0.0247390935779422,-0.1785802585304818,-0.2237136848321738,-0.2509806001035348,-0.0066617722761362,0.4808460979611856,-0.4177967075433803,1.1938471823065833,0.9307304546450732,1,1,0,1,8,1,0
Node.js,0.0,450,5596209.021148038,34000,-1,399.0,4,291,8,-0.2329050265749095,2.613883596002384,-0.2965391017425087,1.135443496989988,0.3780219798364844,-0.1988286361903127,-0.1774863580936135,3.140561068099269,1.5928354528681947,1,0,0,1,3,41,0
PHP,1.21,505,5762279.073145573,123000,8600,1445.0,16,272,11,0.3237903044696451,2.981313050546182,-0.2780451923753433,4.86836573693322,2.1351364108836512,6.459351760662805,0.5434446902556869,2.912242772851979,2.5859929502028765,0,0,1,1,5,0,1
Visual Basic,2.35,234,7144311.004662363,32000,0,714.0,7,0,10,0.8482801204950933,1.1708879199758313,-0.1241392172969507,1.0515576039575558,0.9071721192053732,-0.1980545191810285,0.0027464039937115,-0.3563138748987036,2.254940451091316,1,1,0,1,17,-1,0
MySQL,0.0,511,5282098.994573214,129000,-1,985.0,43,380,10,-0.2329050265749095,3.021396263769142,-0.3315190532323711,5.1200234160305165,1.3624092232338454,-0.1988286361903127,2.1655395490416125,4.210052030047103,2.254940451091316,0,0,0,1,4,44,0
TypeScript,0.32,211,6615735.536738093,14000,1600,-1.0,10,284,8,-0.0856798150589942,1.017235602621152,-0.1830024902345877,0.2965845666656663,-0.29391470507639,1.0405326956736385,0.1829791660810366,3.056443801429215,1.5928354528681947,1,0,0,1,3,40,0
SQL,1.64,793,6759264.31838862,143000,6,708.0,54,390,12,0.5216241824441561,4.905307285248253,-0.1670188240196586,5.707224667257543,0.89709306893168,-0.1934098171253235,2.826393010028471,4.330219553861466,2.917045449314437,0,0,0,1,4,44,0
PostgreSQL,0.0,365,5041078.898883171,36000,-1,277.0,23,399,9,-0.2329050265749095,2.046038075343787,-0.3583595566930633,1.2193293900224202,0.1730812909380577,-0.1988286361903127,0.9639878017927788,4.438370325294393,1.9238879519797552,0,0,0,1,3,41,0
