Month,C++_tiobe,C++_wiki,C++_gtrend,C++_tiobe_label,C++_wiki_label,C++_gtrend_label
2015-07,0.435569755058573,0.1342103469429486,0.1818181818181818,high,low,low
2015-08,0.3397231096911608,0.2815077363506237,0.2727272727272727,high,low,low
2015-09,0.2374866879659212,0.4086974303046827,0.6233766233766234,low,high,high
2015-10,0.1277955271565495,0.429623065912344,1.0,low,high,high
2015-11,0.1757188498402556,0.3456478767636834,0.8441558441558441,low,high,high
2015-12,0.1480298189563365,0.2802808261195555,0.5584415584415584,low,low,high
2016-01,0.2513312034078807,0.3057051325744666,0.3766233766233766,low,low,high
2016-02,0.2513312034078807,0.2384977165837366,0.3636363636363636,low,low,high
2016-03,0.2310969116080937,0.3333106127734987,0.5844155844155844,low,low,high
2016-04,0.1458998935037273,0.2815077363506237,0.4935064935064935,low,low,high
2016-05,0.2289669861554845,0.2725785563356281,0.4415584415584415,low,low,high
2016-06,0.1757188498402556,0.1891486606229977,0.2597402597402597,low,low,low
2016-07,0.1874334398296059,0.1918069661236452,0.0389610389610389,low,low,low
2016-08,0.1331203407880724,0.3408765591984186,0.1948051948051948,low,high,low
2016-09,0.2247071352502662,0.4757003612569013,0.4415584415584415,low,high,high
2016-10,0.1331203407880724,0.4968986435825778,0.8961038961038961,low,high,high
2016-11,0.0915867944621938,0.3665735123713448,0.5974025974025974,low,high,high
2016-12,0.0841320553780617,0.3082952763956104,0.4545454545454545,low,low,high
2017-01,0.1863684771033013,0.3109535818962579,0.3376623376623376,low,low,high
2017-02,0.0937167199148029,0.2522663758435007,0.3116883116883117,low,low,low
2017-03,0.0670926517571884,0.3221320973348783,0.4935064935064935,low,low,high
2017-04,0.0,0.3118396837298071,0.5454545454545454,low,low,high
2017-05,0.0212992545260916,0.2815077363506237,0.3636363636363636,low,low,high
2017-06,0.1246006389776357,0.2014859246131824,0.2857142857142857,low,low,low
2017-07,0.1096911608093716,0.3095903483061822,0.0909090909090909,low,low,low
2017-08,0.1064962726304579,0.4549110490082476,0.1948051948051948,low,high,low
2017-09,0.1075612353567624,0.5564037897893804,0.4025974025974026,low,high,high
2017-10,0.0489882854100106,0.5802603776157045,0.8051948051948052,low,high,high
2017-11,0.0841320553780617,0.4525253902256151,0.6753246753246753,low,high,high
2017-12,0.0181043663471778,0.3531456615090996,0.4285714285714285,low,high,high
2018-01,0.1118210862619808,0.3415581759934565,0.2597402597402597,low,high,low
2018-02,0.1256656017039404,0.2472905732397246,0.2857142857142857,low,low,low
2018-03,0.2023429179978701,0.3557358053302433,0.3506493506493506,low,high,high
2018-04,0.2843450479233226,0.2795310476450139,0.3896103896103896,low,low,high
2018-05,0.3322683706070287,0.2804853111580669,0.2987012987012987,high,low,low
2018-06,0.4036208732694356,0.1474337127666825,0.0259740259740259,high,low,low
2018-07,0.3269435569755058,0.2692386340399427,0.0909090909090909,high,low,low
2018-08,0.3109691160809371,0.369027332833481,0.1298701298701298,high,high,low
2018-09,0.3024494142705005,0.4921954876968168,0.4675324675324675,high,high,high
2018-10,0.3237486687965921,0.4887874037216277,0.8051948051948052,high,high,high
2018-11,0.397231096911608,0.3692318178719924,0.7012987012987013,high,high,high
2018-12,0.3205537806176783,0.2997069047781337,0.4675324675324675,high,low,high
2019-01,0.3844515441959532,0.3377411219412446,0.2987012987012987,high,high,low
2019-02,0.3077742279020234,0.2736009815281848,0.2857142857142857,high,low,low
2019-03,0.3812566560170395,0.3795923931565674,0.4155844155844156,high,high,high
2019-04,0.4568690095846645,0.2731920114511622,0.3896103896103896,high,low,high
2019-05,0.3780617678381256,0.0,0.3116883116883117,high,low,low
2019-06,0.3013844515441959,0.1553404675891214,0.1298701298701298,low,low,low
2019-07,0.2289669861554845,0.3179060732056438,0.1688311688311688,low,low,low
2019-08,0.1608093716719914,0.4292140958353214,0.1558441558441558,low,high,low
2019-09,0.1160809371671991,0.6401744938995297,0.7532467532467533,low,high,high
2019-10,0.1789137380191693,0.6523754345307068,1.0,low,high,high
2019-11,0.1118210862619808,0.5489060050439643,0.8181818181818182,low,high,high
2019-12,0.1757188498402556,0.4389612160043623,0.4415584415584415,low,high,high
2020-01,0.1086261980830671,0.4891963737986504,0.4415584415584415,low,high,high
2020-02,0.1714589989350373,0.402017585713312,0.3246753246753247,low,high,high
2020-03,0.2385516506922257,0.5441346874786995,0.4805194805194805,low,high,high
2020-04,0.2374866879659212,0.4294185808738327,0.4025974025974026,low,high,high
2020-05,0.1682641107561235,0.3234271692454502,0.2987012987012987,low,low,low
2020-06,0.1490947816826411,0.5858496353350147,0.2337662337662337,low,high,low
2020-07,0.1767838125665601,0.2530843159975461,0.1038961038961039,low,low,low
2020-08,0.2438764643237486,0.3309931156703701,0.0259740259740259,low,low,low
2020-09,0.2726304579339723,0.5787608206666213,0.1558441558441558,low,high,low
2020-10,0.2545260915867945,0.8244836752777589,0.2987012987012987,low,high,low
2020-11,0.3248136315228966,0.8453411492059164,0.2727272727272727,high,high,low
2020-12,0.2513312034078807,0.7862449730761366,0.2467532467532467,low,high,low
2021-01,0.3205537806176783,0.4595460432145048,0.1558441558441558,high,high,low
2021-02,0.2481363152289669,0.2693749573989503,0.1168831168831168,low,low,low
2021-03,0.2097976570820021,0.4295549042328403,0.1688311688311688,low,high,low
2021-04,0.275825346112886,0.2274555245041238,0.1948051948051948,low,low,low
2021-05,0.3471778487752928,0.1657010428736964,0.0779220779220779,high,low,low
2021-06,0.2992545260915868,0.3204962170267875,0.1298701298701298,low,low,low
2021-07,0.3695420660276889,0.3765932792584009,0.0129870129870129,high,high,low
2021-08,0.2992545260915868,0.445027605480199,0.0,low,high,low
2021-09,0.2747603833865815,0.6905459750528253,0.1298701298701298,low,high,low
2021-10,0.3141640042598509,0.6022084384159225,0.2337662337662337,high,high,low
2021-11,0.397231096911608,0.4846977029514007,0.2727272727272727,high,high,low
2021-12,0.3386581469648563,0.5114170813168837,0.1558441558441558,high,high,low
2022-01,0.3982960596379126,0.4300320359893668,0.4025974025974026,high,high,high
2022-02,0.3684771033013844,0.4476859109808466,0.3896103896103896,high,high,high
2022-03,0.4376996805111821,0.5278440460772953,0.7402597402597403,high,high,high
2022-04,0.397231096911608,0.3939063458523618,0.5584415584415584,high,high,high
2022-05,0.4558040468583599,0.2921409583532138,0.3766233766233766,high,low,high
2022-06,0.5410010649627264,0.3476927271487969,0.3636363636363636,high,high,high
2022-07,0.5804046858359957,0.40828846022766,0.1298701298701298,high,high,low
2022-08,0.5953141640042598,0.4862654215799877,0.1688311688311688,high,high,low
2022-09,0.5548455804046858,0.768522936405153,0.5584415584415584,high,high,high
2022-10,0.5718849840255591,1.0,0.8051948051948052,high,high,high
2022-11,0.6602768903088392,0.866539431531593,0.7662337662337663,high,high,high
2022-12,0.7870074547390841,0.7208779224320088,0.4935064935064935,high,high,high
2023-01,0.8903088391906282,0.5512235021470929,0.3636363636363636,high,high,high
2023-02,1.0,0.4247154249880717,0.3636363636363636,high,high,high
2023-03,0.930777422790202,0.4386204076068434,0.4935064935064935,high,high,high
2023-04,0.8956336528221512,0.2037352600368073,0.1688311688311688,high,low,low
2023-05,0.7891373801916933,0.2346806625315247,0.3376623376623376,high,low,high
2023-06,0.7252396166134184,0.2105514279871856,0.1558441558441558,high,low,low
2023-07,0.6656017039403621,0.2130734101288255,0.0649350649350649,high,low,low
2023-08,0.6474973375931843,0.2461318246881603,0.2077922077922078,high,low,low
2023-09,0.6496272630457934,0.1836957262626951,0.4935064935064935,high,low,high
2023-10,0.6517571884984025,0.1746302228886919,0.5584415584415584,high,low,high
2023-11,0.6187433439829605,0.1509781201008793,0.5324675324675324,high,low,high
2023-12,0.5814696485623003,0.1388453411492059,0.2077922077922078,high,low,low
2024-01,0.5761448349307775,0.1004703155885761,0.1428571428571428,high,low,low
2024-02,0.6368477103301383,0.0948810578692659,0.1948051948051948,high,low,low
2024-03,0.6549520766773163,0.156090246063663,0.2597402597402597,high,low,low
2024-04,0.5548455804046858,0.0961761297798377,0.1688311688311688,high,low,low
2024-05,0.5303514376996804,0.1532274555245041,0.2857142857142857,high,low,low
2024-06,0.5835995740149094,0.0980164951264399,0.1038961038961039,high,low,low
2024-07,0.6166134185303515,0.0890191534319405,0.0779220779220779,high,low,low
2024-08,0.584664536741214,0.1280757957876082,0.2727272727272727,high,low,low
2024-09,0.6602768903088392,0.1452525390225615,0.5194805194805194,high,low,high
2024-10,0.7507987220447284,0.1389816645082134,0.5974025974025974,high,low,high
