programming language,job amount,average salary,location,manager,full stack,front end,back end,software developer/engineer,mobile developer,devops,game developer,QA engineer,data scientist,data analyst,machine learning engineer,AI engineer,programmer,other analyst,other developer,other engineer,others
Java,728,6153528.08741731,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Lampung', 'Jakarta', 'Central Java', 'South Sulawesi', 'Banten', 'North Sumatra', 'South Sumatra']",20,51,24,106,90,35,4,0,2,3,1,8,0,56,9,159,64,96
JavaScript,1111,6168157.003505131,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",10,135,120,103,151,16,4,1,2,1,5,0,0,64,7,373,36,83
Dart,32,6250160.575302064,"['West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",0,2,1,0,9,12,0,0,0,0,0,0,0,2,0,2,0,4
Node.js,450,5596209.021148038,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",1,83,17,78,77,3,5,0,0,0,0,0,0,9,3,132,13,29
PHP,505,5762279.073145573,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",5,82,5,46,46,8,6,0,2,0,1,3,0,88,5,154,9,45
Visual Basic,234,7144311.004662363,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",3,19,14,15,24,0,3,0,5,8,8,0,0,7,7,54,31,36
MySQL,511,5282098.994573214,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra']",5,74,2,121,48,9,4,0,2,4,0,2,0,57,8,135,7,33
TypeScript,211,6615735.536738093,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra', 'West Papua']",0,22,56,13,41,2,3,0,0,0,0,0,0,1,0,51,8,14
SQL,793,6759264.31838862,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",16,46,7,85,76,12,6,0,4,30,64,7,0,73,27,177,84,79
PostgreSQL,365,5041078.898883171,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,44,4,85,40,9,6,0,0,3,0,2,0,27,0,118,4,23
Flow,120,9290698.169868832,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten', 'West Papua']",3,4,2,20,14,3,1,0,1,1,3,0,0,5,10,17,20,16
CHAIN,64,15192250.868864454,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",5,0,9,11,4,0,0,1,1,2,3,0,0,0,7,6,3,12
Z++,99,11847031.221049825,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",6,5,10,7,12,0,2,2,2,2,2,0,1,0,2,21,13,12
FOCUS,326,8253786.878237909,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",24,15,19,32,50,11,3,2,3,6,10,0,1,4,3,45,38,60
Python,675,6328999.928444785,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",14,37,11,79,56,0,23,0,2,44,49,22,4,25,12,121,99,77
kernel,1,34507957.0,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Address,141,6299805.372725985,"['East Kalimantan', 'West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten']",8,7,7,19,8,5,1,0,2,0,1,2,0,0,5,21,16,39
ASP.NET,84,5711475.593743629,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'West Papua']",3,2,2,9,8,0,0,0,0,0,0,0,0,15,3,37,0,5
C#,225,6280696.306146191,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",5,14,10,13,45,4,0,5,0,0,0,0,0,20,2,74,11,22
JS++,181,5600773.319669451,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,2,23,11,35,27,0,0,0,0,0,0,0,13,2,53,2,13
C,362,5928978.561136166,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",6,20,14,28,54,18,2,5,1,0,1,0,0,36,5,109,28,35
GraphQL,62,5751854.840652354,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",0,12,10,24,1,0,0,0,0,0,0,0,0,0,0,15,0,0
Go,211,7847129.7347823875,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",12,17,12,64,30,0,5,2,1,0,3,3,0,0,5,26,6,25
Ada,71,7701312.460197072,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",1,4,0,13,7,0,0,4,0,0,5,0,0,3,4,17,1,12
Ruby,112,7351875.455507939,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",1,10,1,21,36,0,7,0,0,0,0,0,0,1,1,25,4,5
MariaDB,24,5157964.20480754,"['Bali', 'Jakarta']",0,12,0,7,0,0,1,0,0,0,0,0,0,1,0,0,1,2
Scheme,6,11844474.673449611,"['Bali', 'Yogyakarta', 'East Java']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
Expect,33,17920520.2997776,"['East Java', 'Banten', 'Jakarta']",3,0,0,9,8,0,3,0,0,0,0,0,0,0,1,2,1,6
Copilot,8,10416144.382139197,[],0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Solidity,4,9521067.869493987,"['Central Java', 'Jakarta']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
solid,338,6382359.167111682,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",13,19,11,54,52,17,7,1,4,11,2,4,0,6,1,72,34,30
pipelines,244,5560387.992877893,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",2,8,6,39,26,1,19,0,0,6,5,8,0,0,5,37,53,29
RAPID,31,5498341.381929189,"['West Java', 'Banten', 'Jakarta']",6,1,0,3,3,1,0,0,0,0,0,0,0,0,1,3,1,12
NPL,1,11004708.625,['East Java'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
april,3,4708513.986111111,['Jakarta'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
flagship,11,6203420.772235206,"['Bali', 'East Java', 'West Java', 'Jakarta']",1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Swift,96,6856960.628534172,"['East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",1,0,21,0,27,22,0,0,0,0,0,0,0,0,0,18,2,5
Small,72,13011626.419631569,"['West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",9,3,3,18,6,0,0,0,0,2,3,0,0,0,1,9,3,15
Kotlin,117,6101024.9262127,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,0,21,0,22,30,0,0,1,0,0,0,0,4,0,22,8,9
Simplicity,5,10856018.1374031,"['Bali', 'Jakarta']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Perl,18,7126649.348725472,"['East Kalimantan', 'Central Java', 'Jakarta']",1,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,1,0
C++,118,5903931.743223736,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",1,6,7,16,29,1,0,1,1,0,1,0,0,12,1,29,9,4
Scratch,25,6819342.410831299,"['Jakarta', 'East Java', 'Banten', 'West Java']",1,3,0,2,4,0,1,1,0,0,0,0,0,0,1,9,3,0
R,148,8115521.460633558,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",9,0,0,4,9,1,1,0,2,35,29,2,3,0,5,17,17,14
F,14,15115687.341627616,"['Bali', 'Central Java', 'East Java', 'Jakarta']",2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,2,1
Rust,27,8891196.888704723,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",1,0,7,5,5,0,0,0,0,0,0,0,0,0,0,4,3,2
Groovy,10,10062850.58605517,['Jakarta'],0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Scala,36,6069870.496656338,"['Bali', 'West Java', 'Jakarta']",0,0,7,0,5,0,0,0,0,1,0,0,1,0,0,1,20,1
Revolution,61,3054643.915108728,"['South Kalimantan', 'Riau', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",2,2,1,7,1,0,0,0,0,0,0,5,0,0,0,1,1,41
MATLAB,17,5764911.548656295,"['Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",1,0,0,0,5,0,0,0,0,3,1,0,0,0,0,6,1,0
Apex,11,7816074.484489086,"['East Java', 'Banten', 'Jakarta']",3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Click,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']",5,0,2,0,16,1,1,0,0,4,1,0,0,0,1,5,8,10
Adept,21,7698934.300564067,"['Jakarta', 'East Java', 'Banten', 'West Java']",1,0,0,5,6,2,0,0,0,1,2,0,0,0,0,1,0,3
.QL,26,4766819.031018988,"['Central Java', 'East Java', 'Jakarta']",3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,1
dss,2,8298783.857954545,['Jakarta'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SPARK,82,3916176.649491272,"['Bali', 'East Java', 'Banten', 'Jakarta']",2,0,0,0,1,0,0,0,0,9,1,9,0,0,1,8,41,10
Pure,3,10880799.885335917,"['East Java', 'Jakarta']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
GAP,23,27730938.96393032,"['West Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",2,1,3,1,0,0,2,0,0,0,2,0,0,0,4,1,0,7
Falcon,2,11286666.666666668,['Jakarta'],0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpha,3,8374726.930320151,['Jakarta'],0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Plot,46,9235123.102766791,"['West Java', 'Lampung', 'East Java', 'Jakarta', 'Central Java', 'South Sulawesi', 'South Sumatra']",2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,40
Joy,57,6746368.332314458,"['Bali', 'Yogyakarta', 'East Java', 'Jakarta']",5,1,0,17,20,0,0,2,1,0,3,0,0,0,1,0,1,6
CONVERT,23,10261980.620536214,"['Bali', 'Yogyakarta', 'West Java', 'Jakarta']",0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,5,8,3
Frank,1,9373333.333333334,['Bali'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,38,12245767.634765225,"['East Kalimantan', 'Banten', 'Jakarta']",1,0,0,9,3,0,0,0,0,0,2,0,1,1,4,6,4,7
lever,1,9373333.333333334,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JADE,5,7745929.005253856,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Blue,3,85880514.92929292,"['Bali', 'Banten']",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
THINK C,11,5742402.231619129,['Jakarta'],4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Inform,32,8375049.3760997085,"['East Kalimantan', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",7,0,1,0,7,0,0,0,0,2,3,0,0,0,4,0,0,8
NATURAL,68,9016125.28043656,"['Bali', 'West Java', 'Banten', 'Jakarta']",4,0,5,8,5,0,0,0,0,2,0,6,4,0,1,12,10,11
Reason,11,20211266.15093236,['Jakarta'],1,1,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,1
ARM,6,4633452.373737373,['Jakarta'],0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2
SR,6,6667699.874120644,"['Yogyakarta', 'West Java', 'Jakarta']",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Crystal,11,5114617.806365192,"['Banten', 'Jakarta']",0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,2,0,1
PowerHouse,11,6412519.519480521,"['East Java', 'West Java', 'Jakarta']",3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Conceptual,22,6264479.335630361,"['Bali', 'North Sumatra', 'Banten', 'Jakarta']",3,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,4,8
Factor,10,7026807.65904218,"['Central Java', 'Jakarta']",0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
False,2,5447083.333333334,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RPL,4,7686666.666666667,"['Yogyakarta', 'Jakarta']",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SQLite,12,5033166.800400964,"['Central Java', 'East Java', 'Jakarta']",1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0
fe,7,4044916.808463504,['Jakarta'],0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrome,3,10337008.121447029,"['West Java', 'Jakarta']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
