programming language,job amount,average salary,location
Java,728,6153528.08741731,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Lampung', 'Jakarta', 'Central Java', 'South Sulawesi', 'Banten', 'North Sumatra', 'South Sumatra']"
JavaScript,1111,6168157.003505131,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']"
Dart,32,6250160.575302064,"['West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']"
Node.js,450,5596209.021148038,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
PHP,505,5762279.073145573,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']"
Visual Basic,234,7144311.004662363,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']"
MySQL,511,5282098.994573214,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra']"
TypeScript,211,6615735.536738093,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra', 'West Papua']"
SQL,793,6759264.31838862,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']"
PostgreSQL,365,5041078.898883171,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
Flow,120,9290698.169868832,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten', 'West Papua']"
CHAIN,64,15192250.868864454,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
Z++,99,11847031.221049825,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
FOCUS,326,8253786.878237909,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']"
Python,675,6328999.928444785,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']"
kernel,1,34507957.0,['Jakarta']
Address,141,6299805.372725985,"['East Kalimantan', 'West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten']"
ASP.NET,84,5711475.593743629,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'West Papua']"
C#,225,6280696.306146191,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']"
JS++,181,5600773.319669451,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
C,362,5928978.561136166,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']"
GraphQL,62,5751854.840652354,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']"
Go,211,7847129.7347823875,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']"
Ada,71,7701312.460197072,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
Ruby,112,7351875.455507939,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
MariaDB,24,5157964.20480754,"['Bali', 'Jakarta']"
Scheme,6,11844474.673449611,"['Bali', 'Yogyakarta', 'East Java']"
Expect,33,17920520.2997776,"['East Java', 'Banten', 'Jakarta']"
Copilot,8,10416144.382139197,[]
Solidity,4,9521067.869493987,"['Central Java', 'Jakarta']"
solid,338,6382359.167111682,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
pipelines,244,5560387.992877893,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']"
RAPID,31,5498341.381929189,"['West Java', 'Banten', 'Jakarta']"
NPL,1,11004708.625,['East Java']
april,3,4708513.986111111,['Jakarta']
flagship,11,6203420.772235206,"['Bali', 'East Java', 'West Java', 'Jakarta']"
Swift,96,6856960.628534172,"['East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
Small,72,13011626.419631569,"['West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']"
Kotlin,117,6101024.9262127,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
Simplicity,5,10856018.1374031,"['Bali', 'Jakarta']"
Perl,18,7126649.348725472,"['East Kalimantan', 'Central Java', 'Jakarta']"
C++,118,5903931.743223736,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']"
Scratch,25,6819342.410831299,"['Jakarta', 'East Java', 'Banten', 'West Java']"
R,148,8115521.460633558,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']"
F,14,15115687.341627616,"['Bali', 'Central Java', 'East Java', 'Jakarta']"
Rust,27,8891196.888704723,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
Groovy,10,10062850.58605517,['Jakarta']
Scala,36,6069870.496656338,"['Bali', 'West Java', 'Jakarta']"
Revolution,61,3054643.915108728,"['South Kalimantan', 'Riau', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']"
MATLAB,17,5764911.548656295,"['Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
Apex,11,7816074.484489086,"['East Java', 'Banten', 'Jakarta']"
Click,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']"
Adept,21,7698934.300564067,"['Jakarta', 'East Java', 'Banten', 'West Java']"
.QL,26,4766819.031018988,"['Central Java', 'East Java', 'Jakarta']"
dss,2,8298783.857954545,['Jakarta']
SPARK,82,3916176.649491272,"['Bali', 'East Java', 'Banten', 'Jakarta']"
Pure,3,10880799.885335917,"['East Java', 'Jakarta']"
GAP,23,27730938.96393032,"['West Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']"
Falcon,2,11286666.666666668,['Jakarta']
Alpha,3,8374726.930320151,['Jakarta']
Plot,46,9235123.102766791,"['West Java', 'Lampung', 'East Java', 'Jakarta', 'Central Java', 'South Sulawesi', 'South Sumatra']"
Joy,57,6746368.332314458,"['Bali', 'Yogyakarta', 'East Java', 'Jakarta']"
CONVERT,23,10261980.620536214,"['Bali', 'Yogyakarta', 'West Java', 'Jakarta']"
Frank,1,9373333.333333334,['Bali']
P,38,12245767.634765225,"['East Kalimantan', 'Banten', 'Jakarta']"
lever,1,9373333.333333334,['Jakarta']
JADE,5,7745929.005253856,['Jakarta']
Blue,3,85880514.92929292,"['Bali', 'Banten']"
THINK C,11,5742402.231619129,['Jakarta']
Inform,32,8375049.3760997085,"['East Kalimantan', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
NATURAL,68,9016125.28043656,"['Bali', 'West Java', 'Banten', 'Jakarta']"
Reason,11,20211266.15093236,['Jakarta']
ARM,6,4633452.373737373,['Jakarta']
SR,6,6667699.874120644,"['Yogyakarta', 'West Java', 'Jakarta']"
Crystal,11,5114617.806365192,"['Banten', 'Jakarta']"
PowerHouse,11,6412519.519480521,"['East Java', 'West Java', 'Jakarta']"
