Job Title,Company Name,Location,Salary,Job Type,Job Description
"Machine Learning Engineer Specialist
- job post",Global Tiket Network,Jakarta,None,Full-time,"Your main duties in flying with us:
Within the Data Scientist team, to collaborate in delivering AI/ML products
As part of the organization, to collaborate with engineers from different teams to build successful integration for AI/ML implementation
Research on the latest technology to continuously improve the existing environment
Expected to write architecture design and technical documentation
Administer and monitor running ML services
Mandatory belongings that you must prepare:
Have min. 3 years of experience in Software Architecture, Engineering, or DevOps
Experience in building ML Pipeline/ML Ops
Experience in ML Production
Experience with Cloud Technology, preferably Google Cloud Platform
Experience in Data Processing (e.g. batch, stream)
Experience in understanding the project goal and designing a suitable technical solution
Proficient in programming, preferably using Python/Java
Proficient in ML frameworks and libraries (e.g. Tensorflow, PyTorch)
Solid understanding of Learning Concepts (e.g. supervised, unsupervised, deep learning)
Good communication skills and comfortable collaborating with a cross-functional team"
"Machine Learning Engineer Specialist
- job post",tiket.com,Jakarta,None,Full-time,"Your main duties in flying with us:
Within the Data Scientist team, to collaborate in delivering AI/ML products
As part of the organization, to collaborate with engineers from different teams to build successful integration for AI/ML implementation
Research on the latest technology to continuously improve the existing environment
Expected to write architecture design and technical documentation
Administer and monitor running ML services
Mandatory belongings that you must prepare:
Have min. 3 years of experience in Software Architecture, Engineering, or DevOps
Experience in building ML Pipeline/ML Ops
Experience in ML Production
Experience with Cloud Technology, preferably Google Cloud Platform
Experience in Data Processing (e.g. batch, stream)
Experience in understanding the project goal and designing a suitable technical solution
Proficient in programming, preferably using Python/Java
Proficient in ML frameworks and libraries (e.g. Tensorflow, PyTorch)
Solid understanding of Learning Concepts (e.g. supervised, unsupervised, deep learning)
Good communication skills and comfortable collaborating with a cross-functional team"
"AI Engineer
- job post",Mekari (PT. Mid Solusi Nusantara),Jakarta,None,None,"Main Responsibilities:
We are seeking a highly skilled and motivated AI Engineer to join our dynamic team. As an AI Engineer, you will play a crucial role in building cutting-edge AI features from the ground up and conducting research and development in the field of Machine Learning (ML) and Artificial Intelligence (AI) frameworks. This is an exciting opportunity for individuals passionate about pushing the boundaries of AI technology and contributing to innovative projects.
Key Responsibilities:
Design, develop, and implement AI solutions, including but not limited to natural language processing, computer vision, and other machine learning algorithms.
Collaborate with cross-functional teams to understand business requirements and translate them into AI-driven applications.
Conduct research and stay updated on the latest advancements in ML and AI frameworks to propose and implement innovative solutions.
Work on the full AI development lifecycle, from ideation and proof of concept to deployment and maintenance.
Optimize and enhance existing AI models for improved performance and efficiency.
Collaborate with data scientists and software engineers to integrate AI capabilities into existing systems.
Stay abreast of industry trends and best practices to continuously improve the company's AI capabilities.
Requirements:
Experience in building usable machine learning or AI products for end users.
Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, or a related field.
Proven experience in developing and implementing AI solutions, with a focus on building features from the ground up.
Solid understanding of machine learning algorithms, neural networks, and deep learning techniques.
Experience with popular LLM frameworks and libraries such as Langchain, LlamaIndex, etc.
Familiarity with natural language processing, LLMs such as openAI, LLAMA2, Claude, etc.
Demonstrated ability to work on cross-functional teams and communicate effectively.
Strong problem-solving skills and a proactive mindset towards learning and adopting new technologies.
Working Arrangement: Hybrid.
Office location: Sudirman, Jakarta, Indonesia.
Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up.
Don't forget to check our Recruitment FAQ at bit.ly/RecruitmentFAQ-Mekari [ENG] or bit.ly/RekrutmenMekari-FAQ [INA] to find the answers to commonly asked questions regarding our recruitment process.

We wish you the best. Hope to see you around soon!"
"Machine Learning Engineer
- job post",Kredivo Group,Jakarta,None,Full-time,"At Kredivo we are building the future of financial services that are fast, cheap and widely accessible, wrapped up in a beautiful UX. As we are growing bigger, we are looking for Machine Learning Engineer who will closely collaborate with Data Science team in feeding data (across functions such as, credit scoring, fraud, and risk) into financial models defined by data scientists. You will also be responsible to make sure that data science code is maintainable, scalable and debuggable.
Job Responsibility
Develop and implement ML pipeline infrastructure, including but not limited to: ETL (Extract, Transform and Load) of raw data into model features and building platform to automate ML training, testing and maintenance.
Partnering with Data Scientists to transform prototypes of predictive models into high performance, well integrated systems.
Qualifications
2-3 years of relevant experience in Data or Software Engineering and minimum 1-2 years hands-on experience in deploying machine learning models and feature pipelines
Having good knowledge of data structures, data modeling and software architecture related to Machine Learning
Ability to write robust production-ready code in Python & GoLang
High degree of proficiency with RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3)
Proficiency in machine learning libraries such as: Tensorflow/Keras, Pytorch, SparkML or MLeap
Strong interest in building scalable and reliable Machine Learning Engineering/AI related services
Past experience working with cloud services platform to build data pipelines, monitoring, scheduler and storage, preferably on AWS environment.
Familiarity using a distributed computing platform, such as Hadoop or Spark
Thank you for your interest in Kredivo. We're thrilled that you'd like to join our company. Unfortunately, days are short and applicants are many, so we won't have time to meet everyone. If you are among qualified candidates, you will receive a call or email from our Talent Acquisition team.
#LI-DI1

#LI-AL1"
"Associate AI Engineer
- job post",Mekari (PT. Mid Solusi Nusantara),Jakarta,None,None,"Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. With our ecosystem of software solutions—including Mekari Jurnal, Mekari Talenta, Mekari Qontak, and Mekari Flex, we aim to facilitate entrepreneurs and leaders as they accelerate the digital transformation of their businesses.
In our 10+ years of journey we have reached over 1 Million platform users, and we're not planning to stop any time soon. We need more people like you: builders and owners with calculated ambition who are eager to grow and create their #BiggestImpact.
Main Responsibilities:
We are seeking a highly skilled and motivated AI Engineer to join our dynamic team. As an AI Engineer, you will play a crucial role in building cutting-edge AI features from the ground up and conducting research and development in the field of Machine Learning (ML) and Artificial Intelligence (AI) frameworks. This is an exciting opportunity for individuals passionate about pushing the boundaries of AI technology and contributing to innovative projects.
Key Responsibilities:
Design, develop, and implement AI solutions, including but not limited to natural language processing, computer vision, and other machine learning algorithms.
Collaborate with cross-functional teams to understand business requirements and translate them into AI-driven applications.
Conduct research and stay updated on the latest advancements in ML and AI frameworks to propose and implement innovative solutions.
Work on the full AI development lifecycle, from ideation and proof of concept to deployment and maintenance.
Optimize and enhance existing AI models for improved performance and efficiency.
Collaborate with data scientists and software engineers to integrate AI capabilities into existing systems.
Stay abreast of industry trends and best practices to continuously improve the company's AI capabilities.
Requirements:
Experience in building usable machine learning or AI products for end users.
Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, or a related field.
Proven experience in developing and implementing AI solutions, with a focus on building features from the ground up.
Solid understanding of machine learning algorithms, neural networks, and deep learning techniques.
Experience with popular LLM frameworks and libraries such as Langchain, LlamaIndex, etc.
Familiarity with natural language processing, LLMs such as openAI, LLAMA2, Claude, etc.
Demonstrated ability to work on cross-functional teams and communicate effectively.
Strong problem-solving skills and a proactive mindset towards learning and adopting new technologies.
Working Arrangement: Hybrid.
Office location: Sudirman, Jakarta, Indonesia.
Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up.
Don't forget to check our Recruitment FAQ at bit.ly/RecruitmentFAQ-Mekari [ENG] or bit.ly/RekrutmenMekari-FAQ [INA] to find the answers to commonly asked questions regarding our recruitment process.

We wish you the best. Hope to see you around soon!"
"Machine Learning Engineer
- job post",Devoteam G Cloud APAC,Jakarta,None,Full-time,"Company Description

Company description
Devoteam is a leading consulting firm focused on digital strategy, tech platforms, and cybersecurity.
By combining creativity, tech, and data insights, we empower our customers to transform their business and unlock the future.
With 25 years’ of experience and 8,000 employees across Europe and the Middle East, Devoteam promotes responsible tech for people and works to create better change.
#Creative Tech for Better Change
Devoteam has launched in January 2021 its new strategic plan, Infinite 2024, with the ambition to become the #1 EMEA partner of the leading Cloud-based platform companies (AWS, Google Cloud, Microsoft, Salesforce, ServiceNow), further reinforced by deep expertise in digital strategy, cybersecurity, and data.

Job Description

The Machine Learning Engineer will be responsible for the following activities:
interpret our customers’ needs, and extract value from their data using GCP and its suite of tools
be involved in pre-sales activities as well as building upon our customers’ cloud infrastructure, creating analytics in the cloud
advocate for Google Cloud Platform and all of its products: Vertex AI, Cloud SQL, BigQuery, etc.
understanding the customer's requirements and suggesting a product or service accordingly
demonstrating the product and services
develop new products or integrations as required
undertake such duties and exercise such powers in relation to the Group Companies and its business as the Board shall from time to time assign to or vest in him;
in the discharge of such duties and in the exercise of such powers, observe and comply with all resolutions, regulations and directions from time to time made or given by the Company or the Board;
unless prevented by ill health or accident, devote so much of his time and attention and ability to the discharge of his duties hereunder;
in pursuance of his duties hereunder perform such services for any Group Company and accept such offices in such Group Company as the Board may from time to time reasonably require; and

Qualifications
BA/BS in Computer Science or related technical field, or equivalent experience
Experience in one or more development languages, such as Java, Python, Go, PHP or similar
Experience in drawing UML diagrams
Enjoys programming in a test driven, agile methodology
Expert knowledge of database and data analysis technologies, including relational and NoSQL databases, data warehouse design, BI reporting and dashboard development
Experience in Hadoop Ecosystems

Additional Information

Education and Experience
Bachelor’s degree in Engineering required.
Two years of related experience is highly preferred.
Experience in AI ML for IoT is highly preferred.
One professional certifications in GCP (within 3 months after joining).
Status: Full-Time
Duration: -
Beginning date: August 2024
The Devoteam Group is committed to equal opportunities, promoting its employees on the basis of merit and actively fighting against all forms of discrimination. We believe that diversity contributes to the creativity, dynamism, and excellence of our organisation. All our positions are open to people with disabilities."
"Data & AI Engineering
- job post",Accenture,Jakarta,None,None,"About Accenture
Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries – powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 505,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com

Role Summary:

At Accenture, every day is an opportunity to make a significant impact. As a Data & AI Engineer, you'll play a pivotal role in shaping the future of our clients' businesses by designing, building, and maintaining robust data platforms and AI solutions.
Responsibilities:
Data Platform Architecture: Design and implement scalable data platforms, including data lakes, data warehouses, and data pipelines, leveraging cloud technologies (AWS, Azure, GCP) and open-source tools (Spark, Kafka, Presto, Hive, Cassandra).
Data Engineering: Develop and maintain data pipelines, ETL/ELT processes, and data transformation logic to extract, transform, and load data from various sources into target systems.
AI Model Integration: Collaborate with data scientists to integrate machine learning models into production environments, ensuring efficient data flow and optimal performance.
Data Governance: Implement data governance policies and standards to maintain data quality, security, and compliance.
Performance Optimization: Continuously monitor and optimize data platform performance to ensure efficient data processing and analysis.
Problem-Solving: Identify and troubleshoot technical issues related to data pipelines, AI models, and data platforms.
#LI-GM

Qualifications
Qualifications:
Required:
Strong experience in data engineering concepts, tools, and technologies (e.g., Spark, Kafka, Hadoop, Python, SQL, NoSQL).
Proficiency in cloud platforms (AWS, Azure, GCP) and their data services.
Experience with data modeling, data warehousing, and data lake architectures.
Understanding of machine learning algorithms and their applications.
Excellent problem-solving and analytical skills.
Strong communication and collaboration skills.
Preferred:
Experience with AI frameworks (TensorFlow, PyTorch) and machine learning pipelines.
Certification in cloud platforms or data engineering.
Familiarity with data governance and compliance frameworks (e.g., GDPR, CCPA).
Experience with real-time data processing and streaming technologies.

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law."
"Application Engineer
- job post",Evolusi 3D - PT Evolusi Kreasi Indonesia,Tangerang,"Rp. 4,000,000 - Rp. 6,000,000 a month",None,"PT. Evolusi Kreasi Indonesia - Evolusi 3D
Evolusi 3D is a leading 3D technology consultant established in 2018. We specialise in optimising work processes across various industries through the strategic implementation of 3D scanning, 3D printing, and 3D software. Our commitment to driving innovation and efficiency has led us to collaborate with top-tier companies and universities throughout Indonesia.
Application Engineer
As an Application Engineer, you will be at the forefront of innovative solutions, leveraging cutting-edge 3D technologies to drive industry advancements. You will play a pivotal role in applying 3D scanning, 3D printing, and CAD software to address diverse challenges across various sectors.
Your key responsibilities will include:
Operating a 3D scanner and managing the post-processing of 3D scan results.
Operating a 3D printer and performing post-processing.
Performing reverse engineering using Solid Edge and QuickSurface software.
Conducting inspections based on 3D scan results.
Conducting machine demonstrations, both online and offline.
Expected Requirements:
Proficient in using CAD software, specifically for reverse engineering and 3D modelling
Capable of performing post-production and texturing.
Having experiences in using 3D printing and 3D scanning is a plus.
Possesses a strong sense of curiosity
What Evolusi 3D offers:
Dormitory for eligible male employees during training.
Access continuous learning and development opportunities.
Enjoy a competitive salary and benefits package.
Be part of a thriving industry and advance your career.
Our CORE Value is EVOLUSI
E_njoy - for everything you do in Evolusi 3D.
V_ariety - challenges that make you grow and avoid boredom.
O_utstanding - Performace when you love your work.
L_asting - E V O that will bring Lasting Customer.
U_nity - with an internal, partner, and customer.
S_atisfaction - 100% for all parties to maintain Unity.
I_nspire - all other people with all things you do in Evolusi 3D.
3D - Technology is our core to transform the industry to the next level.
It Doesn't Matter your Background! We Value Your Skill and Integrity
Job Type: Full-time
Application Deadline: 10/31/2024
Expected Start Date: 11/21/2024"
"Senior Machine Learning Engineer
- job post",99 Group,Jakarta,None,None,"About Us
99 Group is a leading real estate technology company that operates real estate portals across South East Asia, specializing in digital property advertising. Headquartered in Singapore, it is currently operational in Singapore and Indonesia and employs over 500 employees. In Singapore, 99 Group operates 99.co (http://99.co/) and SRX.com.sg (http://srx.com.sg/), while in Indonesia, it operates 99.co/id (http://99.co/id) and Rumah123 (http://rumah123.com/). Our data science and ML team specializes in data science projects related to home price estimation, natural language processing, listings recommendation and image/object detection. We are passionate about leveraging cutting-edge machine learning and AI technologies to drive business insights and solve real-world problems. We are looking for a talented Senior Machine Learning Engineer to help us design, develop, and deploy scalable machine learning models and pipelines.
Join Us and Lead the Real Estate Revolution!
At 99 Group, we're on a mission to revolutionize the real estate industry by seamlessly integrating cutting-edge technology and innovation. If you're excited to be at the forefront of this transformation and are ready to tackle the industry's challenges head-on, we want you to be a part of our dynamic team. As a Machine Learning Engineer, you will be responsible for building and deploying machine learning models that solve complex problems in home price estimation, natural language processing, listings recommendation and image/object detection. You will collaborate closely with data science and engineering teams to ensure our models are not only accurate but also scalable and production-ready. Your work will directly impact our ability to make intelligent, data-driven decisions and provide real-time predictions to our users.
Your Role: Senior Machine Learning Engineer
What You'll Be Doing:

Design, develop, and deploy machine learning models for real-time prediction, classification, and object detection tasks.
Collaborate with data scientists to build, train, and optimize models using frameworks like TensorFlow, PyTorch, or Scikit-learn.
Implement model serving pipelines for deployment in Kubernetes environments, using Docker and orchestration tools.
Develop and maintain scalable machine learning APIs to serve predictions and integrate them with client applications.
Automate data preprocessing, feature extraction, and model training pipelines using tools like Airflow, Kubeflow, or similar.
Monitor the performance of deployed models and implement updates to maintain accuracy and efficiency over time.
Work closely with DevOps to ensure smooth model integration into production environments.
Conduct code reviews, write unit tests, and maintain high code quality and documentation.
Stay updated with the latest research and advancements in machine learning and AI technologies.

What We're Looking For:
3+ years of experience in machine learning, model deployment, or a similar role.
Programming Languages: Proficiency in Python, with experience in libraries like TensorFlow, PyTorch, and Scikit-learn.
Data Handling: Strong knowledge of data processing frameworks (Pandas, Numpy) and experience working with large-scale datasets, both structured and unstructured.
Model Deployment: Hands-on experience in deploying machine learning models in production using Docker and Kubernetes.
API Development: Experience in building and deploying RESTful APIs for machine learning models.
Cloud Platforms: Experience working with cloud platforms (AWS, GCP, or Azure) for model deployment and scaling.
Version Control & CI/CD: Familiarity with Git and continuous integration/continuous deployment (CI/CD) pipelines.
Bonus Experience with MLOps tools like Airflow, Argo, Kubeflow, or MLflow for workflow automation and monitoring.
Experience in image recognition and object detection using CNNs, YOLO, or similar architectures.
Familiarity with distributed systems and parallel processing (e.g., Spark, Dask).
Knowledge of big data technologies such as Hadoop or Apache Kafka.

Are you ready to shape the future of real estate? Join us in this exciting journey of innovation, collaboration, and growth. Together, let's redefine what's possible in the world of real estate.
Make your mark at 99 Group. Apply now!"
"Senior Machine Learning Engineer
- job post",Bonza,Jakarta,None,Full-time,"Company Description

About Bonza
Bonza is a no-code AI platform that aims to remove friction and barriers organizations face when creating and implementing data-driven solutions.
Now, as our business grows, we are looking for great talent to join our team!

Job Description

The Role
Bonza is looking for a Senior Machine Learning Engineer who is motivated to solve some of the organization's most challenging problems. Data is at the heart of our business, and as Senior Machine Learning Engineer you will work to design, build, and deploy Machine Learning (ML) models and solutions. You will need a strong foundation in software development, infrastructure management, data engineering, and distributed systems to facilitate the development of ML powered software products that deliver data-driven insights seamlessly to end users where when they need it. You will help to develop high performing individuals and serve as a mentor to others.

What you will do:
Contribute to design, training, evaluating, and deploying ML product
Maintain and monitoring ML model on the production system
Drive and hands-on contribute to the execution of machine learning model development
Write well written Python code for defining machine learning pipeline
Develop a new way to scale out ML training and deployment process
Work collaboratively with the product, engineering, data science, and business leaders to find opportunities to improve and enhance our tech products and processes

Qualifications

What You Will Need:
Bachelor Degree / Master Degree in Computer Science or equivalent work experience
Strong understanding of machine learning theory and practice
Experience in building, deploy and maintain ML system in production
Understanding in CI/CD process
Experience with cloud platform, preferable AWS
Exceptional critical thinking and problem-solving skills with effective communication abilities

Additional Information

We are conducting virtual interviews to keep our candidate and employees safe.
What’s on offer:
To be part of Indonesia’s fastest growing data analytics company
A great work culture, with coaching, massive ownership and growth opportunities
Passionate and innovative work culture
Attractive remuneration package and insurance coverage"
