Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
Software Engineer,Borma Dago,"Bandung, West Java","Rp 6,000,000 – Rp 9,000,000 per month",Full time,"Hello! We are looking for friends to code together in a start-up offshoot of Borma Dago! ( www.bormadago.com )
 As a software engineer in Borma Dago, you will work full-time on a project in a very small (akin to a startup) but professional software engineering team. The team is led by a world-class programmer with a large portfolio of work, including work at Google Inc. You will work very closely with the team and will learn many technologies and cutting edge software development practices in order to develop a code that is performant, reliable, and maintainable. By joining, you will be a part of the founder team, and together will develop and maintain an e-commerce platform that provides an innovative and immersive experience for users.
 Office location: Jl. Ir. H. Juanda 348, Bandung, Indonesia. Casual environment and flexible work hours/conditions.
 Why work at Bormadago.com?
We present many, many learning opportunities, starting from Computer Science fundamentals like algorithms, using cutting edge technologies such as CI/CD cycle, modern frameworks, and more!
We offer flexible work settings, enabling working during times that are convenient for you, as well as enabling partial and on-demand work-from-home schemes
As our team is still very small, you will work on important and impactful parts of the project
 Example interview questions:
What is a linked list? How can it be useful?
What is the difference between a server and a client?
Write a function that gives us the median of an array / list. What would its time complexity be?
 Requirements:
Bachelor's degree in Computer Science, Mathematics, similar fields, or equivalent practical experience.
Fresh graduates are very welcome
Software development skill in one or more general purpose programming language, including but not limited to: Python, C++, Java, and C
Excellent problem solving ability
English fluency
 If you have mathematics or competitive programming achievements, kindly let us know in your application. If you have a github account, please let us know your github id.

Technologies
As a software engineer in Bormadago.com, you will get the opportunity to learn some of the technologies that we have used thus far. Prior knowledge on these are NOT REQUIRED. Our website is written in a combination of Angular, Typescript, Python, and Django, while our codebase makes use of CircleCI, github, sentry, and coveralls.
 Looking forward to hearing from you!",None
Software Engineer (JAVA),PT Infinitium Solutions,"Central Jakarta, Jakarta",None,Full time,"Participates in every aspect of development and implementation of project deliverables.
Perform testing, troubleshooting, and bug fixing, as necessary.
Training, mentoring, and sharing knowledge with peers and juniors
Perform good development practices and software development life cycle methodologies throughout development.
 Requirements:
Diploma or Degree in Information Technology or equivalent.
Minimum 2 years of working experience in JAVA. Candidates who have 5 years or above experiences would be considered for senior position.
Experience with Spring, Hibernate, MVC, or other related frameworks.
Experience with JSON Restful Web Services or other web services.
HTML, JavaScript, JQuery, and related frontend development experience.
Good knowledge in SQL with experience in DBMS such as SQL Server or Oracle DB.
Preferably with Experience in DevOps and continuous integration/delivery and build environment such as SVN/GIT, Jenkins, Sonar, Maven.
Experience in Agile software development and tools such as Jira.
Good communication in English (Must Be)
Location Work Central Jakarta Nearby Sudirman Station
 ",None
Software Engineer,PT Quintal Edutama Solusindo,"West Jakarta, Jakarta",Rp 7.000.000 – Rp 10.000.000 per month,Full time,"Job Description:
Review functional specifications produced by product management team
Full stack software development and unit/integration testing
User requirement gathering with our clients
Ensure code quality by adhering to best practices in each programming disciplines
Work closely and inspire fellow teammates to ensure timely and high quality product deliveries
Requirements:
Degree in IT or any programming related fields
Knowledge in RDBMS and programming fundamentals
Strong understanding in logic, algorithm and data structure concepts
Willing to work in Jakarta Barat
Fresh graduate (GPA 3.0+) are welcome to apply
Key Skills:
Python and MySQL
HTML5, Javascript, CSS
Flutter
(All of the above can be trained in-house provided you've shown the ability and eagerness to learn)
You are/You have:
A quick learner who aims to be versatile in many different aspects of product development
A motivated self-starter that can work independently as well as being one of the team
An idea contributor who constantly think of ways to fix inefficient and unfriendly processes
Curiosity to explore creative solutions and try new things
Nice to have:
Experience in building scalable web platform and services
Experience in hackatons and coding competitions
Experience in developing mobile apps
Benefits:
5-day lunch
Free Parking
BPJS Kesehatan & Ketenagakerjaan ( selesai masa probation )
Next Step: Submit your resume today and start making a difference
 ",None
Data Center Software Engineer,PT. Elabram Systems,Jakarta,"Rp 15,000,000 – Rp 20,000,000 per month",Contract/Temp,"Job Description
1. Works as technical service and integration engineer, responsible for new Software project delivery and service enhancement, including:
- Supervision for hardware installation
- Setup infrastructure (VM setup, Network setup and integration, OS installation and commissioning)
- Setup Database (Database installation and commissioning)
- Software deployment, commissioning and integration.
- Patch test and deployment.
2. Responsible for kind of acceptance test (Internal test, Integration test, Acceptance test) for project delivery.
3. Responsible to troubleshoot, follow-up the task and issue found during project delivery.
4. Responsible to communicate project delivery status and report to Team leader and PM.
(Required professional skills)
Requirement
1. At least 2 years or above work experience on software development or integration.
2. Experience of End-to-End deliveries of Linux/Database/Software deployment projects as technical role.
3. Familiar related with TCP/IP (L2 switch) and routing protocol.
4. Familiar with API protocol, such as HTTP/HTTPs, SOAP
5. Familiar with Database commissioning and administration.
6. Familiar with Linux Clustering.
7. Familiar with Oracle Golden Gate technology.
8. Familiar with scripting (Linux/windows script).",None
Software Engineer,PT. Wide Technologies Indonesia,"South Jakarta, Jakarta",None,Full time," Java Software Engineer responsibilities include defining software requirements, writing clean and efficient code for various applications and running tests to improve system functionality. If you have hands-on experience with programming in Java and are interested in agile methodologies, we’d like to meet you.
Ultimately, you’ll implement and maintain Java components and frameworks throughout the software development life cycle.
Responsibilities
Analyze user and system requirements
Design flowcharts to illustrate software solutions
Write efficient code based on feature specifications
Develop user interfaces
Prioritize and execute tasks in the software development life cycle
Design database architecture
Test and debug Java applications
Validate software functionality and security
Requirements and skills
Work experience as a Java Software Engineer, Java Developer or similar role (Fresh Graduate are welcome to apply)
Experience building Java EE applications
Familiarity with Object-Oriented Design (OOD)
Good knowledge of popular Java frameworks like JSF and Spring MVC
Experience with test-driven development
Problem-solving skills
BSc in Computer Science, Engineering or relevant field
Willingly work from office
 ",None
"Senior Software Engineer, Backend (Payments)",PT Solusi Transportasi Indonesia,Jakarta,None,Full time,"Company Description
Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.
Job Description
Get to Know the Team
FundsFlow Experience team plays a crucial role in powering liquidity for Grab, providing seamless and smooth experiences for millions of customers across Southeast Asia. Our mission is to allow anyone, including the unbanked, to access digital cash quickly and affordably. Whether it's topping up wallets or cashing out funds, our systems ensure transactions happen smoothly.
Get to Know the Role
We are looking for a passionate Senior backend Engineer with the required skills and more to join our payments team. You will offer exciting challenges, including the opportunity to lead groundbreaking architectural advancements. You will have opportunities to design backend components. You'll reporting to Software Engineering Manager II. The working arrangement for this role is hybrid.
The Critical Tasks You Will Perform
You will work within the payments on FundsFlow Experience, helping improve product engineering vision
We aim to build services that delight our customers. Participate in discovery sessions, perform R&D, and seek and use Generative AI is important to your success on the team
You will participate in code reviews, testing, debugging, performance tuning, and capacity planning
You will propose and implement new features, algorithms, and architectures for platform enhancement that can allow other developers to work at high velocity.
You will design new features alongside business owners, engineering managers, and product managers
You will investigate and resolve production issues to ensure minimal downtime and user impact as part of your On-call responsibilities to ensure we continue to provide service uptime and delight customers with continued service availability
Qualifications
What Essential Skills You Will Need
We are looking for someone with at least 4 years of experience in backend engineering
You have solid software engineering and coding skills, with proficiency in GoLang and other programming languages
You have experience with RDBMS with unit testing Junit, and mocking frameworks.
Hands-on experience with an In-depth understanding of Idempotency, CAP theorem, and Distributed Consensus.
You have experience with with observability tooling e.g. Datadog or tooling of similar utility
You have experience working with large-scale payment processing systems
Experience with Microservice architecture, GRPC, REST API, Kafka, SQS
Additional Information
Life at Grab
We care about your well-being at Grab, here are some of the global benefits we offer:
We have your back with Term Life Insurance and comprehensive Medical Insurance.
With GrabFlex, create a benefits package that suits your needs and aspirations.
Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave
We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.
What we stand for at Grab
We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",None
Full-Stack Software Engineer (Mid. Level),TRAVLR Indonesia,Bali,Rp 13.500.000 – Rp 20.000.000 per month,Contract/Temp,"Responsibilities:
As a Software Engineer at Slyp you are responsible for the design, development, implementation, testing, and support of the products we provide to our consumers, merchant, and strategic partners and future products and applications that Slyp may provide to consumers. 
The interface points of this role include:
Other Full-stack, Front end, and Backend Software Engineers working on systems and APIs which are consumed by the code, systems, and APIs developed by the team.
Core Responsibilities:
Contribute significant code to the project, team, or product and you work independently on your tasks and solutions. Your work is of high quality and requires little rework after review. 
Can solve difficult problems and use the appropriate technology to implement the solutions. Your designs and work output represent the use of software best practices and adherence to internal and external code standards. Your designs and code are stable, easily maintained, appropriately complex, and perform well. 
Proficient in a broad range of design approaches and know when it is appropriate to use them and when it is not. Your solutions are pragmatic. 
Consider the legacy of the code you produce and write code that is understandable by someone external to your team. 
Create flexible software without over-engineering.
Make appropriate trade-offs, re-use where possible, and are judicious about introducing dependencies. 
Efficient with resource usage and understand performance and security concerns. 
Work on projects with a wide range of participants, including from Merchant, Product, and Engineering. You help your team continuously improve by actively participating in the code review process, design discussions, team planning, and retros, post-mortems, and other reviews.
Focus on operational excellence, constructively identifying problems and proposing solutions. 
Take on projects and make software enhancements that improve team software and processes. 
Work to resolve the root cause of complex problems, leaving software better and easier to maintain than when you found it. 
Train new engineers on how our software is constructed, how it operates, how secure it is, and how it fits into the bigger picture. You help recruit and interview for your team. 
Mentor and help to develop others.
Qualifications and Technical Requirements:
At least 3 years of experience in a similar software engineering role 
A degree in computer science, engineering, or a related field, or equivalent work experience 
Proficient in TypeScript, NodeJS and either React or React Native, and willing to learn new frameworks and technologies as you contribute to a broad set of services and apps 
You’re a team player and collaborate with the team to adjust to changing priorities 
Excellent communication, collaboration, and problem-solving skills 
Experience with testing tools such as Jest, Cypress, or Playwright 
Experience with designing and deploying cloud resources, preferably on AWS 
Experience with Git, developer code review processes, and CI/CD tools such as GitHub Actions 
Strong knowledge of web development fundamentals, such as RESTful APIs, security, performance, etc. ",None
Full-Stack Software Engineer (Senior Level),TRAVLR Indonesia,Bali,Rp 23.500.000 – Rp 35.000.000 per month,Contract/Temp,"Responsibilities:
As a Software Engineer at Slyp you are responsible for the design, development, implementation, testing, and support of the products we provide to our consumers, merchant, and strategic partners and future products and applications that Slyp may provide to consumers. 
The interface points of this role include:
Other Full-stack, Front end, and Backend Software Engineers working on systems and APIs which are consumed by the code, systems, and APIs developed by the team.
Core Responsibilities:
Considered a technical leader on your team. 
Work efficiently and routinely deliver with limited guidance. Your work focuses on complex, ambiguous problem areas in existing or new areas. Rather than thinking about a problem in isolation, you consider the overall impact and application of your solution and take a long-term view in implementing it. You are not content with leaving a system broken or impaired but when performing your tasks, you take action to fix architectural or systemic issues in the code. 
Make the systems you work on simpler by addressing redundant systems, unnecessary or obsolete code, and improving documentation constantly. 
Take the lead on large projects that require the work of your team rather than your sole contribution. You assist the PM/TPM/TL to divide a software project into parallel work that can be performed by you and other engineers.
Have a strong understanding of the business impact of your systems and show good judgment when making technical trade-offs between your team’s short-term business or operational needs and long-term technology needs. You are a key influencer in team strategy and drive open, honest, transparent, and respectful discussions with customers and peers. 
Bring perspective and provide context for current technology choices and guide future technology choices. Your code submissions and ways of working are an example to the team. Solutions you propose or implement are inventive, secure, easily maintainable, scalable, and extensible. 
Write software that is easy for others to contribute to. 
Take ownership of team architecture, providing an overall system view and design guidance. You make complex things simpler. You drive engineering best practices and guide standards for engineering excellence and hygiene. 
Influence software decisions made by other teams. You build consensus and determine a win-win path forward in situations where there are conflicting views – including your own – and regardless of who is raising a solution, you treat them all as equal value. 
Actively recruit and coach, teach, and mentor others.
Qualifications and Technical Requirements:
At least 3 years of experience in a similar software engineering role 
A degree in computer science, engineering, or a related field, or equivalent work experience 
Proficient in TypeScript, NodeJS and either React or React Native, and willing to learn new frameworks and technologies as you contribute to a broad set of services and apps 
You’re a team player and collaborate with the team to adjust to changing priorities 
Excellent communication, collaboration, and problem-solving skills 
Experience with testing tools such as Jest, Cypress, or Playwright 
Experience with designing and deploying cloud resources, preferably on AWS 
Experience with Git, developer code review processes, and CI/CD tools such as GitHub Actions 
Strong knowledge of web development fundamentals, such as RESTful APIs, security, performance, etc. ",None
Full Stack Java Software Developer,PT Hyundai Autoever Indonesia,"South Jakarta, Jakarta",None,Full time,"Job Description:
We are seeking a talented and experienced Software Developer to join our dynamic team. The ideal candidate should have a minimum of 5 years of professional experience in software development, with a strong proficiency in Java programming language. The Software Developer will play a key role in designing, developing, and maintaining high-performance software solutions.
Responsibilities:
Write clean, efficient, and maintainable code, adhering to coding standards and best practices.
Implement and optimize algorithms and data structures to meet performance and scalability requirements.
Troubleshoot, debug, and resolve software defects and issues in a timely manner.
Participate in code reviews to ensure code quality and provide constructive feedback to team members.
Work closely with product managers and other stakeholders to refine and clarify software requirements.
Stay up-to-date with industry trends and advancements to continuously improve technical skills and knowledge.
 Requirements:
Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience).
Minimum of 5 years of professional experience as a Software Developer.
Proficiency in Java Programming Language, with a strong understanding of its ecosystem and features.
Solid understanding of common data structures, algorithms, and concurrent programming.
Strong problem-solving skills and the ability to analyze and optimize code for performance.
Excellent communication and collaboration skills to work effectively within a team environment.
Good communication in English both oral and written
 Preferred Qualifications:
Familiarity with additional programming languages and technologies like ReactJS & TypeScript.
Familiarity in relational databases (MySQL is preferred) and ORM technology (JPA is preferred).
Knowledge of software design patterns and best practices.
Previous experience in developing scalable and distributed systems.
Knowledge of distributed architecture and familiarity with orchestrators such as Kubernetes (K8S) is a plus.
Familiarity with version control systems, build tools, and continuous integration.
Experience working with middleware components, such as Redis and Kafka is preferred.
If you meet these requirements and are passionate about building world class software solutions, we encourage you to apply and join our innovative team.
 ",None
Senior Backend Software Developer,PLUVIA PTE. LTD.,"South Jakarta, Jakarta",None,Full time,"Position: Senior Backend Software Developer
We are looking for YOU, a Senior Backend Software Developer that can help us plan, build, and maintain server-side operations for Pluvia.
You will be part of a growing team providing unique and state of the art prediction services using Machine Learning for weather and flood forecasts to various clients as well being involved in software related projects. These clients include, but not limited to, big clients in SE Asia providing transport and distribution services as well as other private clients and governmental organizations. We are a growing company and are looking for dedicated people that help us grow with their skills and know-how. 
You will be based in Jakarta, where we are growing a team that will be responsible for development, deployment, maintenance, and daily operations of such services and projects, leveraging what our data scientists and domain experts create into commercial services and products.
You will report directly to Pluvia’s Head of Engineering/Chief Software Architect, having a local Team Lead in Jakarta as a daily functional reference
At Pluvia:
Pluvia, the world leader in tropical rain forecasting, offers game-changing hyperlocal rain forecasts with unprecedented accuracy. Pluvia integrates data from multiple sources into our Meteorology Algorithm to produce best-in-class rain forecasts, down to a 100m grid. We turn forecasts into actionable insights.
We are a company with multiple nationalities where we excel for a good interaction and cultural exchange among all.
About you:
To possess a degree in Computer Science or related area
Be fluent in English, both spoken and written as we are a multi nationality company. Your daily functional reference (Local Team Lead in Jakarta) can be in Bahasa.
Ability and flexibility to travel in SE Asia when required (mainly Singapore where Pluvia has its HQ)
Be a good team player and mentor to other team members on a daily basis but mostly when it’s of utmost importance.
Be a pro-active person that can anticipate challenges but can also react when new challenges arise.
Be a person with a positive attitude and a “Can Do” mentality.
Be a person that like to take new challenges
 We expect you to master the following tech skills:
In-depth understanding of the Software Development Life Cycle (SDLC) 
Strong proficiency in Python 
Expertise in SQL databases, particularly Postgres 
Solid understanding of Clean Code Architecture 
Experienced in Microservices architecture. 
Knowledgeable in Unit Testing and Test-Driven Development (TDD) 
Strong understanding of RESTful APIs 
Experience with containerization technologies 
Proficient in Azure ecosystem including Blob Storage, Database for PostgreSQL, Logic Apps, Container Instances
Experience with agile methodologies mainly with SCRUM
Experience with source control using Git, encompassing branching strategy, pull request workflows, and version control and CI/CD pipelines using Azure DevOps
Any of the following skills will be a plus:
Be proficient in .Net
Be familiar with both Windows and Linux environments.
Experience with Messaging Services 
Knowledge of cache management 
Familiar with security, authorization and authentication flows and technologies
Familiarity with Azure Kubernetes Service or any other service that can scale up with heavy loaded parallel calculations
Knowledge about GIS and spatial data manipulation and processing
Familiar with modelling software in the water domain
We offer you:
A growing company providing state-of-art set of services and offerings.
A competitive salary after qualifications
Vacation days according to seniority
Other competitive benefits.
Flexibility in your daily work according to Pluvia’s internal regulations
A people minded company that wants you to grow as the company grows.
Location: South Jakarta
Job type: Full time, on site
How to apply:
Please include your CV and an introduction letter where you let us know what you see in this position and what motivates you to seek it. Please also mention the expected salary.",None
