job title,company name,location,salary,job type,job description,programming language
full stack developer,Edugate,Jakarta,7000000.0,Full-time,"Software Developer with the following requirements:
1. Bachelor degree/D3 in Information System, Computer Science, Computer Engineering, Information and Communication Technology or other ICT related fields with minimum GPA of 3.3.
2. Proficient in one of the following programming languages such as dotnet, PHP, Java, DART, Javascript, HTML&CSS.
3. Having and understanding of cross-platform runtime environments such as Node.js
4. Good understanding of version control such as GIT is advantageous.
5. Having good understanding of IDEs such as VS Code, Visual Studio, Android Studio, etc.
Jenis Pekerjaan: Penuh Waktu, Fresh Grad, Permanen
Pendidikan:
D1-D4 (Diwajibkan)
Bahasa:
English (Diutamakan)
Bersedia Melakukan Perjalanan:
25% (Diutamakan)","['Java', 'JavaScript', 'PHP', 'Node.js', 'Dart']"
full stack developer,Techtiera Services Indonesia,Bekasi,8000000.0,Full-time,"As a Full-Stack Developer, you will be tasked with the development and enhancement of modules for an existing platform, utilizing React for frontend development, Express JS for backend services, and maintaining Laravel-based projects. Your role will include understanding and following the existing code patterns for creating API endpoints to ensure applications integration of new features. You will be responsible for driving design decisions to maintain separation of concerns and allowing initiative-driven approaches. The ability to work swiftly is critical, as you will contribute to corporate industrial-grade application demanding high standards of performance and reliability.
Key Responsibilities:
Develop and maintain modules on the existing React frontend and Express backend, along with Laravel backend projects.
Understand and adhere to existing codebase and architectural patterns, ensuring consistency across all platforms.
Design documentation API endpoints for mobile apps, ensuring robustness, security, and scalability.
Exhibit high standards in code quality documentation and version control practices.
Maintain creativity at initiative level solving complex problems introducing new features.
Collaborate with cross-functional teams to define design and ship new features in a timely manner as per specifications.
Additional Details:
Work Type: Full WFO
Work Location: Cibitung, Cikarang Barat
Job Types: Full-time, Contract
Contract length: 12 months
Ability to commute/relocate:
Cibitung: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
How much is your expected monthly salary with us? (in gross)
How long will your notice period be from your current employer if required?
How much is your current monthly salary?
What is your last GPA? (IPK)
Education:
D1-D4 (Preferred)
Experience:
Express.JS: 2 years (Preferred)
Laravel: 2 years (Preferred)
Language:
English (Preferred)",['JavaScript']
full stack junior developer,PT Smart Milenium Effisiensi,Depok,5067381.0,Full-time,"Kualifikasi
Laki-laki
Usia Max 30 Thn
Belum Menikah
Pendidikan min. SMK / D3 jurusan T. informatika / Rakayasa Perangkat Lunak
Pengalaman 1 -2 Tahun
Kemampuan dalam bahasa pemrograman seperti JavaScript, Typescript dan PHP
Pengalaman dengan HTML, CSS, dan JavaScript (termasuk framework seperti React/Vue.js untuk frontend).
Pengetahuan tentang pembuatan API RESTful.
Pengetahuan dasar tentang database SQL (seperti MySQL, PostgreSQL) atau NoSQL dan bagaimana cara mengelola data.
Pemahaman tentang Git dan penggunaannya untuk mengelola source code.
Pemahaman tentang konsep rancangan perangkat lunak (Software Design Patterns).
Pengetahuan tentang arsitektur perangkat lunak seperti Model-View-View-Controller (MVVC).
Keterampilan dalam memecahkan masalah dan analisis logika yang kuat untuk menemukan solusi efektif dalam pengembangan aplikasi.
Kemampuan untuk berpikir kritis
Keterampilan komunikasi yang baik untuk berkolaborasi dengan tim, menyampaikan ide, dan bekerja sama dalam proyek bersama.
Menguasai basic Bahasa Inggris dan berbahasa inggris secara pasif
Kemampuan untuk belajar secara mandiri, memahami dokumentasi teknis, dan mengikuti perkembangan teknologi terbaru.
Pemahaman tentang tes unit dan integrasi, serta kemampuan untuk melakukan debugging dan troubleshooting.
Mempunyai pengalaman proyek sebelumnya atau portofolio yang menunjukkan pemahaman tentang konsep-konsep pengembangan perangkat lunak.
Jam kerja : office hour hybrid (Fleksible mengikuti Operational Development)
Job Type: Full-time","['Visual Basic', 'JavaScript', 'TypeScript', 'PostgreSQL', 'PHP', 'SQL', 'MySQL']"
senior full-stack developer (angular/expressjs),Worldly,Jakarta,13931335.897959184,Full-time,"Senior Full-Stack Developer (Angular/ExpressJS)
Location: South America (Remote), the Balkan Region (Remote)
About Worldly
Worldly is the world’s most comprehensive impact intelligence platform — delivering real data to businesses on impacts within their supply chain. Worldly is trusted by 40,000 global brands, retailers, and manufacturers to provide the single source of ESG intelligence they need to accelerate business and industry transformation.
Through strategic and meaningful customer relationships, Worldly provides key insights into supplier performance, product impact, trends analysis, and compliance. When a company wants to positively improve their environmental and societal impact, we enable that systemic shift.
Backed by a dedicated global team of individuals aligned by values, Worldly proudly operates as a public benefit corporation with backing from mission-aligned investors. Want to learn more? Read our story.
About the Opportunity
We are seeking an experienced and highly skilled Senior Full-Stack Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining a large-scale Angular front-end application, as well as building and integrating the back-end systems using ExpressJS and various database technologies.
What You'll Do
Design and develop complex, scalable, and high-performance Angular applications using the latest version of Angular and related technologies.
Build and maintain RESTful APIs and microservices using ExpressJS and Node.js.
Integrate the front-end with back-end systems, ensuring seamless data flow and communication.
Design and develop database schemas for relational (e.g., PostgreSQL, MySQL) and document-based (e.g., MongoDB) databases.
Implement best practices for code structure, maintainability, performance optimization, and security.
Utilize NGRX for state management and RxJS for reactive programming within the Angular application.
Ensure cross-browser compatibility and responsive design for optimal user experience on various devices.
Write clean, well-documented, and testable code using industry-standard coding practices.
Participate in code reviews and provide guidance to junior developers.
Stay up-to-date with the latest trends, best practices, and emerging technologies in both front-end and back-end development.
We'd Like to See
7 or more years of related experience
Proven experience in designing, developing, and maintaining large-scale Angular applications (version 8 or later).
Strong proficiency in TypeScript, HTML5, CSS3, and modern JavaScript (ES6+).
Experience with NGRX for state management and RxJS for reactive programming.
Familiarity with building reusable and testable Angular components, services, and modules.
Experience with ExpressJS and Node.js for building RESTful APIs and microservices.
Proficient in working with relational databases (e.g., PostgreSQL, MySQL) and document-based databases (e.g., MongoDB).
Knowledge of web networking protocols (HTTP, HTTPS, WebSockets) and security best practices (authentication, authorization, encryption).
Experience with front-end build tools and processes, such as Webpack, Gulp, or Grunt.
Knowledge of responsive web design and cross-browser compatibility techniques.
Proficient in version control systems, such as Git.
Strong problem-solving and debugging skills.
Excellent communication and teamwork abilities.
It Helps If You Have
Experience with front-end testing frameworks (e.g., Jasmine, Karma) and back-end testing frameworks (e.g., Jest, Mocha).
Knowledge of cloud platforms and deployment processes (e.g., AWS, Azure).
Familiarity with agile methodologies and project management tools.
Familiarity with UI/UX design principles and accessibility standards.
Familiarity with front-end and back-end performance optimization techniques.
Experience with Monorepos, ideally the NX Monorepo framework.
Experience with Kendo UI for Angular
What We Can Offer You
Comprehensive benefits offerings. 100% of employee premiums are covered by Worldly.
Company-sponsored 401k with up to 4% match.
Incentive Stock Options
100% Parental Paid Leave
Unlimited PTO
Paid company holidays
Life at Worldly
Our team is motivated to transform the way products are made. By helping our customers succeed in a new era of sustainable production, we can build technology that makes a difference on a planetary level.
Our team represents over 15 countries and brings unique experiences from technology to farming to the table. Surround yourself with kind, enthusiastic, and dedicated people who put collaboration and growth at the center of our shared goals.
Benefits and Perks
Earn a competitive salary and performance-based bonuses. Get healthcare, retirement matching, and equity for US employees.
Use the office stipend to get the supplies you need—combat Zoom fatigue with no-meeting Fridays.
Flexible time off. Take the time you need to recharge. Our culture encourages team members to explore and rest to be their best selves.
We're remote, not lonely. Join the culture committee, coffee chats, book club, or a variety of other interest groups.
Equity Statement
We believe reflecting the diversity of those we strive to serve is essential. True innovation happens when everyone has room at the table, including the tools, resources, and opportunity to excel. We’re dedicated to building a culturally and experientially diverse team that leads and works with empathy and respect.
Compensation Overview
$42,900 - $47,850 USD Annually - South America
$45,500 - $50,750 USD Annually - Balkan Region
Annual Bonus
Comprehensive Benefits Program
Final compensation details will be determined based on a wide variety of factors, including experience and location. These factors will be evaluated and considered by Worldly throughout the entirety of this process.
Compensation figures are listed in USD and are converted to the applicable rate in this region.
Compensation Range: $42.9K - $47.9K","['TypeScript', 'JavaScript', 'PostgreSQL', 'Node.js', 'MySQL']"
front-end (react) developer,Bibit.id,Jakarta,13931335.897959184,Full-time,"Company Description

Bibit.id is a platform to help you to start your investment in mutual fund in a very simple way.

Job Description

We're currently looking for a top-notch full-stack developer to grow with our Developer team. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows. You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important. We're looking for someone who will constantly challenge themselves to be on the cutting-edge of new technology and grow the team's knowledge of best practices. Responsibilities
Develop a maintainable, secure, scalable, well-tested and well-written web-based application.
Work seamlessly with the other team in particular Product teams, Backend Devs, UI Designers & QA teams.
Work with product team and graphic designers to understand user interactions
Maintaining our design system components which will be used app-wide

Qualifications

Requirements
Strong knowledge in Javascript
Strong knowledge in ReactJS concepts along with its popular accompanying libraries such as Redux, thunk, axios etc
Strong knowledge in HTML+CSS especially with general web interactivity
Understand how to construct a clean & efficient codebase within a React project
Experience in using testing framework such as Jest, Mocha, @testing-library/react, enzyme is a big plus
Excellent in working within a team, with good communication skills
Knowledge in version control tools (git, mercurial) is a big plus
Knowledge in using Storybook is a big plus
Knowledge in using NextJS is a big plus

Additional Information

What’s it like working at Bibit.id?
At Bibit.id, we are collaborative, innovative, open, balanced and adaptable.
Benefits and perks of working with us include:
Compensation: Competitive salaries
Lifestyle: Casual dress code
Welfare: Dental insurance, Health insurance
Our Spirit & Beliefs
Teamwork & Collaboration
We believe more work can be accomplished through informal teams. Our organizational design encourages interactions and collaborations between founders and employees where we can easily communicate, hold meeting and tackle concerns in an efficient manner.
Transparency.
All employees understand the thinking, responsibilities and strategy of the company. We encourage sharing of ideas and feedback no matter who you are.
Work-Life Integration
We believe that having clear-thinking people will boost productivity. While working hard is important, we think it is important to avoid getting burnt out and value the need to have a fulfilling personal life.",['JavaScript']
"middle full stack developer (vue.js, node.js)",INFUSE,Jakarta,13931335.897959184,,"OUR HIRING PROCESS:
We will review your application against our job requirements. We do not employ machine learning technologies during this phase as we believe every human deserves attention from another human. We do not think machines can evaluate your application quite like our seasoned recruiting professionals—every person is unique. We promise to give your candidacy a fair and detailed assessment.
We may then invite you to submit a video interview for the review of the hiring manager. This video interview is often followed by a test or short project that allows us to determine whether you will be a good fit for the team.
At this point, we will invite you to interview with our hiring manager and/or the interview team. Please note: We do not conduct interviews via text message, Telegram, etc. and we never hire anyone into our organization without having met you face-to-face (or via Zoom). You will be invited to come to a live meeting or Zoom, where you will meet our INFUSE team.
From there on, it's decision time! If you are still excited to join INFUSE and we like you as much, we will have a conversation about your offer. We do not make offers without giving you the opportunity to speak with us live. After all, we consider our team members our family, and we want you to feel comfortable and welcomed.

At INFUSE, we are at the forefront of innovative technology solutions, dedicated to creating exceptional digital experiences. We are looking for a talented and motivated Middle Full Stack Developer to join our dynamic team. If you have a passion for building robust and scalable web applications using Vue.JS and Node.JS, and you thrive in a collaborative environment, this is the perfect opportunity for you. As part of our dynamic team, your responsibilities in this role will include:
Collaborate with project coordinators, designers and other stakeholders to gather requirements, provide technical insights, and deliver solutions that meet business objectives.
Develop responsive and mobile-friendly web applications, ensuring optimal performance and user experience across various devices and screen sizes.
Implement SEO best practices and optimization techniques to improve search engine rankings and drive organic traffic to web applications.
Optimize application performance through efficient coding practices and the use of cache and firewall solutions.
Adapt to the latest versions of NodeJS and associated technologies.
Conduct code reviews to ensure code quality, maintainability, and adherence to best practices and coding standards.
Write and execute unit tests, integration tests, and end-to-end tests to identify and fix bugs and ensure the reliability of applications.
Continuously improve application performance and user experience through regular updates and refactoring of code.
Implement security best practices to protect applications from vulnerabilities and ensure data integrity and privacy.
Necessary skills important to us:
Front-end:
HTML CSS (SCSS)
JavaScript
jQuery
VueJS
Bootstrap

Back-end:
NodeJS
Framework ExpressJS
ORM Sequelize (for database)
PostgreSQL (database)

Our ideal candidate possesses the following skills:
At least 4 years of experience working with the technologies described above;
Confident skills in implementing animated elements and interactive features using modern JavaScript frameworks and libraries (as LottieJS);
Proficient use of Git for version control;
Experience with design tools such as Figma for collaboration with designers;
Ability to adequately assess a task and meet deadlines;
Basic understanding of CI/CD and deployment processes;
Proficiency in English, equivalent to B1 level or higher;
Demonstrated responsibility and strong organizational skills;
Keen attention to detail.
Additional qualifications that would be considered a plus:
Knowledge of preprocessor pug for HTML
Experience with email markup
If you meet these criteria and are excited about contributing to our team, we encourage you to apply.","['Node.js', 'Visual Basic', 'PostgreSQL', 'JavaScript']"
full stack developer,Aero Systems Indonesia,Jakarta,13931335.897959184,,"Requirements:
Bachelor's Degree in Computer Science/Information Technology or equivalent
At least 1 years of experience as Full Stack Developer or related position
Has a good personality, teamwork, and eagerness to learn new knowledge
Has interest in application programming (Java/PHP/.NET/JavaScript/Python)
Has experience with other object-oriented languages are advantageous
Understand the state of the art software development technology
Preferably can join immediately (ASAP) and willing to be placed onsite at ASYST Office (Soekarno-Hatta Airport Area)","['PHP', 'Python', 'Java', 'JavaScript']"
full-stack developer (php / wordpress),AbeloHost B.V.,Jakarta,34507957.0,Full-time,"We are actively exploring new opportunities in the internet world and seeking ways to enhance our influence. To facilitate this growth, we are assembling a team of motivated and skilled professionals. At present, we are searching for an experienced Full-stack Developer (PHP / JS / WordPress) to contribute to various projects. Your responsibilities will include working on tasks related to ticketing, a GIF site, our themes, and kernel video sharing. This position is a remote, full-time freelance opportunity.
This position is available to candidates with varying levels of experience, ranging from a minimum of 1 to 3 years or more. We kindly request that you indicate your experience level—Junior, Middle, Senior, or Lead—so we can direct your application to the appropriate department.
Responsibilities:
Developing custom themes and plugins for WordPress;
Working with custom PHP scripts;
Creating WordPress sites of varying complexity;
Developing themes and plugins;
Providing support for company projects;
Collaborating effectively within a team;
Setting and completing tasks.
Requirements:
PHP 7+;
JavaScript, HTML, CSS;
MySQL, MongoDB (+);
WordPress (hooks, custom posts/taxonomies/fields, REST API, query creation using wpdb, etc.);
Experience with various CMS platforms (primarily Kernel Video Sharing and WP) as well as frameworks (primarily Laravel);
Experience in writing plugins for WordPress;
Experience in optimizing and securing WordPress;
Strong attention to detail;
Eagerness to work and develop professionally.
Benefits:
Remote full-time position;
Starting salary range: €1300 – €2000/month; the exact salary is negotiable and corresponds with the candidates’ previous experience and skills;
Freelance contract;
Bonus system;
Opportunities for professional development and personal growth.
What’s next?
If this role resonates with you and you believe you have the capabilities to excel in it, please submit your CV along with a link to your GitHub.
To ensure your qualifications match the company’s goals, we’ve created a multi-step selection process that will assess your skills. The process includes several test assignments, as well as an interview so that we can get to know you better. Therefore, give it your best shot and get ready to use this opportunity to the fullest.
Job Type: Full-time
Experience:
WordPress: 1 year (Required)
PHP: 1 year (Required)
Language:
English (Required)","['PHP', 'MySQL', 'JavaScript']"
full stack developer,Tera Logistik Internasional,Jakarta,13931335.897959184,,"Requirements
Minimum 3 years of full stack development experience.
Bachelor’s Degree in computer science or related field from reputable university.
Experience editing custom WordPress themes and plugins.
Deep understanding in HTML, CSS, Bootstrap, and jQuery.
Deep understanding in PHP, MySQL, PHP OOP, and PHP Framework.
Required languages: English and Bahasa Indonesia.
Applicants must be willing to work in Jakarta.
Responsibilities
Design, develop, test, and maintain the website.
Build new features and fix bugs.
Optimization of the website for maximum speed and scalability.
Implementation of security and data protection.

Please send your job application to the following email address: support@teralogistics.com","['PHP', 'MySQL']"
full stack developer (magento - remote),PT Lightmedia Inovasi Teknologi,Yogyakarta,7000000.0,Full-time,"We're recruiting for a full-time position as a Full Stack Developer (Magento) in Lime Commerce. We're a dynamic team of tech enthusiasts who thrive on pushing the boundaries and are driven by a passion for creating seamless online experiences that empower businesses in the ever-evolving e-commerce landscape. As a Backend Developer in Lime Commerce, you'll be at the forefront of developing and enhancing e-commerce websites, mobile app backend, and other applications to deliver cutting-edge solutions to our clients.
Responsibilities:
Design and develop web applications from the existing framework
Develop, test, and support technical solutions across the entire development stack.
Collaborate on bug fixes and enhancements to improve application performance.
Take ownership of maintaining, expanding, and scaling our website.
Conduct thorough testing of applications and services.
Collaborate with the team to identify and solve complex problems.
Code, test, and debug web applications and APIs.
Manage server, network, and hosting environments.
Skills and Requirements:
Minimum 3 years experience in backend and frontend development
Expertise in Magento, PHP, MySQL, React, HTML, CSS, Javascript, XML
Have excellent sense in applying optimized logic algorithms and standard code against performance and vulnerability
Understand backend computing and its framework to integrate easily with backend service
Familiarity with working with frameworks and willingness to adhere to platform guidelines.
Clear reading and writing in English.
A fast learner who enjoys moving between many projects
Self-motivated and capable of working with minimal supervision.
Big Plus (Great, but not required):
Familiarity with Magento.
Portfolio showcasing past work.
Proficiency in English.
Perks:
Overtime pay.
12 vacation days/year + 2 sick days.
Remote work options.
THR
BPJS
Job Type: Full-time
Experience:
Full Stack Developer: 2 years (Preferred)","['PHP', 'MySQL', 'JavaScript']"
