Job Title,Company Name,Location,Salary,Job Type,Job Description
"HTML5 Frontend Developer
- job post",Techtiera Services Indonesia,Jakarta,"Rp. 7,000,000 - Rp. 11,000,000 a month",None,"We are seeking a skilled HTML5 Developer to join our team. The ideal candidate will be motivated to combine the art of design with the art of programming. Responsibilities will include translating UI/UX design wireframes into actual code that will produce visual elements of the application. You will work closely with our UI/UX designers and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
Responsibilities:
Develop new user-facing features using HTML5, CSS3, and JavaScript.
Build reusable code and libraries for future use.
Ensure the technical feasibility of UI/UX designs.
Optimize applications for maximum speed and scalability.
Assure that all user input is validated before submitting to back-end services.
Collaborate with other team members and stakeholders to deliver high-quality products.
Stay up-to-date with the latest web development technologies and best practices.
Requirements:
Proven experience as an HTML5 Developer or similar role.
Proficient understanding of web markup, including HTML5 and CSS3.
Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS.
Strong knowledge of web standards and cross-browser compatibility issues.
Familiarity with differences in other HTML5-based views, such as those in email clients.
Fair understanding of JavaScript programming and DOM manipulation.
Excellent problem-solving skills and attention to detail.
A degree in Computer Science, IT, or a related field is preferred.
Additional Details:
Work Location: Sunter, Jakarta Utara
Work Type: Full WFO.
Job Types: Full-time, Contract
Contract length: 12 months
Ability to commute/relocate:
Jakarta: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
How much is your expected monthly salary with us? (in gross)
How long will your notice period be from your current employer if required?
How much is your current monthly salary?
What is your last GPA? (IPK)
Education:
D1-D4 (Preferred)
Experience:
NextJS: 2 years (Preferred)
HTML5 Developer: 2 years (Preferred)
Language:
English (Preferred)"
"IT Quality Assurance
- job post",Dipa Pharmalab Intersains,Jakarta,None,None,"IT
Requirements
Bachelor’s degree in IT
Business Knowledge
Mastering Katalon Studio
Have experience in developing and reviewing test plans & test scripts
Placement : Kebayoran Lama (WFO)
Contract Based Min. 1 Year
Jobdesc
Create and follow plans to test software and ensure it works properly
Run various tests to check if software meets the requirements
Find and record any issues or bugs, and track their resolution
Write down the steps and results of tests
Keep clear records of any bugs and how they are fixed
Generate reports summarizing test results and quality
Work with developers and other team members to understand what the software should do
Participate in reviews to identify and fix any issues after software release
Join Us Now!
If you have all the requirement above, please send your application letter, CV, and the latest photo to
recruitment@dipa.co.id"
"IT Web Developer
- job post",PT. BORWITA CITRA PRIMA,Sidoarjo,None,None,"Job Role :
As a IT Senior Web Developer, you will be collaborate with Business Technology Improvement to create and develop web-based applications that can support the company's core business
Requirements :
Education background minimal S1 Informatics Engineering
Experienced in using the Laravel framework
Skilled in using databases such as Microsoft SQL Server or PostgreSQL
Experienced in using Node.js, Vue.js, Linux, and Git is a plus
Have an understanding on the REST API, OOP, and MVC
Responsible, communicative, target oriented, able to work both in teams and individually
Have good analytical skills and problem solving
Jenis Pekerjaan: Penuh Waktu"
"IT Mobile Apps (Android Developer)
- job post",Farmers Market 99 Indonesia,Jakarta,None,None,"Job Requirements
Min. height NULL cm
Min. weight NULL kg
Min experience 2 tahun
Job Description and Responsibility
Responsibilities :
Developing new features and user interfaces from wireframe models
Ensuring the best performance and user experience of the application
Fixing bugs and performance problems
Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutions


Requirement Skill:
Minimum Bachelor degree in Information Technology / Information System, Minimum GPA 3.0
Experience 1-2 years in job positions
Develop mobile App & Web in ReactNative
Proficiency with HTML,CSS,JavaScript, ReactNative
Ability to write clean, understandable, well-documented code
Able to work independently as well as in team.
Good analytical and problem solving skills.


Placement: Head Office, Kembangan, Jakarta Barat
Additional Information

Informasi Umum
Departement
IT
Employee Type
Full Time
Location
Jakarta Barat, DKI Jakarta
Job Posted On
04 Oktober 2024 (2 weeks ago)
Salary
Negotiable"
"IT Senior PHP Developer
- job post",Apotek K 24,Indonesia,None,None,"Responsibilities
Design and development system sesuai kebutuhan User
Melakukan testing pada system
Melakukan riset dan pengembangan system
Requirements
Pendidikan minimal S1 Teknik/Sistem Informatika/Ilmu Komputer
Berpengalaman minimal 1 tahun dibidang yang sama (diutamakan)
Menguasai PHP framework (Laravel/Yii) dan teknologi API/WEBSERVICE
Mengerti database mysql atau postgresql
Mampu berkerja sama dengan team dan berkomunikasi dengan baik
Mampu mengikuti perkembangan teknologi
Bersedia penempatan di kantor pusat PT K-24 Indonesia di Kota Yogyakarta"
"Full Stack Developer
- job post",Dipa Pharmalab Intersains,Jakarta,None,None,"IT
Requirements
Diploma 3 or Bachelor Degree In IT
Minimum 1 year experience in related field
Good skill in Backend : PHP and Laravel or NodeJs
Good skill in Frontend : React or NextJS or Vue or Vite
Good skill in My SQL Database
Have knowledge about Flutter and/or experienced in developing apps is an advantage
Hand on experience with RESTful services and API’s
Experience with Code version control such as Git
Familiar with development process using agile methodologies, especially Scrum framework
Full WFO – Kebayoran Lama, South Jakarta
Contract based : min. 1 year
Jobdesc
Create and develop application or related program based on user request
Maintain and manage program / apps
Create the user guide
Deploying and installing program / apps
Archiving documents in digital and hard copy (source code, user guide, report)
Giving advice, evaluation, recommendation and consultation related with the program
Join Us Now!
If you have all the requirement above, please send your application letter, CV, and the latest photo to
recruitment@dipa.co.id"
"Full Stack Developer
- job post",Dipa Pharmalab Intersains,Jakarta,None,None,"IT
Requirements
Diploma 3 or Bachelor Degree In IT
Minimum 1 year experience in related field
Good skill in Backend : PHP and Laravel or NodeJs
Good skill in Frontend : React or NextJS or Vue or Vite
Good skill in My SQL Database
Have knowledge about Flutter and/or experienced in developing apps is an advantage
Hand on experience with RESTful services and API’s
Experience with Code version control such as Git
Familiar with development process using agile methodologies, especially Scrum framework
Full WFO – Kebayoran Lama, South Jakarta
Contract based : min. 1 year
Jobdesc
Create and develop application or related program based on user request
Maintain and manage program / apps
Create the user guide
Deploying and installing program / apps
Archiving documents in digital and hard copy (source code, user guide, report)
Giving advice, evaluation, recommendation and consultation related with the program
Join Us Now!
If you have all the requirement above, please send your application letter, CV, and the latest photo to
recruitment@dipa.co.id"
"It Application Developer
- job post",OTO Group,Jakarta,None,None,"Melakukan pengembangan program-program dalam rangka pemenuhan kebutuhan program-program aplikasi yang ada di perusahaan.
Pria/Wanita, Usia maks. 32 tahun* Pendidikan min. D3/S1 Teknik Informatika / Manajemen Informatika / Teknik Komputer* Menguasai basic Script Programming T-SQL untuk SQL Database 2008/ 2012* Menguasai C# dan .Net, SQL, HTML, CSS, Javascript/ Jquery, AJAX dan IIS* Memahami Model-View-Controller (MVC) dan .Net Framework* Pengalaman dengan Microsoft .Net dan Visual Studio 2008/ 2010* Memahami Database Design, Application Design dan Architecture Memahami Software Design dan Methodology* Memiliki pengalaman mengembangkan aplikasi menggunakan AS.Net/ C# dan SQL database 2012* Menguasai Programming iOS (XCode) menjadi nilai tambah* Berpengalaman 3 tahun di bidang yang sama"
"IT Web Developer (Java)
- job post",PT. Esta Dana Ventura,Tangerang,"Rp. 4,000,000 - Rp. 5,000,000 a month",None,"IT Web Developer (Java)
Job Description/ Responsibilities
- Membuat, menyediakan & mengembangkan Web front end menggunakan bahasa pemrograman Java (zk)
- Membuat Web Front End berdasarkan permintaan dari System Analyst
- Mengidentifikasi, memperbaiki masalah terkait Web Front End aplikasi
- Melakukan publish aplikasi
Requirement IT Web Developer
* You have prior experience in JAVA
* Required Skill(s) : HTML, Java Script, CSS, Strong of Bootstrap
* Have a good knowledge of RESTful API Concepts, MVC Concepts, GIT, jasper report
* Having knowledge of how to publish application JAVA will be advantage
* Developing application based on given requirement
* Identify problems and perform problem fixing
* Able to work in a team
* At least more than 3 years of experience working as JAVA programming
Job Type: Full-time
Education:
S1 (Preferred)
Experience:
Web Development: 1 year (Preferred)
HTML: 1 year (Preferred)
Javascript: 1 year (Preferred)
PHP: 1 year (Preferred)"
"Fullstack Developer
- job post",PT Inovasi Karya Resman,Bandung,"From Rp. 4,000,000 a month",None,"Job description:
Collaborate in agile software development teams
Building, testing, optimizing stable and great products
Maintain documentation, code quality and automatization environment
Willing to learn and adapt different technologies
Requirements:
Knowledge and experience with front-end framework Laravel, Node Js, (Next JS), React JS, JavaScript, HTML and CSS.
Experience in MongoDB, PostgreSQL/Mysql Database, Rest API (JSON/XML), & WebService.
Good understanding of layout and basic user interface design principles.
Able to build clean, maintainable, and well-tested code.
Experience doing writing unit tests to provide sufficient testing coverage is a plus.
Strong debugging and problem-solving skills, able to debug complex issues at every level of the stack.
Knowledge code version control such as GIT.
Strong analytical and planning skills.
Understand OOP concept.
Familiar with AGILE, SCRUM, SPRINT frameworks.
Good communication.
Have experience in IT Company is a Plus.
Job Type: Full-time
Ability to commute/relocate:
Bandung: Reliably commute or planning to relocate before starting work (Required)"
