Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
2D Senior Artist,PT Gameloft Indonesia (Yogyakarta),"Yogyakarta, Yogyakarta Special Region",None,Contract/Temp,"Job Description
Artistic and Technical Responsibilities
Produce high quality 2D assets and textures
Performing graphical work assigned by producers, delegate work to your team members.
Contribution in Management
Help supervisors with training work shop and seminars and to share knowledge and experiences.
Possess a library of 2D references to use and to share with the art team
Foresee future mistakes and prevent them from happening
Produce, check and update 2D documentation
Qualifications
Good level in 2D Art: hand-drawing, digital painting, design and illustration
Advance level in Photoshop
Able to create vector-based illustrations using Adobe Illustrator.
Able to create simple 2D animation and motion graphics using Adobe After Effects or other tools.
Great understanding about human anatomy, proportion and perspective
Great understanding of composition, color, shading, lighting, post-processing
Game art experience: Motivated and passionate about game art, good understanding of game art
Good English oral communication skill: able to read English emails and reply
Communication competencies. Getting along with others, negotiation, conflict resolution and decision-making",None
Programmer,Creazy studio,"Medan, North Sumatra",None,Contract/Temp,"Kami Mencari Programmer IT dari Kota Medan bisa berbahasa hokkian yang akan di tempatkan di Serpong, Tanggerang Selatan, Jakarta.
Spesifikasi :
Menguasai salah satu skill bahasa pemrograman diantanya : C, Java Script ,
PHP, Phyton, Visual Basic, UI UX design, web developer, mobile developer
 Persyaratan :
Minimal Lulusan S1 Teknik informatika / Sistem informasi 
Fresh Graduate di terima
Bersedia ditempatkan di Gading serpong
Motivasi belajar dan berkerja yang tinggi

Fasilitas :
Gaji pokok bulanan, tiket keberangkatan, tempat tinggal, peralatan kerja, cuti / libur
Operasional :
Senin - jumat (Fullday), Sabtu (Halfday), minggu & tanggal merah libur

DISCLAIMER : perusahaan bukan berbau judol / hal illegal
 ",None
Senior Backend Software Developer,PLUVIA PTE. LTD.,"South Jakarta, Jakarta",None,Full time,"Position: Senior Backend Software Developer
We are looking for YOU, a Senior Backend Software Developer that can help us plan, build, and maintain server-side operations for Pluvia.
You will be part of a growing team providing unique and state of the art prediction services using Machine Learning for weather and flood forecasts to various clients as well being involved in software related projects. These clients include, but not limited to, big clients in SE Asia providing transport and distribution services as well as other private clients and governmental organizations. We are a growing company and are looking for dedicated people that help us grow with their skills and know-how. 
You will be based in Jakarta, where we are growing a team that will be responsible for development, deployment, maintenance, and daily operations of such services and projects, leveraging what our data scientists and domain experts create into commercial services and products.
You will report directly to Pluvia’s Head of Engineering/Chief Software Architect, having a local Team Lead in Jakarta as a daily functional reference
At Pluvia:
Pluvia, the world leader in tropical rain forecasting, offers game-changing hyperlocal rain forecasts with unprecedented accuracy. Pluvia integrates data from multiple sources into our Meteorology Algorithm to produce best-in-class rain forecasts, down to a 100m grid. We turn forecasts into actionable insights.
We are a company with multiple nationalities where we excel for a good interaction and cultural exchange among all.
About you:
To possess a degree in Computer Science or related area
Be fluent in English, both spoken and written as we are a multi nationality company. Your daily functional reference (Local Team Lead in Jakarta) can be in Bahasa.
Ability and flexibility to travel in SE Asia when required (mainly Singapore where Pluvia has its HQ)
Be a good team player and mentor to other team members on a daily basis but mostly when it’s of utmost importance.
Be a pro-active person that can anticipate challenges but can also react when new challenges arise.
Be a person with a positive attitude and a “Can Do” mentality.
Be a person that like to take new challenges
 We expect you to master the following tech skills:
In-depth understanding of the Software Development Life Cycle (SDLC) 
Strong proficiency in Python 
Expertise in SQL databases, particularly Postgres 
Solid understanding of Clean Code Architecture 
Experienced in Microservices architecture. 
Knowledgeable in Unit Testing and Test-Driven Development (TDD) 
Strong understanding of RESTful APIs 
Experience with containerization technologies 
Proficient in Azure ecosystem including Blob Storage, Database for PostgreSQL, Logic Apps, Container Instances
Experience with agile methodologies mainly with SCRUM
Experience with source control using Git, encompassing branching strategy, pull request workflows, and version control and CI/CD pipelines using Azure DevOps
Any of the following skills will be a plus:
Be proficient in .Net
Be familiar with both Windows and Linux environments.
Experience with Messaging Services 
Knowledge of cache management 
Familiar with security, authorization and authentication flows and technologies
Familiarity with Azure Kubernetes Service or any other service that can scale up with heavy loaded parallel calculations
Knowledge about GIS and spatial data manipulation and processing
Familiar with modelling software in the water domain
We offer you:
A growing company providing state-of-art set of services and offerings.
A competitive salary after qualifications
Vacation days according to seniority
Other competitive benefits.
Flexibility in your daily work according to Pluvia’s internal regulations
A people minded company that wants you to grow as the company grows.
Location: South Jakarta
Job type: Full time, on site
How to apply:
Please include your CV and an introduction letter where you let us know what you see in this position and what motivates you to seek it. Please also mention the expected salary.",None
Web Developer,MIGUNESIA,"Tangerang, Banten",Rp 4.000.000 – Rp 4.500.000 per month,Full time,"Paham html, css, javascript, ReactJS, Laravel, PHP Native
Jika menguasai python lebih di utamakan
Mampu berkomunikasi dengan baik
Memiliki portofolio projek (bagi Fresh graduate)
Menyukai dunia game",None
(Mid / Senior) Android Developer,Crypto.com,Jakarta,None,Full time,"Requirements:
We're looking for self-starting engineers with strong experience developing sophisticated applications. You will be Involved in end-to-end mobile application development life cycle.
Interested in building first-class product to solve real world problems
Experienced with various technologies, a fast learner and have a “get things done” mentality
Strong organizational skills and interpersonal skills and the ability to juggle conflicting requirements from many different stakeholders
Humble to embrace better ideas from others, eager to make things better, open to challenges and possibilities
Experience building complex applications for the Android using Kotlin/Java
Mobile application development at the user interface and system levels
Experience and good understanding on Test-Driven-Development (TDD), implement instrumented unit tests
Experience with Jetpack Compose, Coroutine, MVVM and the multi-module architecture
Experience in building real time graph, displaying real time data etc.
Willing to learn
#LI-CY2
#LI-Hybrid
#LI-MidSenior
Life @ Crypto.com
Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.
Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.
Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.
Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.
One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet. 
Are you ready to kickstart your future with us? 
Benefits
Competitive salary 
Medical insurance package with extended coverage to dependents 
Attractive annual leave entitlement including: birthday, work anniversary
Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up
Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.  
Work Perks: crypto.com visa card provided upon joining 
Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.
About Crypto.com:
Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.
Learn more at https://crypto.com.  
Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.
 Personal data provided by applicants will be used for recruitment purposes only.",None
(Mid / Senior) iOS Developer,Crypto.com,Jakarta,None,Full time,"About the role:
As part of the team you will focus on developing best-in-class iOS applications using our modern tech stack. Our apps are written purely in Swift and architected using MVVM-C. We heavily rely on RxSwift/Combine, so any experience in reactive programming is considered a plus.
The difference you will make:
Collaborate closely with members of tech & product in a cross-functional feature team to develop innovative features for a large global user base.
Analyse product requirements and designs provided by product owners, providing valuable feedback based on your expertise in iOS development.
Deliver high-quality, modularised, and scalable code that is maintainable and testable within reasonable timelines.
Engage in regular sync-ups with not only your feature team, but also the entire iOS team, ensuring that your ideas and insights are heard and valued.
Your expertise:
Minimum of 2 years of full-time iOS development experience (no upper limit)
Proficiency in Swift, UIKit and a solid understanding of iOS development best practices.
Familiarity with MVVM architecture (experience with SnapKit and RxSwift/Combine is highly desirable)
Experience in writing unit tests and snapshot/UI tests
Proficiency in Git and familiarity with branching models such as Git-flow, Trunk Based Development, etc.
Strong problem-solving skills and a passion for continuous learning.
Excellent communication and collaboration abilities.
A focus on producing high-quality code and exceptional user experiences.
Candidates with more experience will be considered as senior developer.
#LI-CY2
#LI-Remote
#LI-MidSenior
Life @ Crypto.com
Empowered to think big. Try new opportunities while working with a talented, ambitious and supportive team.
Transformational and proactive working environment. Elevate employees to find thoughtful and innovative solutions.
Growth from within. We help to develop new skill-sets that would impact the shaping of your personal and professional growth.
Work Culture. Our colleagues are some of the best in the industry; we are all here to help and support one another.
One cohesive team. Engage stakeholders to achieve our ultimate goal - Cryptocurrency in every wallet. 
Are you ready to kickstart your future with us? 
Benefits
Competitive salary 
Medical insurance package with extended coverage to dependents 
Attractive annual leave entitlement including: birthday, work anniversary
Work Flexibility Adoption. Flexi-work hour and hybrid or remote set-up
Aspire career alternatives through us. Our internal mobility program can offer employees a diverse scope.  
Work Perks: crypto.com visa card provided upon joining 
Our Crypto.com benefits packages vary depending on region requirements, you can learn more from our talent acquisition team.
About Crypto.com:
Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.
Learn more at https://crypto.com. 
Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.
Personal data provided by applicants will be used for recruitment purposes only.",None
Angular Full Stack Developer - Remote in Lombok,TabLogs,"Central Lombok, West Nusa Tenggara","Rp 13,500,000 – Rp 20,000,000 per month",Full time,"Who we are:
We started TabLogs to change the game for the geotechnical engineering industry. Our intuitive cloud-based borehole logging software removes a well known bottleneck within the Geotechnical Investigation process by generating finished graphical logs, on site, and in seconds. This means no data entry time back in the office and the capability to provide professional borehole logs to your client weeks before your nearest competitor.
TabLogs was founded by a Geotechnical Engineer that realised the need for intuitive software solution that both drillers and engineers can use to bridge the gap between onsite data collection and finished report ready borehole logs, site plans and sample registers.
Job Description:
TabLogs is seeking a skilled Full Stack Developer with Dev Ops Exp to join our dynamic team. This role involves working on both front-end and back-end development, with a focus on creating seamless API integrations between our desktop and mobile applications and third-party systems. Our front-end currently uses Angular and JavaScript, with some legacy PHP components. The back-end is primarily Laravel PHP-based, emphasizing API development.
Key Responsibilities:
Manage and Monitor our AWS instance
Frontend Development: Develop and maintain web applications using Angular.JS, JavaScript, and PHP. Transition existing frontend codebase to React, ensuring minimal disruption and maintaining high standards of quality.
Backend Development: Design, develop, and maintain PHP-based APIs. Ensure efficient, secure communication between our desktop and mobile applications and third-party services.
System Integration: Work on integrating various external data structures and APIs into our system. This requires strong analytical skills to understand and map external data structures effectively.
Problem Solving: Apply strong problem-solving skills to troubleshoot and resolve complex development issues. Contribute to all phases of the development lifecycle.
Product Leadership: Opportunities to lead the development of specific product streams within the TabLogs portfolio. This includes technical drawing tools (2D and 3D), mapping/GIS solutions, advanced data modeling, reporting tools, and AI assistant development.
Team Collaboration: Work closely with other team members, including front-end and back-end developers, to ensure cohesive and efficient development processes.
Continuous Learning: Stay updated with emerging trends and advancements in web technologies, especially in areas like React, API development, and AI technologies.
Skills and Qualifications
Technical Expertise: Proficiency in Angular, JavaScript, PHP, and experience with Angular.
API Development: Strong experience in developing and integrating APIs.
Problem-Solving: Excellent analytical and problem-solving abilities.
Communication: Strong verbal and written communication skills.
Teamwork: Ability to collaborate effectively in a team environment.
Adaptability: Willingness and ability to quickly learn new technologies and adapt to changing requirements.
Preferred Qualifications
Experience in Technical Drawing, GIS, or AI: Previous experience in developing technical drawing tools, mapping/GIS solutions, or AI assistants is highly desirable.
Project Leadership: Experience in leading projects or product streams.
Career Path and Opportunities
Diverse Experience: Exposure to a wide range of technologies and the opportunity to work on various aspects of the product suite.
Leadership Opportunities: Potential to lead development streams and influence product direction.
Growth and Learning: Continuous learning environment with opportunities to advance in areas of interest, such as AI, GIS, or data modeling.
NOTE: To be considered for this role you must submit a cover letter
Employer questions
Your application will include the following questions:
What's your expected monthly basic salary?
How many years' experience do you have as a full stack developer?
Which of the following programming languages are you experienced in?
How many years of front end development experience do you have?
Which of the following front end development libraries and frameworks are you proficient in?
Which of the following Relational Database Management Systems (RDBMS) are you experienced with?
How would you rate your English language skills?
Have you worked in a role which requires a sound understanding of the software development lifecycle?",None
ADS EXPERT,Private Advertiser,"Pagedangan, Banten",None,Full time,"Tentang Perusahaan
Perusahaan kami adalah perusahaan yang bergerak di bidang penjualan top up game online, voucher games, pulsa listrik, pulsa operator dan lainnya.. Kami sedang mencari seorang profesional berbakat di bidang periklanan digital untuk bergabung dengan tim kami.
Ringkasan Posisi
Kami membuka kesempatan untuk posisi Ads Expert Multi-Platform yang akan bertanggung jawab untuk merancang, mengelola, dan mengoptimalkan kampanye iklan di berbagai platform digital.
Lokasi
BSD (Bumi Serpong Damai), Tangerang Selatan
Tanggung Jawab Utama
Merancang dan mengimplementasikan strategi kampanye iklan di berbagai platform, termasuk namun tidak terbatas pada Google Ads, Facebook Ads, Instagram Ads, TikTok Ads, dan platform lainnya yang menyediakan ads
Mengelola anggaran iklan dan mengoptimalkan pengeluaran untuk mencapai ROI maksimal
Melakukan riset keyword dan audience targeting untuk meningkatkan efektivitas kampanye
Membuat dan menguji berbagai versi materi iklan (copywriting dan visual) untuk menemukan kombinasi terbaik
Melakukan analisis data performa kampanye dan membuat laporan berkala
Berkolaborasi dengan tim marketing, desain, dan produk untuk menyelaraskan strategi iklan dengan tujuan bisnis
Mengikuti perkembangan tren dan praktik terbaik dalam digital advertising
Kualifikasi
Minimal 5 tahun pengalaman sebagai digital advertiser atau performance marketer
Memiliki pemahaman mendalam tentang berbagai platform iklan digital dan fitur-fiturnya
Berpengalaman dalam mengelola kampanye iklan dengan budget besar
Kemampuan analitis yang kuat dan familiar dengan tools analitik seperti Google Analytics
Kreativitas tinggi dalam membuat konsep dan materi iklan
Kemampuan komunikasi yang baik, baik lisan maupun tulisan
Gelar sarjana di bidang Marketing, Komunikasi, atau bidang terkait (diutamakan)
Keahlian yang Diutamakan
Sertifikasi dari berbagai platform iklan (Google Ads, Facebook Blueprint, dll.)
Pengalaman dengan marketing automation dan CRM
Kemampuan dasar design grafis dan video editing
Familiar dengan SEO dan content marketing
Portfolio asli dari hasil pekerjaan sendiri.
 Gaji kompetitif, mulai dari Rp 5.000.000 per bulan (negotiable berdasarkan pengalaman dan keahlian)
Lingkungan kerja yang dinamis dan berpotensi untuk berkembang
 ",None
Motion Graphic Animator,TUNTUN SEKURITAS INDONESIA,"North Jakarta, Jakarta",None,Full time,"Hello Everyone,
Tuntun Sekuritas Indonesia is currently hiring for Motion Graphic Animator.
Industry: Financial/ Sekuritas
Location: North Jakarta
Salary range: IDR 8.000.000 - 20.000.000

Job Responsibilities:
Animate Educational Content: Develop both 2D and 3D animations for investing education videos that communicate complex financial concepts in an engaging and accessible way.
Video Editing & Motion Graphics: Transform raw footage into polished videos by adding motion graphics, titles, infographics, and lower thirds, ensuring high visual and narrative quality.
Creative Development: Work closely with the content and creative teams to brainstorm ideas, refine project concepts, and contribute to the overall storytelling direction.
3D Modeling and Animation: Create detailed 3D models and animations of objects, characters, and scenes that align with project goals, adhering to timelines and quality standards.
Sound Integration: Curate and integrate soundtracks and audio as well as effects that complement the visual content and enhance the viewer’s experience.
Color Correction & Grading: Enhance the visual quality through color correction and grading to ensure consistency across various platforms and formats.
Cross-Platform Content Creation: Deliver final videos optimized for social media, websites, and other platforms, ensuring compatibility across devices and formats.
Stay Updated with Trends: Keep up-to-date with animation trends, software advancements, and industry best practices to continuously improve skills and maintain a fresh, relevant approach to content creation.
 Qualifications:
Bachelor’s degree in Animation, Fine Arts, Computer Graphics, or a related field, or equivalent practical experience. Open for Fresh graduates.
Has experiences / knowledges in Financial Investment will be plus points.
Proven experience as a 3D Animator or in a similar role, with a strong portfolio showcasing your work.
Advanced proficiency in Adobe After Effects, Premiere Pro, and at least one 3D animation software (e.g., Autodesk Maya, Blender, or Cinema 4D).
Strong understanding of animation principles and hands-on experience with motion graphics, including the ability to create visually compelling infographics and dynamic animations.
Excellent attention to detail and a commitment to delivering high-quality visual content.
Ability to work independently and collaboratively within a team environment, with strong communication skills and adaptability to feedback.
Capable of managing multiple projects in a fast-paced environment, with a proactive approach to tackling challenges and contributing creative ideas.
Familiarity with current animation trends and a continuous learning mindset, with a desire to experiment with new techniques and tools.
Align with the company's core values: Customer first, Pursue of excellence, Being radical truthful.",None
3D VISUALIZER,PT Delta Marine Consultants,"Bekasi, West Java",None,Full time,"You are a creative and technically skilled 3D Visualizer with passion for bringing the ideas to stunning visual storytelling and representations. You have a keen eye for detail and drive to excel in the world of 3D visualization:
Have at least 3 years' experience as 3D visualizer or similar role
Good skills in 3D modelling and rendering software (3ds max, blender, twinmotion, sketchup, V-ray, Unreal engine)
Has knowledge of post-production tools such as Adobe photoshop, premier Pro
You have a completed Bachelor’ degree (preferably in architect or engineering)
Good command of the English language both verbally and written
You are fulltime available (minimal 40 hours)
Team player and adaptable to a dynamic environment
  The main responsibilities of the 3D Visualizer are:
Create high quality 3D models, renderings, and animations for a variety projects.
Collaborate closely with designer, tender/project manager to understand project requirements and deliver 3D visualization that meet client’s expectations
Lead the teamwork and report to manager
Communicate with the different stakeholders within the project to ensure data integrity and consistency is maintained across the different models
Maintain office standards in the projects and products
Ensure meet the deadline
Stay updated with the latest technologies in 3D visualization
 ",None
