Month,Java,JavaScript,Dart,Node.js,PHP,Visual Basic,MySQL,TypeScript,SQL,PostgreSQL,Flow,CHAIN,Z++,FOCUS,Python,kernel,Address,ASP.NET,C#,JS++,C,GraphQL,Go,Ada,Ruby,MariaDB,Scheme,Expect,Copilot,Solidity,solid,pipelines,RAPID,NPL,april,flagship,Swift,Small,Kotlin,Simplicity,Perl,C++,Scratch,R,F,Rust,Groovy,Scala,Revolution,MATLAB,Apex,Click,Adept,.QL,dss,SPARK,Pure,GAP,Falcon,Alpha,Plot,Joy,CONVERT,Frank,P,lever,JADE,Blue,THINK C,Inform,NATURAL,Reason,ARM,SR,Crystal,PowerHouse,Conceptual,Factor,False,RPL,SQLite,fe,Chrome,Tao,Flavors,Cyber,Bash,DEMOS,Q,PROMETHEUS,Gist,PILOT,REDUCE,Monkey,Z,abs,FaCT,MACRO,FLUX,ECMAScript,Argus,Assembly,PowerShell,Visual FoxPro,FoxPRO,Delphi,SCM,Red,MetaL,SaltStack,bamboo,Mercury,UNITY,Arduino,SAS,SPSS,SIGNAL,Spatial,AL,jasper,PowerBuilder,SRL,Logos,Virgil,Dale,LUCID,CUDA,LINQ,JOVIAL,APL,BASIC A+,Cell,MIMIC,Charity,Meson,DYNAMO,Haskell,PLANNER,Gherkin,Objective-C,frame,Tea,Sqlalchemy,Erlang,Sage,Lisp,Lua,F#,bloom,score,HL7,VBA,ActionScript,Elixir,MAPPER,Boo,Pan,l2,Augment,FP,Vale,candor,Stata,Arc,DML,IPL,XL,Star,fox,LEAP,Dockerfile,Dc,VBScript,CORAL,UniVerse,C2
2015-07,100,12,0,1,40,57,69,0,67,9,0,0,0,0,15,44,0,27,72,0,41,0,98,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,3,50,0,0,0,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,20,8,0,0,0,0,0,0,0,39,42,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,20,0,18,22,0,0,0,0,81,18,0,0,0,0,0,0,0,0,0,15,0,29,0,0,0,0,0,0,0,28,0,0,0
2015-08,84,13,0,1,43,70,86,0,77,11,0,0,0,0,16,43,0,28,78,0,40,0,100,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,4,56,0,0,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,14,21,8,0,0,0,0,0,0,0,41,49,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,11,0,11,18,0,0,0,0,90,21,0,0,0,0,0,0,0,0,0,15,0,44,0,0,0,0,0,0,0,34,0,0,0
2015-09,83,14,0,1,45,80,92,1,81,11,0,0,0,0,19,46,0,28,84,0,49,0,98,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,5,53,0,0,0,5,0,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,51,12,21,9,0,0,0,0,0,0,0,43,55,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,31,0,0,0,21,0,16,17,0,0,0,0,92,17,0,0,0,0,0,0,0,0,0,16,0,52,0,0,0,0,0,0,0,34,0,0,0
2015-10,85,15,0,2,46,86,97,1,87,11,0,0,0,0,19,48,0,27,100,0,54,0,95,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,6,51,0,0,0,5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,55,17,20,8,0,0,0,0,0,0,0,44,57,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,0,0,0,18,0,10,20,0,0,0,0,100,21,0,0,0,0,0,0,0,0,0,21,0,77,0,0,0,0,0,0,0,37,0,0,0
2015-11,86,16,0,2,51,87,100,1,94,10,0,0,0,0,20,43,0,28,100,0,49,0,93,0,2,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,5,50,0,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,24,22,9,0,0,0,0,0,0,0,43,62,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,38,0,0,0,17,0,16,17,0,0,0,0,92,27,0,0,0,0,0,0,0,0,0,24,0,58,0,0,0,0,0,0,0,33,0,0,0
2015-12,91,15,0,2,48,73,98,1,79,11,0,0,0,0,19,46,0,26,88,0,47,0,91,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66,4,51,0,0,0,7,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,41,22,23,9,0,0,0,0,0,0,0,43,61,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,9,22,0,17,18,0,0,0,0,100,20,0,0,0,0,0,0,0,0,0,19,0,63,0,0,0,0,0,0,0,41,0,0,0
2016-01,78,12,0,1,43,65,80,1,67,8,0,0,0,0,17,44,0,23,71,0,39,0,75,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,3,47,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,29,17,20,9,0,0,0,0,0,0,0,35,54,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,15,0,10,17,0,0,0,0,86,22,0,0,0,0,0,0,0,0,0,13,0,61,0,0,0,0,0,0,0,24,0,0,0
2016-02,73,14,0,1,44,60,80,1,62,10,0,0,0,0,17,38,0,21,71,0,37,0,73,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,51,4,44,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,19,18,7,0,0,0,0,0,0,0,33,54,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,28,0,0,7,25,0,9,27,0,0,0,0,85,14,0,0,0,0,0,0,0,0,0,13,0,54,0,0,0,0,0,0,0,24,0,0,0
2016-03,77,13,0,2,42,65,82,1,69,9,0,0,0,0,18,43,0,24,74,0,43,0,75,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,4,47,0,0,0,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,41,14,21,9,0,0,0,0,0,0,0,37,60,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,35,0,0,0,21,0,6,36,0,0,0,0,95,13,0,0,0,0,0,0,0,0,0,14,0,62,0,0,0,0,0,0,0,38,0,0,0
2016-04,71,13,0,2,43,73,82,1,71,9,0,0,0,0,19,41,0,21,78,0,40,0,73,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,4,46,0,0,0,6,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,42,15,19,8,0,0,0,0,0,0,0,36,69,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,31,0,0,7,21,0,12,25,0,0,0,0,83,16,0,0,0,0,0,0,0,0,0,18,0,75,0,0,0,0,0,0,0,34,0,0,0
