Job Title,Company Name,Location,Salary,Job Type,Job Description
"MOBILE DEVELOPER
- job post",PT. Kwadran Lima Mitra Kaya Solusi,Jakarta,"From Rp. 5,000,000 a month",Full-time,"Education minimum: Bachelor Degree in Computer Science or Information Technology
Understand Java and Kotlin programming language
Minimum 1 year experience as Developer Android Native (Java) or use Kotlin programming language
Mastering MVVM architecture/pattern
Fluent with tools such as Github and Jira
Experienced in using Android Development Tools (Android Studio, API, Android SDK, GIT)
Understand the concept of OOP (Object Oriented Programming)
Have analytical/problem solving skills and able to work in a team
Added value if you know SQL Query/Database
Jenis Pekerjaan: Penuh Waktu"
"MOBILE DEVELOPER
- job post",PT. Kwadran Lima Mitra Kaya Solusi,Jakarta,"From Rp. 5,000,000 a month",Full-time,"Education minimum: Bachelor Degree in Computer Science or Information Technology
Understand Java and Kotlin programming language
Minimum 1 year experience as Developer Android Native (Java) or use Kotlin programming language
Mastering MVVM architecture/pattern
Fluent with tools such as Github and Jira
Experienced in using Android Development Tools (Android Studio, API, Android SDK, GIT)
Understand the concept of OOP (Object Oriented Programming)
Have analytical/problem solving skills and able to work in a team
Added value if you know SQL Query/Database
Jenis Pekerjaan: Penuh Waktu"
"Mobile Developer
- job post",PT Ogya Tekno Nusantara,Tangerang,"From Rp. 11,000,000 a month",None,"Job Qualifications :
Bachelor's Degree in Computer Science, Information Technology or related field
Minimum 4 years of experience as Mobile Developer
Proficiency in React Native, Reactjs, Typescript, Javascript, PostgreSQL, HTML, CSS
Proficiency in API & Networking : REST API
Proficiency in code version tools, such as Git
Experienced on mobile native development Java/Kotlin for Android and Swift/Objective-C for iOS
Strong attention to detail, analytical and problem solving skill
Experienced working in teams
Good communication and interpersonal skill
Work Placement : Bintaro or Alam Sutera, Tangerang
Job Responsibilities :
Developing new features and user interfaces from wireframe models
Ensuring the best performance and user experience of the application
Fixing bugs and performance problems
Writing clean, readable, and testable code
Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutions
Job Types: Full-time, Contract
Contract length: 12 months
Application Deadline: 12/08/2023"
"Mobile Developer - Flutter
- job post",Techtiera Services Indonesia,Bekasi,"Rp. 7,000,000 - Rp. 8,000,000 a month",None,"Job Description:
The Mobile Developer will be responsible for creating multiple modules for an existing mobile application. This role requires following the existing application’s state management and structure while being innovative and taking the initiative to improve without depending solely on UI designs. The developer should be able to work effectively with the Flutter framework, applying the BLoC pattern for state management with a single state class pattern. They must be adept at following the established codebase’s folder structure, design patterns, and conventions, ensuring seamless integration with the current application. The ideal candidate will have the creativity to design and implement features without explicit UI designs from tools like Figma, relying on their understanding of design principles and user experience. They should also be capable of interpreting and executing tasks based on Business Requirements Documents (BRD), translating business needs into functional, user-friendly application features. Efficiency and the ability to work under tight deadlines are crucial, as the developer will need to deliver high-quality modules swiftly and contribute to the overall project’s success.
Requirements:
Framework Proficiency: Must be skilled in using the Flutter framework for mobile development.
State Management Expertise: Should be proficient in state management using the BLoC pattern with a single state class.
Codebase Familiarity: Able to follow and adapt to the existing codebase, including folder structure, design patterns, and conventions.
Creative Independence: Can work creatively without relying on UI designs from tools like Figma.
Business Requirements Understanding: Able to work based on Business Requirements Documents (BRD).
Speed and Efficiency: Capable of working quickly and efficiently to meet deadlines without compromising quality.
Experience: Minimum 2 years of experience in mobile development with specific framework (points 1-5).
Additional Details:
Work Type: Full WFO
Work Location: Cibitung, Cikarang Barat
Job Types: Full-time, Contract
Contract length: 12 months
Ability to commute/relocate:
Cibitung: Reliably commute or planning to relocate before starting work (Preferred)
Application Question(s):
How much is your expected monthly salary with us? (in gross)
How long will your notice period be from your current employer if required?
How much is your current monthly salary?
What is your last GPA? (IPK)
Education:
D1-D4 (Preferred)
Experience:
Flutter: 2 years (Preferred)
Language:
English (Preferred)"
"MOBILE DEVELOPER
- job post",Aero Systems Indonesia,Jakarta,None,None,"Requirements:
Bachelor's Degree in Computer Science/Information Technology or equivalent
At least 1 years of experience as Mobile Developer or related position
Has a good personality, teamwork, and eagerness to learn new knowledge
Familiarity with mobile app development environments like Xcode (iOS) and Android Studio (Android)
Knowledge of RESTful APIs to connect mobile applications to back-end services
Has experience with other object-oriented languages are advantageous
Understand the state of the art software development technology
Preferably can join immediately (ASAP) and willing to be placed onsite at ASYST Office (Soekarno-Hatta Airport Area)"
"Junior Mobile Developer
- job post",Techtiera Services Indonesia,Bekasi,None,None,"Role Description
The Mobile Developer will be responsible for creating multiple modules for an existing mobile application. This role requires following the existing application's state management and structure while being innovative and taking the initiative to improve without depending solely on UI designs. The developer should be able to work effectively with the Flutter framework, applying the BLoC pattern for state management with a single state class pattern. They must be adept at following the established codebase's folder structure, design patterns, and conventions, ensuring seamless integration with the current application.
The ideal candidate will have the creativity to design and implement features without explicit UI designs from tools like Figma, relying on their understanding of design principles and user experience. They should also be capable of interpreting and executing tasks based on Business Requirements Documents (BRD), translating business needs into functional, user-friendly application features. Efficiency and the ability to work under tight deadlines are crucial, as the developer will need to deliver high-quality modules swiftly and contribute to the overall project's success.
Qualifications
Min. Bachelor's degree in Computer Science or related field
Min. 1-2 years experiences in the same field
Mobile Application Development and iOS Development skills
Experience in Flutter Framework for mobile developer
PKWT (6 Months Contract)
Willing to WFO at Cibitung - Cikarang Barat
Benefit
BPJS TK & Kesehatan (Mandatory)
Private Insurance
THR
Bonus Akhir Kontrak (Menyesuaikan dengan UU Cipta Kerja)
Job Type: Contract
Contract length: 6 months
Ability to commute/relocate:
Cibitung: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Bersedia untuk dikontrak selama 6 bulan? (Jawab: Bersedia/Tidak)
Bersedia untuk WFO di Cibitung - Cikarang Barat? (Jawab: Bersedia/Tidak)
Berapa current salary (gross) Anda saat ini? (Notes: Cantumkan dalam bentuk gross, bukan nett)
Berapa expected salary (gross) yang Anda harapkan? (Notes: Wajib mencantumkan dalam bentuk gross dan bukan nett)
Education:
S1 (Required)
Experience:
Mobile App Development: 1 year (Required)
Flutter: 1 year (Required)"
"Mobile Developer (Fluter)
- job post",Fresh Factory,Jakarta,None,None,"As an Associate Mobile Developer with experience in Flutter, you will play a crucial role in developing, maintaining, and enhancing mobile applications for both Android and iOS platforms. You will work closely with our UI/UX designers to translate design concepts into functional and visually appealing mobile applications. Your expertise will also help in managing existing codebases, debugging issues, and integrating custom APIs to ensure a seamless user experience.
Job Description:
App Development: Develop high-quality, maintainable, and efficient mobile applications using Flutter for both Android and iOS platforms.
UI/UX Implementation: Translate UI/UX designs into functional app features, ensuring that the final product is consistent with the design specifications and user experience guidelines.
Custom APIs: Understand and integrate custom APIs, ensuring smooth data exchange between mobile applications and backend services.
Code Maintenance: Maintain and enhance existing codebases, implement bug fixes, and optimize performance to improve application reliability and user experience.
Troubleshooting and Debugging: Identify, troubleshoot, and resolve issues reported by users or testers. Provide timely solutions to ensure high application stability and performance.
Collaboration: Work closely with cross-functional teams, including designers, backend developers, and project managers, to ensure seamless integration of features and adherence to project timelines.
Code Quality: Write clean, maintainable, and efficient code while adhering to best practices and coding standards.
Documentation: Create and maintain documentation for code, APIs, and development processes to support knowledge sharing and future maintenance.
Qualification:
Experience: Minimum of 2 years of professional experience in mobile development with a strong focus on Flutter.
Technical Skills: Proficiency in Flutter; experience with custom API integration; knowledge of Android and iOS development principles.
Technologies: Familiarity with MySQL, PostgreSQL, and Laravel is a plus.
Code Quality: Demonstrated ability to write clean, maintainable, and efficient code.
Troubleshooting: Strong debugging and problem-solving skills.
Communication: Excellent communication skills with the ability to work effectively in a team environment.
Attention to Detail: Strong attention to detail with a commitment to delivering high-quality software.
Job Type: Full-time"
"Immediate Opening for Mobile Developer
- job post",PAN ASIA SOFTWARE SOLUTIONS SDN BHD,Jakarta,None,None,"Greetings!!!
We have an Immediate Openings for Mobile App Developer (Flutter, React Native, Ionic) with our reputed Client.
Work Location: Subang Jaya, Malaysia.
Exp: 3+ years. Added Advantage Insurance Domain
Job Responsibilities:
Responsibilities for Mobile Developer
Identify and plan for new features
Develop application programming interfaces (APIs) to support mobile functionality
Suggest and implement new mobile products, applications and protocols
Remain up to date with the terminology, concepts and best practices for coding mobile apps
Work closely with colleagues to constantly innovate app functionality and design
Use and adapt existing web applications for apps
Write unit and UI tests to identify malfunctions
Communicate with users to understand their needs and experiences
Qualifications for Mobile Developer
4+ years of demonstrable experience
Demonstrable portfolio of released applications on the App store or the Android and iOS market
Extensive knowledge of Flutter, React Native & Ionic
Familiarity with OOP design principles
Experience with third-party libraries and APIs
Superior analytical skills with a good problem-solving attitude
Ability to perform in a team environment
Strong oral and written communication skills
Ability to interpret and follow technical plans
Interested Share your updated resume with Photo to or Watsapp: +60 165720562 along with below details
Current Salary:
Expected Salary:
Notice Period:
Total Exp:
Relevant Exp:
{Note: if it doesn't suit you, please refer your matching friends or kindly ignore it}
Senior IT Talent Acquisition Specialist
HP : +6016 572 0562
Job Type: Contract
Contract length: 6 months"
"IT Mobile Apps (Android Developer)
- job post",Farmers Market 99 Indonesia,Jakarta,None,None,"Job Requirements
Min. height NULL cm
Min. weight NULL kg
Min experience 2 tahun
Job Description and Responsibility
Responsibilities :
Developing new features and user interfaces from wireframe models
Ensuring the best performance and user experience of the application
Fixing bugs and performance problems
Cooperating with back-end developers, designers, and the rest of the team to deliver well-architected and high-quality solutions


Requirement Skill:
Minimum Bachelor degree in Information Technology / Information System, Minimum GPA 3.0
Experience 1-2 years in job positions
Develop mobile App & Web in ReactNative
Proficiency with HTML,CSS,JavaScript, ReactNative
Ability to write clean, understandable, well-documented code
Able to work independently as well as in team.
Good analytical and problem solving skills.


Placement: Head Office, Kembangan, Jakarta Barat
Additional Information

Informasi Umum
Departement
IT
Employee Type
Full Time
Location
Jakarta Barat, DKI Jakarta
Job Posted On
04 Oktober 2024 (a week ago)
Salary
Negotiable"
"Fullstack Developer - Freshgraduate
- job post",Alodokter,Jakarta,None,None,"Company Description

Alodokter is the #1 digital health company in Indonesia. Launched in 2014, Alodokter brings high-quality medical services to its 27+ million Monthly Active Users by providing an integrated mobile solution for patients and doctors. We empower patients and doctors with better knowledge to help them take better decisions: - More than 550K monthly teleconsultations between doctors & patients with 800+ doctors in our mobile app - Largest online booking of doctors and hospitals platform in Indonesia - Most complete medical content database for patients and doctors in Indonesia We believe that medical knowledge can help people take better decision for their personal and family health. Here at Alodokter, we are dedicated to help Indonesian finding the finest health services. We hire people who are passionate, engaging and genuinely dedicated to help others. We train our team to be knowledgeable and highly skilled and reward the value they bring to Alodokter.

Job Description
Developing scalable and robust front-end and back-end systems for back-end process
Developing APIs integration between product and back-end process
Working alongside with system analyst to developer the system
Maintain quality and responsiveness of back-end system
Maintain code integration and versioning
Act as level 1 support if there are system issues

Qualifications
Degree in Informatics or Computer Science
Graduated from reputable tech university with minimal GPA 3.00
Good in English
Strong in logic and problem-solving skill
Has knowledge in OOP
Has web fullstack programming experience
Has database skills
Has experience with API (Rest&SOAP) is a plus
Has experience with third party library is a plus
Has knowledge of Git(version control system) is a plus
Passion in software engineering
Passion to learn new things, solve challenging problems"
