Job Title,Company Name,Location,Salary,Job Type,Job Description,Date
Data Analyst,"PT SMART,Tbk",Jakarta,None,Full time,"Job Description Summary:
Deforestation MRV to support compliance to policy, regulations and projects needed (government and markets); Monitoring and Reporting for Upstream & Downstream and ensured a proper and reliable verification for deforestation monitoring alerts towards transparent and responsible sourcing.
 Job Description:
To validate supplier-supply base data in TTP Declaration
To investigate and analyze third party supplier boundaries
Specific for EUDR : to ensure alert(s) (individual or connected) having size >0.5 hectares
To calculate and analyze comparative %NDV score each cycle
To report and update %NDV score in all GAR Downstream facilities each cycle
To develop justification for desktop-based calculation and collect evidence reports
To seek deforestation clarity from suppliers (internal & external engagement)
To do QC on reporting that matches to standard required by customers
To recalculate, verify and update final %NDV score according to provided field verification
To develop procedures or working instruction (SOP/IK)
To manage database of supply base
 Job requirement:
Bachelor's Degree with 2 years of work experience as a data analyst
Analytical skills with a focus on providing forward-looking insight and value added analysis
Applicants must be willing to work in Thamrin.
Full-Time position(s) available.
 ""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",None
Business Analyst,PT Premier Qualitas Indonesia,"South Jakarta, Jakarta",None,Full time,"Duties & Responsibilities
 Create a new business plan and review the performance of existing project 
Do market research in optimizing high and best use of new land proposed by Land Acquisition 
team 
Together with other departments to determine or update cost component of the proforma i.e. 
(variable cost, construction, land, permit cost, etc.) 
Provide general analytical support regarding particular project i.e. qualitative and quantitative 
approach 
Deep knowledge about Property Industry (i.e. landed house, apartment, warehousing) 
Analyze, review and provide recommendations regarding financial aspects of assigned project
Monitoring customer trends, other property developer movement and any related issues to 
property industry
Conducting market Analysis from other developer / competitor in terms of Product configuration, 
pricing, and rhythm particularly for landed house, low/midrise and shop house
Proposed fresh idea for new upcoming product (landed or apartment, warehouse) 
Together with other division construct/update SOP

Requirement
Bachelor's or Master Degree from reputable university majoring g in Finance or Urban Planning or related with GPA min. 3.25 of 4
Have an experience for 4 years in Property Industry or related field
Strong analytical skill with excellent communication 
Highly Proficient in Microsoft excel and Power Point is a must 
Ability to establish and execute project task 
Highly initiative and self-motivated",None
Data Analyst Supervisor,PT. Master Persada Indonesia,"North Jakarta, Jakarta","Rp 5,000,000 – Rp 7,000,000 per month",Contract/Temp,"Deskripsi Pekerjaan:
Merancang dan memelihara sistem data kunjungan sales dan database customer
Mengidentifikasi data dari sumber primer dan sekunder
Menyiapkan laporan untuk mengkomunikasikan data dalam bentuk tren, pola, dan prediksi menggunakan data yang relevan
Membantu user untuk mengidentifikasi korelasi serta pola dari data-data tersebut
Melakukan analisa data penjualan secara menyeluruh, meliputi analisa customer, penetrasi area, analisa kompetitor, monitoring dan evaluasi area penjualan.
 Kualifikasi:
Usia 25 - 35 tahun
Pendidikan S1 Semua jurusan (diutamakan statistic/matematika)
Pengalaman minimal 2 tahun dibidang pengolahan data dan analisa
Dapat mengoperasikan MS. Excel level advanced
Penempatan di Pegangsaan Dua, Jakarta Utara
 ",None
Data Analyst,PT Mata Pelangi Chemindo,"West Jakarta, Jakarta",None,Full time,"We are looking to hire a Data Analyst to join us. You will take responsibility for managing our master data set, developing reports, and assess potential risks. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.
Required skills and competencies:
Bachelor’s degree from an accredited university in FMIPA/ Statistics/ Actuarial.
Proven work experience as a data analyst or business analyst
Ability to work with stakeholders to assess potential risks.
Experience in methodologies and processes for managing large-scale databases.
High-level written and verbal communication skills.
Fluent in english verbal and written.",None
Data Analyst / Data Scientist,Bali Love,"Denpasar, Bali",nett,Full time,"Job Title: Data Analyst / Data Scientist
Location: Bali, Indonesia (Remote work possible)
Company: Bali.Love - part of Intanah Group

About Us:
Bali.Love is a leader in Bali’s luxury wedding planning industry, providing high-end experiences and services. We're looking for a Data Analyst/Data Scientist to join our growing team and drive data-driven decision-making across the company. If you're passionate about using data to solve complex business problems, we want to hear from you!

Key Responsibilities:
Collaborate with stakeholders to understand business challenges and develop data-driven solutions.
Build, deploy, and refine machine learning models for tasks such as predictive analysis, classification, and clustering.
Conduct exploratory data analysis and feature engineering to uncover meaningful insights from large datasets.
Apply advanced statistical methods and machine learning algorithms to create effective data models.
Create compelling data visualizations, reports, dashboards, and presentations to communicate insights and recommendations.
Stay current with the latest data science technologies, trends, and best practices.


Requirements
Bachelor’s or Master’s degree in Data Science, Statistics, Applied Mathematics, or a related field.
Proficiency in Python and R for data analysis and machine learning tasks.
Strong knowledge of machine learning algorithms (e.g., regression, clustering, decision trees, deep learning).
Experience using data visualization tools such as Tableau, Power BI, Matplotlib, or Seaborn.
Hands-on experience with machine learning frameworks like TensorFlow, PyTorch, or Scikit-learn.
Understanding of A/B testing, hypothesis testing, and other statistical analysis methods.
Experience in deploying and maintaining machine learning models.
Bonus Skills:
Experience working with big data platforms (e.g., Hadoop, Spark) or cloud platforms (e.g., AWS, Google Cloud).
Experience with SQL for database management and querying.
Familiarity with data engineering tools and techniques.


Benefits
Competitive salary and career growth opportunities.
Flexible working hours with the option to work remotely.
Be part of a collaborative and forward-thinking team.
Opportunity to influence business decisions through data-driven insights in a rapidly growing industry.",None
HR Personnel (Data Analyst),KKV INTERNATIONAL INDONESIA,"West Jakarta, Jakarta",None,Full time,"Responsibilities
- Maintain employee records (attendance, transfers, promotions, rewards and penalties, etc.) in accordance with policy requirements. 
- Assist in payroll preparation by providing relevant data, including absenteeism, bonuses, and leave information.
- Prepare documentation for human resources policies and procedures. 
- Handle employee requests and provide necessary information. 
- Maintain both physical and digital personnel records, including employment contracts and leave requests. 
- Update the internal database by entering new employee information. 
- Create and distribute guides and FAQs about company policies.
 Qualifications
- Experience as an HR Officer or in a similar role. 
- Strong English communication skills. 
- Chinese proficiency is preferred. 
- Familiarity with Human Resources Information Systems (HRIS). 
- Basic knowledge of labor law. 
- Proficiency in using spreadsheets.
- Strong organizational skills.
- Excellent verbal and written communication skills.
- Bachelor’s degree in Human Resources Management or a related field.",None
Junior Data Compliance Officer,PT Daya5 Rekrutmen,Jakarta,None,Full time,"Tanggung Jawab:
Mengumpulkan dan memvalidasi data untuk memastikan kepatuhan terhadap regulasi yang berlaku.
Mencatat dan mendokumentasikan semua prosedur yang berkaitan dengan penyimpanan data secara akurat dan terkini.
Melakukan pemeriksaan awal terhadap data untuk mendeteksi eror.
Memantau pelaksanaan kebijakan dan prosedur data compliance dan melaporkan ketidaksesuaian yang ditemukan.
Mengelola akses data dan memastikan proses berjalan sesuai dengan kebijakan.
 Kualifikasi:
Memiliki latar belakang pendidikan minimal S1 dari jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau jurusan serupa.
Memiliki pengalaman kerja minimal 3 tahun.
Memiliki kemampuan mengolah big data menggunakan SQL dan Microsoft Excel.",None
Data Analyst,PT Global Jet Cargo,"Kosambi, Banten",None,Contract/Temp,"Requirements :
Maximal age 30 years old.
Min. D3 education in all majors.
Min. 2 years work experience in related field.
Experience working with Transportation or Logistics data will be a plus.
Excellent knowledge of Ms. Excel (Vlookup, Hlookup, Pvot and Basic Data Analyst) and Google Sheets.
Good communication skills to explain analysis results to other teams, including non-technical teams.
Highly organized with strong time management skills, able to meet tight deadlines.
Ability to work independently as well as in a team.
Placement: Kosambi, Tangerang
 Daily Activity :
Create GW JKT99A instock forecast report every 2 hours.
Create GW JKT99A external route Incoming Data report every 4 hours.
Processing ADD car preparation calculation data every time needed.
Assist in monitoring available vehicles to improve the accuracy of transit package departure rate.",None
Data Analyst (Beauty & Cosmetic),PT ST Morita Industries (MORITA GROUP),"East Jakarta, Jakarta",Rp 8.000.000 – Rp 11.000.000 per month,Full time,"About Company
ST. MORITA FARMA is a Beauty Manufacturer Company and Exclusive Distributor for Korea Nano-Technology Skincare Brand and Cosmetics. Our dream is all about creating beauty, healthy and happiness. We develop our products together with our RND based in Korea, Japan, Europe and USA. We also collaborate with ITB Nanoscience and Nanotechnology Research Center and Korea Natural Biomaterial Technology Company to create products focused on combining natural ingredients with advanced cosmeceuticals technology. We run with excellent experts in research and development, production, extraction process in cosmetic technologies to provide a high qualified beauty product that suits skin needs.  
We create a special platform called Skinoasis, a platform that meets products, experts and customers.  This platform curates all natural and nano-bio active skincare products that are clinically proven based on years of research and sciences. This platform would provide not only products but also live consultation with beauty experts and doctors through NanoAcademy Consultation, give customers a new experience to start their beauty journey and provide trusted solutions because Skinoasis, The Beauty Trusted.
https://www.instagram.com/skinoasis.id/ 
https://skinoasis.id/
 Job Descriptions :
Collect data through a variety of sources (online databases, company record, public datasets) and ensure data accuracy 
Process the collected data (data cleaning, and data aggregation)
Analyze data  through a variety of techniques (univariate or bivariate analysis, Time-series analysis, Regression analysis)
Visualize the data using tools (excel, tableau, phyton) 
Produce useful insights in the decision-making process
 Qualifications :
Bachelor degree of  Informatics/ Computer Science and related major from Reputable Universities
Fresh Graduate or  2 years work experience as a Data Analyst or similar position
Familiar and experienced with data visualization and reporting tools
Mastering data analysis tools and languages
Have a great interest of skincare/cosmetic products and beauty industry
Have good analytical skills to understand and interpret data, as well as experience in using statistical techniques for analysis.
Able to communicate well, both verbally and in writing.
Follow, comment and share IG official account @skinoasis.id for your benefits",None
DATA ANALIS - JATIBARANG,PT Fastrata Buana (Distributor Kapal Api),"Jatibarang, West Java",None,Full time,"Tanggung Jawab:
Membuat laporan penjualan cabang berupa data pencapaian target, pertumbuhan penjualan, fluktuasi penjualan dan data pareto outlet agar dapat digunakan oleh Branch Manager sebagai dasar analisa dan pengambilan keputusan

Kualifikasi:
Usia maks 30 tahun
Pendidikan DIII/ S1 Jurusan statistik/ matematika/teknik informatika
Pengalaman minimal 1 Tahun sebagai Data Analis
Paham MS Excell tingkat mahir
Diutamakan pengalaman menggunakan sistem Oracle
Penempatan : JATIBARANG",None
