programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,avg wiki views (monthly),github user count,average search count,stack overflow count
Java,10.51,728,6153528.08741731,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Lampung', 'Jakarta', 'Central Java', 'South Sulawesi', 'Banten', 'North Sumatra', 'South Sumatra']",103000,3946.7567567567567,6800,28.13393,2531
JavaScript,3.54,1111,6168157.003505131,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",118000,5305.108108108108,11400,15.48214286,4633
Dart,0.56,32,6250160.575302064,"['West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",945,51.125,877,37.0,963
Node.js,0.0,450,5596209.021148038,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",34000,665.1801801801802,-1,2.633928571,2207
PHP,1.21,505,5762279.073145573,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",123000,4107.522522522522,8600,26.61607143,3147
Visual Basic,2.35,234,7144311.004662363,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",32000,4833.774774774774,0,32.79464,270
MySQL,0.0,511,5282098.994573214,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Kalimantan', 'Central Java', 'Banten', 'North Sumatra']",129000,3249.009009009009,-1,56.24107,3969
TypeScript,0.32,211,6615735.536738093,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra', 'West Papua']",14000,-1.0,1600,4.0,1897
SQL,1.64,793,6759264.31838862,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",143000,1507.7207207207207,6,58.90179,3529
PostgreSQL,0.0,365,5041078.898883171,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",36000,546.4594594594595,-1,13.91071,2944
Flow,0.0,120,9290698.169868832,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten', 'West Papua']",0,-1.0,-1,0.0,8
CHAIN,0.0,64,15192250.868864454,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
Z++,0.0,99,11847031.221049825,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
FOCUS,0.0,326,8253786.878237909,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
Python,21.9,675,6328999.928444785,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten', 'North Sumatra']",113000,5593.468468468468,6100,45.95536,2921
kernel,0.0,1,34507957.0,['Jakarta'],0,1852.2792792792795,-1,35.96428571,0
Address,0.0,141,6299805.372725985,"['East Kalimantan', 'West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
ASP.NET,0.0,84,5711475.593743629,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'West Papua']",12000,15.954954954954957,8,12.64285714,276
C#,5.62,225,6280696.306146191,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",32000,501.52272727272725,1200,51.38392857,1555
JS++,0.0,181,5600773.319669451,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,-1.0,-1,0.0,0
C,8.38,362,5928978.561136166,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra', 'West Papua']",25000,1236.4144144144143,1200,31.53571,1042
GraphQL,0.0,62,5751854.840652354,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten', 'North Sumatra']",4200,-1.0,-1,1.0,0
Go,2.02,211,7847129.7347823875,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",15000,92.63963963963964,1000,36.91964,1806
Ada,0.73,71,7701312.460197072,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",0,200.34234234234236,0,0.0,26
Ruby,0.99,112,7351875.455507939,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",3500,861.2702702702703,1100,2.428571,726
MariaDB,0.0,24,5157964.20480754,"['Bali', 'Jakarta']",2600,284.5315315315315,-1,57.61607,1996
Scheme,0.05,6,11844474.673449611,"['Bali', 'Yogyakarta', 'East Java']",0,-1.0,1,0.0,0
Expect,0.0,33,17920520.2997776,"['East Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
Copilot,0.0,8,10416144.382139197,[],0,-1.0,-1,0.0,0
Solidity,0.27,4,9521067.869493987,"['Central Java', 'Jakarta']",1000,76.61842105263158,78,12.52273,67
solid,0.0,338,6382359.167111682,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
pipelines,0.0,244,5560387.992877893,"['East Kalimantan', 'West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
RAPID,0.0,31,5498341.381929189,"['West Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,0
NPL,0.0,1,11004708.625,['East Java'],0,-1.0,-1,0.0,0
april,0.0,3,4708513.986111111,['Jakarta'],0,-1.0,-1,0.0,0
