programming language,avg wiki views (monthly)
C#,501.52272727272725
Dart,51.125
PostgreSQL,546.4594594594595
SQL,1507.7207207207207
MySQL,3249.009009009009
Python,5593.468468468468
kernel,1852.2792792792793
ASP.NET,15.954954954954955
C,1236.4144144144145
C++,5386.315315315315
Go,92.63963963963964
Ruby,861.2702702702703
Ada,200.34234234234233
MariaDB,284.5315315315315
Solidity,76.61842105263158
Swift,180.59459459459458
Kotlin,362.4390243902439
Perl,359.4684684684685
Scratch,2159.153153153153
R,821.0990990990991
Scala,387.82608695652175
Rust,154.4022988505747
MATLAB,994.981981981982
SQLite,287.52252252252254
Bash,51.25
Assembly,1327.882882882883
PowerShell,8.558558558558559
FoxPRO,16.63063063063063
Delphi,448.54954954954957
Visual FoxPro,480.0810810810811
UNITY,604.6444444444444
Arduino,3293.4144144144143
SAS,165.94594594594594
SPSS,1579.3423423423424
Haskell,91.45045045045045
Sqlalchemy,22.296296296296298
Sage,87.45045045045045
Lisp,101.03703703703704
Lua,249.2882882882883
VBA,512.7567567567568
ActionScript,358.6216216216216
Elixir,182.47142857142856
Stata,101.18018018018019
VBScript,176.61261261261262
Java,3946.7567567567567
JavaScript,5305.108108108108
Node.js,665.1801801801802
PHP,4107.522522522522
Visual Basic,4833.774774774774
