,What Country do you live in?,Unnamed: 1,Which US State or Territory do you live in?,How old are you?,What is your gender?,How many years of IT/Programming experience do you have?,Which of the following best describes your occupation?,"Including bonus, what is your annual compensation in USD?",How would you best describe the industry you currently work in?,How many developers are employed at your company?,Do you work remotely?,Do you enjoy working remotely?,Where do you work remotely most of the time?,"If your company has a native mobile app, what platforms do you support?",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"In an average week, how do you spend your time at work?",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,What types of purchases are you involved in?,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2014?",Which of the following languages or technologies have you used significantly in the past year?,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Which technologies are you excited about?,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Which desktop operating system do you use the most?,Which technology products do you own? (You can choose more than one),Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Have you changed jobs in the last 12 months?,How did you find out about your current job?,Unnamed: 84,Are you currently looking for a job or open to new opportunities?,How often are you contacted by recruiters?,How do you prefer to be contacted about job opportunities?,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,"In receiving an email about a job opportunity, what attributes of the message would make you more likely to respond?",Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,How often do you visit job boards?,Have you visited / Are you aware of Stack Overflow Careers 2.0?,Do you have a Stack Overflow Careers 2.0 Profile?,Please rate the advertising you've seen on Stack Overflow,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Were you aware of the Apptivate contest?,Did you participate in the Apptivate contest?,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,How often do you find solutions to your programming problems on Stack Overflow without asking a new question?
2177,Indonesia,,,20-24,Female,2/5/2014,Full-Stack Web Developer,Student / Unemployed,Education,100,Occasionally,I'm neutral about it,A home office,iPhone,iPad,Android Phone,Android Tablet,Windows Phone,,,1-2 hours,2-5 hours,5-10 hours,,2-5 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,,,,,No Involvement,,,,,,,,,,,C#,,,,,PHP,,,SQL,ASP.NET,Node.js,,,,,,,,,,,,Arduino / Raspberry Pi,Windows 7,,,,,Android Tablet,,,,,,,,,,No,Colleague/Friend,,Yes,A slightly less than insane amount,Like,Like,Most Preferred,Neither Like nor Dislike,Neither Like nor Dislike,To a large extent,To little extent,To a large extent,To a large extent,To a large extent,To a large extent,To some extent,Once in a while,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Yes,No,"New Relic, Career 2.0",100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,,Build my online reputation,,Almost Always
2197,Indonesia,,,20-24,Male,<2,Student,Student / Unemployed,Software Products,1/5/2014,Part-time Remote,I'm neutral about it,A co-working space,,,Android Phone,,,,,5-10 hours,10-20 hours,5-10 hours,5-10 hours,2-5 hours,5-10 hours,1-2 hours,,10-20 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,Hardware,Servers,,"User Equipment: Monitors, PCs, Laptops",,Recruitment Tools & Services,,"<$1,000",,C++,,Java,,,,,,Ruby,,scala,,,,,,,MongoDB,,,,,,,Windows 7,,Android Phone,,,Android Tablet,,,PS3,PS4,,,,,,No,Started my own company,,Yes,A slightly less than insane amount,Neither Like nor Dislike,Like,Neither Like nor Dislike,Neither Like nor Dislike,Neither Like nor Dislike,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,To a moderate extent,Once in a while,No,No thank you,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,,1,Read other people's questions to solve my problems,,,,,,Often
2407,Indonesia,,,25-29,Male,2/5/2014,Front-End Web Developer,"<$20,000",Web Services,6/15/2014,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,,,,,,Other,No mobile app,5-10 hours,5-10 hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,,,,,No Involvement,,,,,,,,,,,,,JavaScript,,,PHP,,,,,,,,,,,MongoDB,,,,,,,Windows 7,,,,,,,,,,Xbox 360,,,,,No,Online Job Posting,,Yes,An insane amount,,,,,,,,,,,,,Once in a while,No,"No, but I want one! (Please provide email and we will invite you)",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,,,,
4018,Indonesia,,,35-39,Male,11,Manager of Developers or Team Leader,"<$20,000",Finance / Banking,16-30,Occasionally,I'm neutral about it,My couch,iPhone,iPad,Android Phone,Android Tablet,Windows Phone,,,2-5 hours,2-5 hours,1-2 hours,1-2 hours,10-20 hours,5-10 hours,10-20 hours,1-2 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,,,,,Software,,Consultants,Recruitment Tools & Services,,">$100,001",,,C#,Java,JavaScript,,,,,,SQL,,,,,,,,,,,Hadoop,,,,Windows 7,,Android Phone,,,Android Tablet,,,,,,,,,,No,Online Job Posting,,Yes,A slightly less than insane amount,Most Preferred,Most Preferred,Like,Like,Like,To some extent,To some extent,To a large extent,To a large extent,To a large extent,To a large extent,To a large extent,Daily,No,"No, but I want one! (Please provide email and we will invite you)",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Don't Remember,Don't Remember,careers 2.0,Don't have an account,Read other people's questions to solve my problems,,,,,,Often
4257,Indonesia,,,25-29,Male,2/5/2014,Manager of Developers or Team Leader,"<$20,000",Finance / Banking,6/15/2014,Occasionally,I'm neutral about it,A home office,,,,,,,,5-10 hours,1-2 hours,2-5 hours,1-2 hours,2-5 hours,,2-5 hours,1-2 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,Hardware,Servers,Software,,,,Other,"<$1,000",,,,Java,,,,,,,,,,,,,,,MongoDB,,,,,,,Windows 7,,,,,,,,,,,,,,Blackberry,No,Recruiter/Headhunter,,No,A slightly less than insane amount,Most Preferred,Like,Neither Like nor Dislike,Neither Like nor Dislike,Like,To a large extent,To a moderate extent,To a moderate extent,To a large extent,To a moderate extent,To a large extent,To a large extent,Once in a while,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,,Build my online reputation,,Often
4416,Indonesia,,,25-29,Male,2/5/2014,Full-Stack Web Developer,"<$20,000",Education,1/5/2014,Never,,,,,Android Phone,Android Tablet,,,,10-20 hours,2-5 hours,5-10 hours,1-2 hours,1-2 hours,20+ hours,2-5 hours,1-2 hours,1-2 hours,,,,,No Involvement,,,,,,,,,,,C#,,JavaScript,,,PHP,,,SQL,,Node.js,Haskell,CoffeeScript,,,,MongoDB,,,,,Cordova,,Windows 7,,,,,,,,,,,,,,,No,Colleague/Friend,,Yes,A slightly less than insane amount,Most Preferred,Like,Neither Like nor Dislike,Like,Neither Like nor Dislike,To some extent,To little extent,To some extent,To a moderate extent,To a large extent,To a moderate extent,To some extent,Never,No,"No, but I want one! (Please provide email and we will invite you)",Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,No,No,,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,,,,Often
5675,Indonesia,,,25-29,Female,2/5/2014,Front-End Web Developer,"$20,000 - $40,000",Software Products,100,Never,,,iPhone,iPad,Android Phone,Android Tablet,,Other,,10-20 hours,5-10 hours,10-20 hours,1-2 hours,1-2 hours,5-10 hours,1-2 hours,1-2 hours,2-5 hours,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,,,,,,,,Node.js,,,,,,MongoDB,,,,,,,Windows 7,,Android Phone,,,,,,,,,,,,,No,Applied via Company Website,,Yes,A slightly less than insane amount,Most Preferred,Like,Like,Like,Dislike,To a large extent,To a moderate extent,To some extent,To a large extent,To some extent,To some extent,To some extent,Once in a while,Yes,Yes,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,No,No,SO Careers 2.0,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Looking for a job,,,Often
6024,Indonesia,,,< 20,Male,<2,Other,Rather not say,Web Services,1/5/2014,Part-time Remote,I'm neutral about it,Other,,iPad,,,,,,2-5 hours,1-2 hours,1-2 hours,1-2 hours,,1-2 hours,1-2 hours,,5-10 hours,I can recommend or request products,,,,,,,Software,,,,,"<$1,000",,,,,JavaScript,,,PHP,,,SQL,,,,,,,,,,,,,,,Windows 8,,Android Phone,,,,,,,,,,,,,Yes,Colleague/Friend,,No,Never,Like,Dislike,Most Preferred,Neither Like nor Dislike,Like,To little extent,To little extent,Not at all,To little extent,Not at all,Not at all,Not at all,Never,No,"No, but I want one! (Please provide email and we will invite you)",Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Don't Remember,Don't Remember,nothing,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,,Build my online reputation,,Always
6033,Indonesia,,,20-24,Male,2/5/2014,Full-Stack Web Developer,Rather not say,Consulting,1/5/2014,Occasionally,I love it,A home office,iPhone,,Android Phone,,,,,5-10 hours,2-5 hours,20+ hours,,,2-5 hours,2-5 hours,,10-20 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,Hardware,,,"User Equipment: Monitors, PCs, Laptops",,,,Don't know,,,,,JavaScript,Node.js,,,,Ruby,,,Node.js,,,,,,,,,,,,,Ubuntu,,,,,,,,,,,,,,,Yes,Online Job Posting,,Yes,A slightly less than insane amount,Most Preferred,Dislike,Like,Neither Like nor Dislike,Least Preferred,To a large extent,To a moderate extent,To some extent,To a moderate extent,To a moderate extent,To a moderate extent,To some extent,Once in a while,Yes,"No, but I want one! (Please provide email and we will invite you)",Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Don't Remember,Don't Remember,New Relic  Carrer 2.0,1,Read other people's questions to solve my problems,,Answer questions I know the answer to,,,,Always
6310,Indonesia,,,20-24,Male,2/5/2014,Mobile Application Developer,"<$20,000",Finance / Banking,6/15/2014,Never,,,iPhone,iPad,Android Phone,Android Tablet,,,,10-20 hours,10-20 hours,10-20 hours,,1-2 hours,1-2 hours,1-2 hours,,1-2 hours,I can recommend or request products,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,,"$1,000 - $5,000",,,,Java,,,Objective-C,PHP,,,SQL,,Node.js,,CoffeeScript,,,,,,,,AngularJS,,Arduino / Raspberry Pi,Mac OS X,,Android Phone,,iPad,,,,,,,,,,,No,Online Job Posting,,No,Never,Most Preferred,Least Preferred,Most Preferred,Like,Neither Like nor Dislike,To a large extent,To some extent,To a large extent,To a large extent,To a large extent,To a large extent,To a moderate extent,Once in a while,No,"No, but I want one! (Please provide email and we will invite you)",Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,No,No,,Don't have an account,Read other people's questions to solve my problems,,,,,,Always
