,C,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Select all that apply,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Select all that apply.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Select all that apply.2,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Select up to 3,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Select up to 3.1,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Select up to 3.2,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Select all that apply.3,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Select up to 3.3,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Select all that apply.4,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Select all that apply.5,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Select all that apply.6,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Select all that apply.7,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221
54,Indonesia,20-24,Male,Tabs,2 - 5 years,Back-end web developer,Mint,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scala,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Consulting,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,Salary,,,Health insurance,,,,,,,,,,,Company reputation,,,,Very important,,,,,Writing my CV and keeping it updated,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Great,Hate,I don't have an account,Great,I don't have an account,I don't have an account,Great,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,,Office location,,,,Great,Great,Great,Great,Great,,,Offer remote interviews (ie. via video conference),Introduce me to the boss,Introduce me to the team,,,,,,,,,,,1,20+ hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,SVN,,To get help for my job,,,,,,,,,Usually,It feels good to help a programmer in need,,,,,,,
55,Indonesia,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Consulting,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Part-time Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Indonesia,25-29,Male,Huh?,2 - 5 years,Back-end web developer,Windows 8,,Android,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,PHP,,,,,,,Scala,,,SQL,SQL Server,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Consumer Products,I'm somewhat dissatisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,Building something that matters,,,Somewhat important,,,,,Writing my CV and keeping it updated,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Tolerate,Great,I don't have an account,Tolerate,Tolerate,Tolerate,Tolerate,Message is personalized,,,,,,,,Salary,,,,Office location,,People I would be working with,,Tolerate,Great,Great,Great,Great,,,,,,Offer me a decent cup of coffee,,,,,It's a jobs site specificallyæfor programmers,,,,,3,5-10 hours per week,Multipleætimes a day,Coda,,Dark,Git,,SVN,,,TFS,,,,,,SVN,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
459,Indonesia,20-24,Male,Tabs,6 - 10 years,Back-end web developer,Windows 8,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Healthcare,I love my job,I can recommend or request products,Full-time Remote,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,Job title,,,,,,,Flexible work hours,Very important,,,Searching for a job that seems interesting,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Great,Great,Tolerate,Tolerate,Message is personalized,,,,Company culture is described,,Benefits / perks of the work environment are described,,,,,,Office location,,People I would be working with,Details about the product or project I'd be working on,Great,Great,Tolerate,Great,Great,,Be more flexible about interview scheduling,,,,Offer me a decent cup of coffee,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,Because the jobs ads are right there on Stack Overflow,,0,2-5 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,,Because I can't do my job without it,,,To communicate with others like me,,,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
713,Indonesia,20-24,Male,It depends,1 - 2 years,Back-end web developer,Ubuntu,,,,,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,Android,Arduino / Raspberry Pi,,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,Windows Phone,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"Less than $20,000",10000,Employed full-time,Manufacturing,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Indonesia,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Manufacturing,I'm somewhat dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Indonesia,30-34,Male,Huh?,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Manufacturing,I'm neither satisfied nor dissatisfied with my job,I have no say in purchasing what I need or want at work,Never,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,Company reputation,,,,Neutral - I don't mind working in the office or remotely,,,,,Writing my CV and keeping it updated,Taking time off work to interview,The interview process,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Hate,Hate,Tolerate,Great,Hate,Hate,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,,Tech stack,Office location,,,,Tolerate,Tolerate,Tolerate,Tolerate,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,Offer me a decent cup of coffee,,,,,,,,,,1,20+ hours per week,Once a day,NotePad++,,Light,,,,,,,,,,I don't use source control,,,none,To get help for my job,,,,,,,Because I love to learn,,Always,It feels good to help a programmer in need,,,,,I have no idea why I answer but I do it anyway,,
1221,Indonesia,20-24,Male,Tabs,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Software Products,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Somewhat important,,Finding an open job that I'm qualified for,,,,Taking time off work to interview,The interview process,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,I don't have an account,Tolerate,Tolerate,,,,Team I would be working with isædescribed,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,,Be more flexible about interview scheduling,,,,,,Fewer brainteasers,Prepare me for who I will be speaking with,,,,,,,1,1-2 hours per week,Multipleætimes a day,Sublime Text,,Dark,,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,"I don't answer much (or at all), and I don't want to",
1222,Indonesia,25-29,Male,Huh?,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,Ruby,,,,,,SQL,,,,,Wordpress,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Software Products,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,Salary,,,Health insurance,,,,,Work/life balance,,,,,,,,,,Neutral - I don't mind working in the office or remotely,,,,Interesting companies rarely respond,,,,About once a week,I wish more recruiters contacted me!,Great,Great,,Great,Great,,,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,Tech stack,,,,,Great,Great,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,To showcase my Stack Overflow activity,,,0,2-5 hours per week,Multipleætimes a day,,jEdit,I don't use an IDE,Git,,,,,,,,,,,Git,,,To give help to others,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
1610,Indonesia,25-29,Male,Spaces,1 - 2 years,Back-end web developer,Ubuntu,,Android,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,Android,,AngularJS,,,,,,,Cordova,,,,,,Hadoop,,,,,,,,Node.js,Objective-C,,,Python,,,,,,,,,,,Swift,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I love my job,I have a discretionary budget at my disposal,Full-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,Office location,,,,Building something that matters,Remote working options,,Somewhat important,Finding time to job search,Finding an open job that I'm qualified for,,,,,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Tolerate,I don't have an account,Tolerate,Tolerate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,Office location,,,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,Show meæmore live code,Be more flexible about interview scheduling,,,Introduce me to the team,,,,,,,,,,,1,,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
