,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
204,205,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc)",2,,,,,,,HTML/CSS;JavaScript;Node.js,JavaScript,MongoDB,,Heroku,,Express;React.js,React.js,,,Git,Git,Sublime Text;Visual Studio Code,,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Panic;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Neutral,Yes,18-24 years old,Man,No,,Southeast Asian,None of the above,,Appropriate in length,Easy,
235,236,I am a developer by profession,Employed full-time,Indonesia,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,Online Forum;Online Courses or Certification;Colleague,13,3,"Developer, mobile;Developer, full-stack","1,000 to 4,999 employees",IDR	Indonesian rupiah,6000000.0,Monthly,Dart;HTML/CSS;JavaScript;Node.js;PHP,Go;TypeScript,MariaDB;Microsoft SQL Server;MySQL;SQLite,Cassandra;Redis,Google Cloud Platform,DigitalOcean,Vue.js,Laravel;React.js,Cordova;Flutter,TensorFlow,Docker;Git,,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,25-34 years old,Man,No,Prefer not to say,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,5268.0
573,574,I am a student who is learning to code,I prefer not to say,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",3,,,,,,,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,C;C++,Microsoft SQL Server,,,,ASP.NET Core ;jQuery,,.NET Core / .NET 5,,Git,Git,Android Studio;Notepad++;Vim;Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,None of the above,Prefer not to say,Too long,Easy,
737,738,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,,,,,,,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,MySQL,DigitalOcean;Heroku;Microsoft Azure,,Flask;jQuery,Flask;jQuery,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git;Xamarin,Git,Android Studio;Notepad++;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,18-24 years old,Man,No,,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,
765,766,I am a student who is learning to code,I prefer not to say,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",1,,,,,,,Java;Kotlin,C++;Dart;JavaScript;Kotlin;Python;Swift;TypeScript,,,,,,,,,Git,Git,Android Studio;IntelliJ,Android Studio;PyCharm;Visual Studio Code,Windows,Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Neither easy nor difficult,
878,879,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,11,5,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","Just me - I am a freelancer, sole proprietor, etc.",IDR	Indonesian rupiah,,Monthly,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL,C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Rust;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,,,Express;jQuery;React.js,ASP.NET;ASP.NET Core ;Express;jQuery;Laravel;React.js,Flutter,Flutter,Git,Git,Android Studio;Sublime Text;Visual Studio,Android Studio;Visual Studio,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
995,996,I code primarily as a hobby,"Not employed, and not looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",8,,,,,,,C;C#;C++;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript,Dart;HTML/CSS;JavaScript,Microsoft SQL Server;MySQL;Redis;SQLite,MySQL,,,Laravel;React.js;Svelte;Vue.js,Laravel;React.js;Svelte;Vue.js,Flutter,Flutter,Git;Yarn,Yarn,Android Studio;Atom;IntelliJ;Notepad++;PHPStorm;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,
1649,1650,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",,,,,,,,,,,,,,,,,,,,,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, definitely",No,18-24 years old,Woman,No,Straight / Heterosexual,Southeast Asian,None of the above,I have an anxiety disorder,Too long,Easy,
1765,1766,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",13,6,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",500 to 999 employees,IDR	Indonesian rupiah,400400000.0,Yearly,C;C#;C++;Java;JavaScript;Kotlin;Objective-C;Ruby;Swift,Go;Ruby,Firebase;MySQL;PostgreSQL;Redis;SQLite,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Google Cloud Platform;Heroku,Google Cloud Platform;Heroku,Angular;ASP.NET Core ;jQuery;Ruby on Rails,Angular;Ruby on Rails,React Native,TensorFlow,Docker;Git;Kubernetes;Unity 3D;Unreal Engine,Docker;Git;Kubernetes,Android Studio;Notepad++;Sublime Text;Visual Studio Code;Xcode,Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,29302.0
1808,1809,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,1,"Developer, desktop or enterprise applications;Other (please specify):;Developer, back-end;System administrator",10 to 19 employees,IDR	Indonesian rupiah,20000000.0,Monthly,HTML/CSS;JavaScript;PHP,C++;HTML/CSS;JavaScript;PHP,MariaDB,MariaDB,,,jQuery,jQuery,Qt,Qt,Git,,Vim,Vim,Linux-based,Visit Stack Overflow;Watch help / tutorial videos;Play games;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,17568.0
