,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
226,227,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time;Student, part-time",,,Primary/elementary school,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Stack Overflow,,4,,,,,Investigate,Start a free trial,Indonesia,,,Assembly;C,C;C#,MySQL,,VMware,,,,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),CMake,CMake,Neovim;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Android;Debian;Windows,Debian,,,Discord,Discord,ChatGPT,ChatGPT,GitHub Copilot,,Stack Overflow,A few times per month or weekly,Not sure/can't remember,,Neutral,I'am Neutral,Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Writing code;Documenting code,,Testing code,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
284,285,I agree,I am learning to code,Under 18 years old,"Student, full-time;Not employed, and not looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Stack Overflow,,1,,,,,Other,Other (please specify):,Indonesia,,,C;Dart;HTML/CSS;JavaScript;PHP;Python,C;Dart;HTML/CSS;JavaScript;Python;TypeScript,,,,,Node.js;Vue.js,Deno;Node.js;React;Svelte;Vue.js;WordPress,,,Chocolatey;npm,Chocolatey;Docker;npm;Vite,Notepad++;PyCharm;Visual Studio Code,Neovim;Visual Studio Code;VSCodium,Windows;Windows Subsystem for Linux (WSL),Debian;Windows;Windows Subsystem for Linux (WSL),Markdown File,Markdown File,Discord;Whatsapp,Discord;Whatsapp,,,,,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",I think it is good and should be encouraged. AI should help programmers be more productive and reach their full potential. I think AI could help with finding duplicate questions on Stack Overflow,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
495,496,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Professional development or self-paced learning from online courses;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy;Udacity,6,3,"Developer, mobile",20 to 99 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,4000000.0,Dart;Groovy,Dart;Groovy,Firebase Realtime Database;MariaDB;MongoDB;MySQL;SQLite,,Firebase,Amazon Web Services (AWS);Firebase,,,Flutter,Flutter,Gradle,Docker;Gradle,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code;Xcode,Android;Windows,Android;Windows,Asana;Confluence;GitHub Discussions;Jira,GitHub Discussions;Jira,Google Meet;Slack;Whatsapp;Zoom,Google Meet;Slack;Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,A few times per week,"Yes, definitely",to sort spam answer & question,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,3.0,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Never,Never,Never,30-60 minutes a day,15-30 minutes a day,DevOps function;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,269.0
546,547,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,Primary/elementary school,Online Courses or Certification,,,3,,,,,Given a list,Ask developers I know/work with,Indonesia,,,C#;HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MongoDB;MySQL,Elasticsearch;MongoDB;MySQL;Redis;SQLite,Heroku,Cloudflare;Digital Ocean;Firebase;Netlify;Render;Vercel,CodeIgniter;Express;Node.js;React,Express;Node.js;React,React Native,,Composer;npm;Unity 3D;Vite,Composer;Kubernetes;npm;Unity 3D;Vite,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Windows,GitHub Discussions,GitHub Discussions,Discord;Google Meet;Zoom,Google Meet;Zoom,,,GitHub Copilot,AWS CodeWhisperer,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Related question,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
808,809,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,,3,,,,,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,,,C#;C++;JavaScript,C#;C++;Go;Kotlin;Rust;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,,,ASP.NET;ASP.NET CORE;Blazor;Node.js;React;Vue.js,ASP.NET;ASP.NET CORE;Blazor;Deno;Next.js;Node.js;Nuxt.js;React;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;React Native;Tauri;Xamarin,APT;CMake;Docker;Homebrew;LLVM's Clang;Make;MSVC;Ninja;npm;NuGet;Pacman;Unity 3D;Visual Studio Solution;Vite;Webpack;Yarn,APT;Bun;CMake;Docker;Godot;Gradle;Homebrew;Kubernetes;LLVM's Clang;Make;MSVC;npm;NuGet;Pacman;pnpm;Visual Studio Solution;Vite;Yarn,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code;WebStorm,MacOS;Windows,MacOS;Windows,Notion,Notion,,,Bing AI;ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,No,,Not sure,,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,Documenting code,Learning about a codebase;Project planning,Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,,,Learning about a codebase;Project planning,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
1100,1101,I agree,I am learning to code,Under 18 years old,"Student, part-time",,,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech,,2,,,,,Investigate,Start a free trial,Indonesia,,,JavaScript;PHP,JavaScript;PHP;TypeScript,MongoDB;MySQL,MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;jQuery;Laravel;Node.js;React,Laravel;Next.js;Node.js;React;Svelte;Vue.js,,,Composer;npm,Composer;npm,Android Studio;PhpStorm;Visual Studio Code,Android Studio;PhpStorm;Visual Studio Code,Windows,Windows,,,Whatsapp,Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
1838,1839,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",,12,3,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Go;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,Dart;JavaScript,MySQL;SQLite,MySQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel,Google Cloud;Microsoft Azure,Nuxt.js;React;Vue.js,React,React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Flutter;TensorFlow;Torch/PyTorch,Composer;Dagger;Docker;GNU GCC;Gradle;Homebrew;Kubernetes;Make;Terraform;Vite;Webpack;Yarn,Docker;Gradle;Kubernetes;Terraform;Unity 3D;Vite,Android Studio;Atom;Goland;IPython;Jupyter Notebook/JupyterLab;Notepad++;Spyder;Sublime Text;Visual Studio Code;Xcode,Android Studio;IPython;Jupyter Notebook/JupyterLab;Spyder;Visual Studio Code;Xcode,Android;Ubuntu;Windows,Android;Ubuntu;Windows,Confluence;GitHub Discussions;Miro;Trello,Confluence;GitHub Discussions;Notion,Discord;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Discord;Google Meet;Telegram;Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely","i'm not sure, as someone who mainly answers questions, maybe AI that can flag or close questions? prefer not AI that answers though",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,Documenting code;Deployment and monitoring,Debugging and getting help,Learning about a codebase;Project planning;Writing code;Testing code;Committing and reviewing code;Collaborating with teammates ,,Debugging and getting help,,,,Yes,Individual contributor,3.0,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,
1905,1906,I agree,I am learning to code,18-24 years old,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Friend or family member;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,10,,"Developer, full-stack",,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indonesia,,,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript;VBA;Visual Basic (.Net),Clojure;Elixir;Erlang;Julia;Lisp;Nim;Ruby;Zig,MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Elasticsearch;Neo4J;Redis,Digital Ocean;Firebase;Heroku;Vercel,Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud,Express;Fastify;Laravel;NestJS;Next.js;Node.js;React,Angular;Deno;Phoenix;Remix;Ruby on Rails;Svelte,Flutter,RabbitMQ;Tauri,Cargo;Chocolatey;Docker;Godot;npm;Pip;pnpm;Vite;Webpack;Yarn,Bun;Nix;Podman;Wasmer,Atom;Helix;Notepad++;Visual Studio Code,,Ubuntu;Windows,Ubuntu;Windows;Windows Subsystem for Linux (WSL),GitHub Discussions;Markdown File;Notion;Trello,Linear,Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Jitsi;Matrix,ChatGPT,Google Bard AI,GitHub Copilot,AWS CodeWhisperer,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,"Nothing. I think Stack Overflow main features should be separated from AI, as Stack Overflow benefits the most from human interactions.",Yes,Favorable,Improve collaboration,Somewhat distrust,Learning about a codebase,Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,Project planning;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
2258,2259,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;School (i.e., University, College, etc)",,Udemy,12,7,"Developer, full-stack",10 to 19 employees,I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,,Assembly;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,MySQL,Cloudflare;Digital Ocean,Amazon Web Services (AWS);Cloudflare,CodeIgniter;jQuery;Laravel;Play Framework;Vue.js;WordPress,Laravel;Vue.js,.NET Framework (1.0 - 4.8);Electron;Flutter,,Composer;npm;Vite;Webpack;Yarn,Composer;npm;Unity 3D;Unreal Engine;Vite,Android Studio;Netbeans;Sublime Text;Visual Studio Code,Visual Studio Code,Android;Windows,Windows,Asana;Trello,Asana;Monday.com;Trello,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Jitsi;Slack;Telegram;Whatsapp;Zoom,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat","If stack overflow can implement language processing AI like ChatGPT, I'd like to get help for proper grammar and text structure. Also a better way to get information like just typing the question and the answer is served directly to us without having to open each question would be a great help as well.",Yes,Very favorable,Other (please explain);Increase productivity;Greater efficiency,Neither trust nor distrust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code,,,,,,Writing code,Yes,People manager,10.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,10+ times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Observability tools,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,
2550,2551,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow;Certification videos,Other,3,1,"Developer, front-end",100 to 499 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,,Dart;Go;HTML/CSS;JavaScript;TypeScript;VBA,Dart;Go;HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Google Cloud;Heroku;Netlify;Vercel,Google Cloud;Vercel,NestJS;Next.js;Node.js;React,NestJS;Next.js,Flutter;React Native,Electron;Flutter;SwiftUI,Homebrew;npm;Vite;Yarn,Docker;Homebrew;Kubernetes;Yarn,Android Studio;IntelliJ IDEA;Notepad++;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,Android;ChromeOS;iOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;iOS;MacOS,Trello,Trello,Discord;Telegram;Whatsapp;Zoom,Discord;Telegram;Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow,Multiple times per day,Not sure/can't remember,,"No, not really",improving answer for every question that asked from other dev,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code,,,,,,Writing code;Documenting code,Yes,Individual contributor,1.0,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Advertising Services,Too long,Neither easy nor difficult,
