programming language,stack_overflow_count_2014,stack_overflow_count_2015,stack_overflow_count_2016,stack_overflow_count_2017,stack_overflow_count_2018,stack_overflow_count_2019,stack_overflow_count_2020,stack_overflow_count_2021,stack_overflow_count_2022,stack_overflow_count_2023,stack_overflow_count_2024
Java,8,67,85,131,414,402,300,384,302,236,202
JavaScript,10,91,116,210,564,634,484,793,667,590,474
Dart,2,2,2,3,0,103,128,224,193,177,129
Node.js,9,28,44,116,394,0,0,478,437,410,291
PHP,9,94,92,171,458,459,345,501,423,323,272
Visual Basic,0,23,36,51,160,0,0,0,0,0,0
MySQL,0,0,0,209,587,597,456,677,593,470,380
TypeScript,0,0,0,27,109,190,186,368,353,380,284
SQL,9,88,89,170,451,508,353,553,493,425,390
PostgreSQL,0,0,0,97,290,363,315,520,460,500,399
Flow,0,0,0,0,0,0,0,0,0,8,0
CHAIN,0,0,0,0,0,0,0,0,0,0,0
Z++,0,0,0,0,0,0,0,0,0,0,0
FOCUS,0,0,0,0,0,0,0,0,0,0,0
Python,3,29,57,95,326,383,344,521,445,407,311
kernel,0,0,0,0,0,0,0,0,0,0,0
Address,0,0,0,0,0,0,0,0,0,0,0
ASP.NET,1,0,0,0,0,0,0,99,51,62,63
C#,4,38,65,89,246,232,152,244,172,167,146
JS++,0,0,0,0,0,0,0,0,0,0,0
C,1,22,17,44,170,133,117,153,122,143,120
GraphQL,0,0,0,0,0,0,0,0,0,0,0
Go,1,6,17,51,203,224,202,286,288,279,249
Ada,0,0,0,0,0,0,0,0,0,15,11
Ruby,3,22,37,52,148,110,94,92,59,67,42
MariaDB,0,0,0,0,262,365,241,371,295,258,204
Scheme,0,0,0,0,0,0,0,0,0,0,0
Expect,0,0,0,0,0,0,0,0,0,0,0
Copilot,0,0,0,0,0,0,0,0,0,0,0
Solidity,0,0,0,0,0,0,0,0,30,18,19
solid,0,0,0,0,0,0,0,0,0,0,0
pipelines,0,0,0,0,0,0,0,0,0,0,0
RAPID,0,0,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,0,0,0,0
april,0,0,0,0,0,0,0,0,0,0,0
flagship,0,0,0,0,0,0,0,0,0,0,0
Swift,0,5,27,27,103,103,87,94,60,54,49
Small,0,0,0,0,0,0,0,0,0,0,0
Kotlin,0,0,0,0,145,218,184,215,193,153,135
Simplicity,0,0,0,0,0,0,0,0,0,0,0
Perl,0,5,5,8,34,0,29,11,10,13,14
C++,2,8,25,70,247,200,156,259,184,180,146
Scratch,0,0,0,0,0,0,0,0,0,0,0
R,0,2,10,12,56,54,66,53,50,47,41
F,0,0,0,0,0,0,0,0,0,0,0
Rust,0,0,6,5,42,49,65,123,146,180,152
Groovy,0,0,0,5,24,0,0,21,13,14,16
Scala,1,4,15,12,51,34,29,19,22,20,18
Revolution,0,0,0,0,0,0,0,0,0,0,0
MATLAB,0,4,4,8,59,0,0,40,31,28,29
Apex,0,0,0,0,0,0,0,0,0,9,9
Click,0,0,0,0,0,0,0,0,0,0,0
Adept,0,0,0,0,0,0,0,0,0,0,0
.QL,0,0,0,0,0,0,0,0,0,0,0
dss,0,0,0,0,0,0,0,0,0,0,0
SPARK,0,0,0,17,45,0,0,0,0,0,0
Pure,0,0,0,0,0,0,0,0,0,0,0
GAP,0,0,0,0,0,0,0,0,0,0,0
Falcon,0,0,0,0,0,0,0,0,0,0,0
Alpha,0,0,0,0,0,0,0,0,0,0,0
Plot,0,0,0,0,0,0,0,0,0,0,0
Joy,0,0,0,0,0,0,0,0,0,0,0
CONVERT,0,0,0,0,0,0,0,0,0,0,0
Frank,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0
lever,0,0,0,0,0,0,0,0,0,0,0
JADE,0,0,0,0,0,0,0,0,0,0,0
Blue,0,0,0,0,0,0,0,0,0,0,0
THINK C,0,0,0,0,0,0,0,0,0,0,0
Inform,0,0,0,0,0,0,0,0,0,0,0
NATURAL,0,0,0,0,0,0,0,0,0,0,0
Reason,0,0,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0
SR,0,0,0,0,0,0,0,0,0,0,0
Crystal,0,0,0,0,0,0,0,4,7,15,12
PowerHouse,0,0,0,0,0,0,0,0,0,0,0
Conceptual,0,0,0,0,0,0,0,0,0,0,0
Factor,0,0,0,0,0,0,0,0,0,0,0
False,0,0,0,0,0,0,0,0,0,0,0
RPL,0,0,0,0,0,0,0,0,0,0,0
SQLite,0,0,0,101,184,318,251,358,276,266,256
fe,0,0,0,0,0,0,0,0,0,0,0
Chrome,0,0,0,0,0,0,0,0,0,0,0
Tao,0,0,0,0,0,0,0,0,0,0,0
Flavors,0,0,0,0,0,0,0,0,0,0,0
Cyber,0,0,0,0,0,0,0,0,0,0,0
Bash,0,0,0,0,221,0,0,148,140,0,0
DEMOS,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0
PROMETHEUS,0,0,0,0,0,0,0,0,0,0,0
Gist,0,0,0,0,0,0,0,0,0,0,0
PILOT,0,0,0,0,0,0,0,0,0,0,0
REDUCE,0,0,0,0,0,0,0,0,0,0,0
Monkey,0,0,0,0,0,0,0,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,0
abs,0,0,0,0,0,0,0,0,0,0,0
FaCT,0,0,0,0,0,0,0,0,0,0,0
MACRO,0,0,0,0,0,0,0,0,0,0,0
FLUX,0,0,0,0,0,0,0,0,0,0,0
ECMAScript,0,0,0,0,0,0,0,0,0,0,0
Argus,0,0,0,0,0,0,0,0,0,0,0
Assembly,0,0,0,7,47,69,45,34,29,38,35
PowerShell,0,0,0,0,0,0,0,54,47,66,63
Visual FoxPro,0,0,0,0,0,0,0,0,0,0,0
FoxPRO,0,0,0,0,0,0,0,0,0,0,0
Delphi,0,1,0,0,0,0,0,33,43,26,28
SCM,0,0,0,0,0,0,0,0,0,0,0
Red,0,0,0,0,0,0,0,0,0,0,0
MetaL,0,0,0,0,0,0,0,0,0,0,0
SaltStack,0,0,0,0,0,0,0,0,0,0,0
bamboo,0,0,0,0,0,0,0,0,0,0,0
Mercury,0,0,0,0,0,0,0,0,0,0,0
UNITY,0,0,0,0,0,0,0,0,0,0,0
Arduino,3,13,23,0,0,0,0,0,0,0,0
SAS,0,0,0,0,0,0,0,0,6,8,0
SPSS,0,0,0,0,0,0,0,0,0,0,0
SIGNAL,0,0,0,0,0,0,0,0,0,0,0
Spatial,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0
jasper,0,0,0,0,0,0,0,0,0,0,0
PowerBuilder,0,0,0,0,0,0,0,0,0,0,0
SRL,0,0,0,0,0,0,0,0,0,0,0
Logos,0,0,0,0,0,0,0,0,0,0,0
Virgil,0,0,0,0,0,0,0,0,0,0,0
Dale,0,0,0,0,0,0,0,0,0,0,0
LUCID,0,0,0,0,0,0,0,0,0,0,0
CUDA,0,0,0,0,0,0,0,0,0,0,0
LINQ,0,0,0,0,0,0,0,0,0,0,0
JOVIAL,0,0,0,0,0,0,0,0,0,0,0
APL,0,0,0,0,0,0,0,11,8,9,0
BASIC A+,0,0,0,0,0,0,0,0,0,0,0
Cell,0,0,0,0,0,0,0,0,0,0,0
MIMIC,0,0,0,0,0,0,0,0,0,0,0
Charity,0,0,0,0,0,0,0,0,0,0,0
Meson,0,0,0,0,0,0,0,0,0,0,0
DYNAMO,0,0,0,0,0,0,0,0,0,55,38
Haskell,2,1,6,11,28,0,24,23,13,23,11
PLANNER,0,0,0,0,0,0,0,0,0,0,0
Gherkin,0,0,0,0,0,0,0,0,0,0,0
frame,0,0,0,0,0,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0,0,0
Sqlalchemy,0,0,0,0,0,0,0,0,0,0,0
Erlang,0,0,0,5,27,29,0,9,16,14,18
Sage,0,0,0,0,0,0,0,0,0,0,0
Lisp,0,0,0,0,0,0,0,0,0,10,13
Lua,0,0,0,7,40,0,0,0,31,43,46
F#,0,0,5,3,15,24,0,14,11,11,12
bloom,0,0,0,0,0,0,0,0,0,0,0
score,0,0,0,0,0,0,0,0,0,0,0
HL7,0,0,0,0,0,0,0,0,0,0,0
VBA,0,0,0,10,38,51,53,40,41,26,28
ActionScript,0,0,0,0,0,0,0,0,0,0,0
Elixir,0,0,0,11,0,41,0,33,26,44,34
MAPPER,0,0,0,0,0,0,0,0,0,0,0
Boo,0,0,0,0,0,0,0,0,0,0,0
Pan,0,0,0,0,0,0,0,0,0,0,0
l2,0,0,0,0,0,0,0,0,0,0,0
Augment,0,0,0,0,0,0,0,0,0,0,0
FP,0,0,0,0,0,0,0,0,0,0,0
Vale,0,0,0,0,0,0,0,0,0,0,0
candor,0,0,0,0,0,0,0,0,0,0,0
Stata,0,0,0,0,0,0,0,0,0,0,0
Arc,0,0,0,0,0,0,0,0,0,0,0
DML,0,0,0,0,0,0,0,0,0,0,0
IPL,0,0,0,0,0,0,0,0,0,0,0
XL,0,0,0,0,0,0,0,0,0,0,0
Star,0,0,0,0,0,0,0,0,0,0,0
fox,0,0,0,0,0,0,0,0,0,0,0
LEAP,0,0,0,0,0,0,0,0,0,0,0
Dockerfile,0,0,0,0,0,0,0,0,0,0,0
Dc,0,0,0,0,0,0,0,0,0,0,0
VBScript,0,0,0,0,0,0,0,0,0,0,0
CORAL,0,0,0,0,0,0,0,0,0,0,0
UniVerse,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0
