name,avg wiki views (monthly)
PostgreSQL,544.0535714285714
SQL,1500.580357142857
MySQL,3228.7946428571427
Python,5567.955357142857
Kernel,1841.9642857142858
ASP.NET,15.955357142857142
C,1236.5535714285713
C++,5356.428571428572
Go,92.0625
Ruby,856.5267857142857
Ada,199.44642857142858
MariaDB,282.75
Solidity,76.50649350649351
Swift,179.83035714285714
Kotlin,362.0
Perl,357.7857142857143
Scratch,2182.589285714286
R,841.1875
Scala,384.39784946236557
Rust,154.7840909090909
MATLAB,990.2321428571429
SQLite,285.89285714285717
Bash,56.4
Assembly,1320.3660714285713
PowerShell,8.553571428571429
FoxPro,16.5
Delphi,446.05357142857144
Visual FoxPro,476.9107142857143
Unity,600.8260869565217
Arduino,3287.785714285714
SAS,165.55357142857142
SPSS,1578.7857142857142
Haskell,91.29464285714286
SQLAlchemy,22.12727272727273
Sage,86.84821428571429
Lisp,101.34545454545454
Lua,21.071428571428573
VBA,509.49107142857144
ActionScript,356.39285714285717
Elixir,181.11267605633802
Stata,101.04464285714286
VBScript,175.75
C#,497.26666666666665
Dart,52.95384615384615
JavaScript,5276.794642857143
Java,3925.598214285714
Node.js,662.8035714285714
PHP,4083.75
Visual Basic,4796.991071428572
