programming language,wiki view Oct 2024
ASP.NET,16
ActionScript,109
Ada,100
Arduino,2663
Assembly,486
Bash,77
C,1252
C#,310
C++,2039
Dart,170
Delphi,169
Elixir,86
FoxPro,2
Go,28
Haskell,74
Java,1577
JavaScript,2134
Kernel,697
Kotlin,326
Lisp,118
Lua,42
MATLAB,463
MariaDB,85
MySQL,985
Node.js,399
PHP,1445
Perl,171
PostgreSQL,277
PowerShell,8
Python,2736
R,3071
Ruby,330
Rust,188
SAS,122
SPSS,1517
SQL,708
SQLAlchemy,13
SQLite,105
Sage,20
Scala,69
Scratch,4784
Solidity,68
Stata,86
Swift,95
Unity,429
VBA,147
VBScript,80
Visual Basic,714
Visual FoxPro,125
