Language,Wiki View 2024
ASP.NET,89
ActionScript,1413
Ada,4271
Arduino,24613
Assembly,5362
Bash,282
C,10044
C#,3343
C++,17608
Dart,2048
Delphi,2049
Elixir,1114
FoxPro,32
Go,273
Haskell,785
Java,23472
JavaScript,21112
Kernel,7117
Kotlin,2692
Lisp,1035
Lua,490
MATLAB,5540
MariaDB,941
MySQL,11591
Node.js,4235
PHP,22660
Perl,2301
PostgreSQL,3390
PowerShell,75
Python,29308
R,15232
Ruby,4146
Rust,1976
SAS,1122
SPSS,15734
SQL,8200
SQLAlchemy,116
SQLite,997
Sage,293
Scala,873
Scratch,86668
Solidity,757
Stata,877
Swift,856
Unity,5620
VBA,1669
VBScript,1051
Visual Basic,13891
Visual FoxPro,1781
