Date,"PostgreSQL","SQL","MySQL","Python (bahasa pemrograman)","Kernel (ilmu komputer)","ASP.NET","C","C++","Go","Ruby (bahasa pemrograman)"
2015-07,269,1128,2440,1129,1084,23,576,1969,248,376
2015-08,480,2062,4851,1545,2948,29,714,4130,291,736
2015-09,623,2463,5475,2196,3718,26,673,5996,259,961
2015-10,643,3439,7029,1985,4817,31,768,6303,209,713
2015-11,597,3512,6303,2187,3769,31,752,5071,247,465
2015-12,483,2408,5395,1906,2561,33,605,4112,293,408
2016-01,505,2498,5103,2338,3560,30,716,4485,241,491
2016-02,501,2230,4640,1829,2831,24,594,3499,211,404
2016-03,579,3185,5899,2404,4256,22,588,4890,198,417
2016-04,475,2923,5244,2103,3508,24,669,4130,269,495
2016-05,445,2532,4854,1909,2709,11,632,3999,233,319
2016-06,333,1825,3595,1848,1555,18,555,2775,273,343
2016-07,370,1574,3057,1571,1068,21,659,2814,136,312
2016-08,514,1985,4555,2396,2064,30,720,5001,174,460
2016-09,719,2271,5450,3020,3209,26,1056,6979,148,451
2016-10,687,2732,6204,2957,3581,38,1095,7290,195,499
2016-11,720,2451,6282,2992,3293,18,1081,5378,170,390
2016-12,650,2063,5294,2334,1965,27,1086,4523,139,292
2017-01,564,1884,4984,2431,2672,19,1298,4562,127,317
2017-02,600,1689,4735,2462,2454,24,1125,3701,120,439
2017-03,767,2397,6435,3215,3411,26,1180,4726,128,514
2017-04,477,1866,5137,3247,2628,22,1174,4575,145,713
2017-05,493,1997,5101,3159,2471,35,1008,4130,130,533
2017-06,317,1278,3418,2019,1341,20,942,2956,90,425
2017-07,425,1603,3842,2491,1439,14,1400,4542,95,601
2017-08,514,1622,4067,3286,1459,25,1509,6674,97,682
2017-09,846,2023,4721,3086,3035,21,1458,8163,114,926
2017-10,878,2642,5400,3780,3141,19,1344,8513,120,824
2017-11,646,2374,5292,2821,2622,12,1120,6639,106,659
2017-12,521,1898,4120,2390,1571,18,1105,5181,95,462
2018-01,570,2529,4562,2671,1845,21,1789,5011,128,530
2018-02,514,1710,3544,2225,1695,18,2029,3628,83,504
2018-03,617,2629,4302,3168,2696,25,2701,5219,142,615
2018-04,596,1971,4204,2656,1925,26,3014,4101,78,953
2018-05,521,1941,3632,2311,1583,32,4000,4115,99,592
2018-06,259,929,1798,1630,880,18,4090,2163,143,478
2018-07,529,1789,3615,2776,1596,28,3357,3950,151,637
2018-08,530,1667,3523,2966,1637,30,2735,5414,96,748
2018-09,1176,2188,4250,4314,2661,27,2179,7221,112,807
2018-10,965,2509,4914,4653,4496,24,1396,7171,64,833
2018-11,793,2309,4947,3663,3157,18,1183,5417,90,637
2018-12,658,2136,4241,2735,1929,17,654,4397,92,548
2019-01,739,2292,4606,3420,2057,18,677,4955,102,584
2019-02,695,1579,3580,2709,2011,16,589,4014,153,554
2019-03,877,2726,4727,3823,2390,21,694,5569,80,572
2019-04,858,2304,4220,3454,1824,20,792,4008,76,649
2019-05,628,1959,4503,3542,1547,20,628,0,69,603
2019-06,451,1246,2999,3208,938,13,616,2279,124,478
2019-07,845,1907,3885,4701,1572,13,733,4664,88,747
2019-08,894,1764,3505,4587,1587,10,800,6297,101,922
2019-09,941,2161,4138,5561,2640,16,906,9392,107,900
2019-10,962,2509,4547,6587,3171,24,1012,9571,128,1067
2019-11,847,2218,3946,5171,2532,22,1138,8053,113,776
2019-12,718,1743,3134,3951,1698,13,720,6440,80,691
2020-01,767,1509,3617,4610,1474,20,706,7177,73,751
2020-02,883,1458,3101,4134,1622,15,677,5898,112,654
2020-03,1013,1965,4134,5196,2471,11,865,7983,182,621
2020-04,801,2068,4913,5511,1692,18,907,6300,71,786
2020-05,574,1143,2925,3656,1072,5,632,4745,64,601
2020-06,620,1722,4718,4128,1530,12,618,8595,60,438
2020-07,523,954,2119,3616,1204,7,711,3713,40,552
2020-08,481,1025,2071,3120,1151,8,831,4856,54,599
2020-09,789,1546,3526,6530,2262,15,1047,8491,43,975
2020-10,880,1694,3084,7021,2431,8,917,12096,43,2101
2020-11,601,1605,2678,5636,2375,10,727,12402,38,2650
2020-12,430,1301,3109,4966,1865,2,640,11535,87,2770
2021-01,521,1177,2352,4070,1346,6,589,6742,65,1876
2021-02,595,855,1976,3051,2036,18,683,3952,46,383
2021-03,730,1157,3299,4083,1535,8,614,6302,34,450
2021-04,482,920,2039,2737,1354,7,490,3337,16,407
2021-05,208,1090,1506,2815,606,5,434,2431,29,327
2021-06,370,1057,2601,3394,1122,10,476,4702,22,327
2021-07,372,990,1859,5153,1158,9,602,5525,16,1225
2021-08,411,836,1749,7679,937,6,643,6529,26,826
2021-09,691,1079,2246,6557,1713,6,632,10131,22,1283
2021-10,612,1168,2469,16996,2790,8,707,8835,26,1397
2021-11,450,1194,2359,7996,3506,10,556,7111,16,1075
2021-12,496,1164,2104,10423,2153,3,585,7503,12,1084
2022-01,367,848,1979,3842,1724,2,508,6309,15,1013
2022-02,308,867,1354,16518,1003,2,431,6568,19,2389
2022-03,434,934,2135,17903,1526,9,515,7744,19,2894
2022-04,334,679,1373,26049,1148,23,1118,5779,40,2911
2022-05,308,548,1318,23123,731,4,1970,4286,65,2410
2022-06,399,740,2358,31243,1024,2,1752,5101,55,1870
2022-07,452,625,1809,24238,762,4,1703,5990,32,1975
2022-08,379,544,1519,25792,819,17,1496,7134,21,1447
2022-09,490,1085,2207,25044,1556,5,1433,11275,21,1255
2022-10,530,918,2087,28052,2025,4,1755,14671,28,1447
2022-11,407,702,2014,24482,1626,6,1930,12713,27,1334
2022-12,362,630,1623,4758,866,2,601,10576,22,2202
2023-01,415,487,1552,6562,965,3,937,8087,38,3076
2023-02,443,379,1445,14954,1067,6,1815,6231,72,2316
2023-03,587,446,1974,4573,1365,5,1407,6435,99,1692
2023-04,280,256,1033,2593,613,3,2112,2989,18,688
2023-05,367,391,2014,4144,1116,125,6579,3443,40,646
2023-06,361,449,1652,3092,763,11,6616,3089,31,414
2023-07,332,338,1281,2400,678,3,3893,3126,175,499
2023-08,326,328,1133,2078,812,4,2037,3611,45,389
2023-09,331,457,1286,3436,1273,1,1459,2695,42,379
2023-10,462,445,1434,2138,1427,11,1551,2562,48,712
2023-11,430,455,1451,1993,1214,8,1017,2215,40,758
2023-12,316,368,1205,2700,868,4,892,2037,29,859
2024-01,298,339,1414,2797,776,4,1009,1474,38,669
2024-02,247,325,881,2527,768,8,753,1392,23,412
2024-03,443,917,1609,3585,1268,3,795,2290,24,522
2024-04,289,649,807,2163,720,7,772,1411,27,532
2024-05,562,1279,1590,3686,936,6,907,2248,35,381
2024-06,379,1238,1414,3691,562,5,1000,1438,17,231
2024-07,313,1279,1094,3412,476,12,1194,1306,17,322
2024-08,289,854,872,2306,449,11,1089,1879,33,340
2024-09,293,612,925,2405,465,17,1273,2131,31,407
2024-10,277,708,985,2736,697,16,1252,2039,28,330
