,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
1100,1101,Professional developer,"Yes, I contribute to open source projects",Indonesia,"Yes, full-time",Employed full-time,I never completed any formal education,,Never,Fewer than 10 employees,Publicly-traded corporation,Less than a year,Less than a year,,Desktop applications developer,,,,10.0,10.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian dollars (A$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,2133,Professional developer,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",I never completed any formal education,,"More than half, but not all, the time",,,16 to 17 years,6 to 7 years,,Web developer; Systems administrator,,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,I am actively looking for a job,8.0,Less than a year ago,,,,,,,,,,,,,,,,,No,LinkedIn,A recruiter contacted me,,Very important,Somewhat important,Very important,Somewhat important,Not very important,Somewhat important,Not at all important,Not at all important,Somewhat important,Very important,,,Both,,,,,,,,,,,,,,,,,Lean; Scrum; Evidence-based SWE,Git,A few times a week,Strongly agree,Strongly agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Bugs found; On time/in budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2444,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,3 to 4 years,,Web developer; Graphic designer; Database administrator; Systems administrator,,,,0.0,0.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Between 2 and 4 years ago,Important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,Important,Very important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Retirement; Annual bonus; Health benefits; Professional development sponsorship; Child/elder care,No,LinkedIn,Something else,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Greatly underpaid,Tabs,,,,,,9:00 AM,C#; JavaScript; SQL,C#; Elixir,AngularJS; Node.js; React; .NET Core,.NET Core,SQL Server; MySQL; PostgreSQL; SQLite,PostgreSQL,Windows Desktop; Linux Desktop; WordPress,Linux Desktop,Notepad++; Visual Studio; Visual Studio Code,,,Git,A few times a month,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Some influence,Not much influence,A lot of influence,A lot of influence,A lot of influence,Some influence,Some influence,Some influence,Some influence,Not much influence,Some influence,,,,,,,,,,,,,,,,,,,,,,,,,,,673.098496746691,
2478,2479,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,2 to 3 years,,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,,,,8.0,8.0,,,,,,,,,"With a soft ""g,"" like ""jiff""",Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,No,Hired.com; LinkedIn,"I completed a major project, assignment, or contract",An external recruiter or headhunter,Very important,Important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Japanese yen (¥),Neither underpaid nor overpaid,Spaces,,,,,,8:00 AM,C++; C#; JavaScript; PHP; SQL; VB.NET; VBA,C; C++; C#; Java; JavaScript; PHP; Python; Ruby; Scala; SQL,AngularJS; Hadoop; Node.js,AngularJS; Node.js; React; Cordova; Xamarin; .NET Core,SQL Server; MySQL; PostgreSQL; Oracle,MongoDB; SQL Server; MySQL; PostgreSQL; SQLite,Android; Windows Desktop; Linux Desktop; Mac OS; WordPress,Android; Windows Desktop; Linux Desktop; Arduino; Raspberry Pi; SharePoint; WordPress; Microsoft Azure,Notepad++; Sublime Text; Android Studio; Eclipse; IntelliJ; NetBeans; Visual Studio; Zend,Turn on some music,Waterfall; Scrum; Kanban; Domain-driven design,Git,A few times a week,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Somewhat agree,Agree,Hours worked; Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Some influence,Some influence,Some influence,Not much influence,Some influence,A lot of influence,A lot of influence,Some influence,Not much influence,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9.0,Desktop; Android app,At least once each week,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Several times,Several times,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Male,A bachelor's degree,East Asian,Strongly disagree,Agree,Disagree,Strongly agree,3335.36002779467,
2498,2499,Professional developer,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,"Sole proprietorship or partnership, not in startup mode",11 to 12 years,6 to 7 years,,Other,,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Between 2 and 4 years ago,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Somewhat important,Important,Important,Stock options; Health benefits; Professional development sponsorship; Expected work hours; Remote options,No,LinkedIn,"I completed a major project, assignment, or contract",I visited the company's Web site and found a job listing there,Somewhat important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Not very important,Not very important,Not very important,Somewhat important,,Neither underpaid nor overpaid,Spaces,Important,On-the-job training; Self-taught; Hackathon,Official documentation; Textbook; Stack Overflow Q&A; Non-Stack online communities,,Get a job as a QA tester; Take online courses; Bootcamp; Buy books and work through the exercises,9:00 AM,Python,JavaScript; Python,,Hadoop; Spark,,Cassandra; Redis; MySQL,,Amazon Web Services (AWS),Sublime Text,Keep the room absolutely quiet,Waterfall,Git,Multiple times a day,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Manager's rating; Peers' rating,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",8.0,Desktop,Several times,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Male,A bachelor's degree,,Agree,Agree,Disagree,Agree,23334.0812205519,
2656,2657,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,Secondary school,,Never,20 to 99 employees,I prefer not to answer,1 to 2 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I'm not actively looking, but I am open to new opportunities",1.0,Less than a year ago,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Annual bonus; Equipment; Expected work hours; Child/elder care,Yes,,,,,,,,,,,,,,,,Both,,Self-taught; Coding competition,Official documentation,,,1:00 PM,C; C++; C#; PHP; SQL,JavaScript,,Node.js,MySQL,Cassandra,,,Sublime Text; PHPStorm; Visual Studio,"Put on some ambient sounds (e.g. whale songs, forest sounds)",Waterfall,Git,Multiple times a day,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Bugs found; Hours worked; Commit frequency; Customer satisfaction; On time/in budget,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Once or twice,Several times,Several times,Haven't done at all,Several times,Several times,,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Male,I prefer not to answer,East Asian,Agree,Agree,Disagree,Agree,,
2704,2705,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,9 to 10 years,2 to 3 years,,Web developer,Back-end Web developer,,,10.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,No,LinkedIn; Other,I was just giving it a regular update,A general-purpose job board,Important,Important,Very important,Somewhat important,Important,Important,Not very important,Important,Not very important,Somewhat important,Euros (€),Neither underpaid nor overpaid,Spaces,Important,Industry certification; On-the-job training; Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Friends network,,Take online courses; Part-time/evening courses; Buy books and work through the exercises,9:00 AM,JavaScript; PHP; SQL,JavaScript; PHP; SQL,,Node.js; React,MySQL,Redis; MySQL,,Amazon Web Services (AWS),NetBeans,Keep the room absolutely quiet,,,,,,,,,,,,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,I am the final decision maker,A lot of influence,A lot of influence,A lot of influence,I am the final decision maker,Some influence,I am the final decision maker,A lot of influence,A lot of influence,Some influence,A lot of influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8.0,Desktop; Android browser,At least once each week,At least once each week,Several times,Once or twice,Several times,Several times,Several times,Haven't done at all,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Somewhat agree,Male,A bachelor's degree,White or of European descent,Disagree,Somewhat agree,Disagree,Agree,24325.8064516129,
2714,2715,Professional developer,"Yes, both",Indonesia,No,Employed full-time,Master's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,Pre-series A startup,8 to 9 years,3 to 4 years,,Web developer; Embedded applications/devices developer; Graphic designer,,,,8.0,8.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,I am the final decision maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,2758,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,1 to 2 years,,,,,,,,,,,,,,,,,"Enunciating each letter: ""gee eye eff""",,,,,,,,,,,,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2846,2847,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,8 to 9 years,3 to 4 years,,Web developer; Mobile developer; Other,,,,8.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Between 1 and 2 years ago,Very important,Important,Somewhat important,Important,Somewhat important,Important,Important,Very important,Important,Somewhat important,Somewhat important,Very important,Important,Very important,Important,Health benefits; Professional development sponsorship; Education sponsorship; Expected work hours; Meals,Yes,,,,,,,,,,,,,,,,Both,Important,Online course; On-the-job training; Self-taught; Coding competition; Hackathon,Official documentation; Stack Overflow Q&A; Company internal community; Friends network,,,9:00 AM,C#; JavaScript,Go; Lua; Python; TypeScript,AngularJS; .NET Core,Hadoop; Node.js; Spark,,MongoDB; Redis; MySQL,,Linux Desktop; Amazon Web Services (AWS); Microsoft Azure,Notepad++; Sublime Text; IntelliJ; Xcode,Turn on some music,Agile; Scrum; Pair; Kanban,Git,Once a day,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Hours worked; Benchmarked product performance; Manager's rating; Peers' rating; Self-rating,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Some influence,Some influence,Some influence,Not much influence,Some influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Some influence,"I've visited Stack Overflow, but haven't logged in/created an account",9.0,Desktop; Android browser,At least once each day,At least once each week,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Disagree,Male,A bachelor's degree,,Strongly agree,Agree,Disagree,Strongly agree,,
