,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
48,76,Yes,Yes,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Game or graphics developer;Mobile developer,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I saw an employer’s advertisement,,,Monthly,,,"Jira;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",More than a year,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",,,To build my professional network;To win prizes or cash awards;Because I find it enjoyable,Agree,Agree,Strongly disagree,Go;Java;JavaScript;PHP;SQL;Swift;Kotlin;HTML;CSS,,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB,,Android;Arduino;iOS;Windows Desktop or Server;WordPress,,,,Android Studio;Atom;Eclipse;NetBeans;Notepad++;PHPStorm;Sublime Text;Visual Studio;Xcode,MacOS,1,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes,Extremely interested,Very interested,Very interested,Very interested,Very interested,Between 9:01 - 10:00 AM,9 - 12 hours,30 - 59 minutes,,Standing desk,I don't typically exercise,Male,,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,18 - 24 years old,No,,The survey was too long,Somewhat easy
83,125,Yes,Yes,Indonesia,No,Employed full-time,,,Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer",3-5 years,3-5 years,Moderately dissatisfied,Moderately dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,5.0,,,,,,,,My job status or other personal status changed,,,,,,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,Taken an online course in programming or software development (e.g. a MOOC);Contributed to open source software,,,,Agree,Agree,Neither Agree nor Disagree,JavaScript;PHP;SQL;Swift;HTML;CSS,Python;TypeScript,MySQL,Cassandra,Android;WordPress;Firebase,iOS;Raspberry Pi,,Angular;Django;Node.js,Android Studio;Atom;Notepad++,MacOS,2,,Git,A few times per week,No,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,,,,,,,,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",The person who came up with the idea,Yes,9,Daily or almost daily,Yes,Daily or almost daily,Yes,Yes,9,Yes,A little bit interested,A little bit interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,Male,,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,,The survey was an appropriate length,Neither easy nor difficult
162,249,Yes,Yes,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Front-end developer;Product manager,9-11 years,9-11 years,Slightly dissatisfied,Slightly satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,8.0,7.0,6.0,1.0,5.0,2.0,4.0,10.0,3.0,1.0,4.0,3.0,7.0,11.0,5.0,10.0,2.0,6.0,8.0,9.0,1.0,3.0,5.0,2.0,4.0,1.0,2.0,7.0,5.0,4.0,6.0,3.0,My job status or other personal status changed,,33000000,Monthly,29532.0,IDR,Jira;Slack;Trello,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,To build my professional network;Because I find it enjoyable,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;PHP;HTML;CSS,JavaScript;PHP;HTML;CSS,MongoDB;MySQL;MariaDB,MySQL;MariaDB,AWS;WordPress;Firebase,AWS;IBM Cloud or Watson;Serverless;WordPress;Firebase,Node.js;React;Cordova,Node.js,Atom;Visual Studio Code,MacOS,2,Agile;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement,1.0,5.0,3.0,4.0,7.0,2.0,6.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",5,I'm not sure,Somewhat interested,Not at all interested,Not at all interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,25 - 34 years old,Yes,,The survey was too long,Very easy
245,365,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,9-11 years,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,883,Yes,Yes,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;Educator or academic researcher;Engineering manager,6-8 years,6-8 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,5.0,8.0,9.0,4.0,2.0,10.0,1.0,6.0,7.0,3.0,1.0,4.0,6.0,2.0,11.0,7.0,9.0,8.0,3.0,10.0,5.0,5.0,2.0,1.0,4.0,3.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,My job status or other personal status changed,,5000000,Monthly,4476.0,IDR,"Google Hangouts/Chat;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",,,Agree,Strongly agree,Disagree,C#;Java;JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;SQL;TypeScript;Kotlin;HTML;CSS,MySQL;SQLite;MariaDB,SQL Server;SQLite;MariaDB,Linux;Firebase,Linux;Firebase,Django,,Android Studio;Atom;Sublime Text;Vim;Visual Studio;Visual Studio Code,Windows,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website,Strongly disagree,Somewhat disagree,Somewhat agree,Clicked on an online advertisement;Stopped going to a website because of their advertising,1.0,2.0,6.0,3.0,4.0,5.0,7.0,Increasing automation of jobs,Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,Yes,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Between 6:01 - 7:00 AM,Over 12 hours,1 - 2 hours,1 - 2 times per week,Fatigue-relieving floor mat;Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,,South Asian,25 - 34 years old,Yes,,The survey was too long,Neither easy nor difficult
786,1112,Yes,No,Indonesia,"Yes, full-time",Employed full-time,Associate degree,Web development or web design,10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,0-2 years,Slightly satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,1.0,7.0,6.0,9.0,5.0,2.0,3.0,4.0,10.0,1.0,5.0,2.0,7.0,9.0,3.0,11.0,4.0,6.0,10.0,8.0,,,,,,,,,,,,,I received bad news about the future of my company or department,U.S. dollars ($),,Monthly,,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,1231,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,6-8 years,0-2 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Less than a year ago,1.0,6.0,2.0,8.0,3.0,9.0,10.0,4.0,7.0,5.0,1.0,8.0,3.0,7.0,11.0,4.0,9.0,2.0,6.0,10.0,5.0,,,,,,,,,,,,,My job status or other personal status changed,,,Monthly,,IDR,Confluence;Google Hangouts/Chat;Jira;Trello,Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",,,Agree,Agree,Strongly disagree,C;C#;Go;Java;JavaScript;SQL;HTML;CSS,C#;Java;JavaScript;SQL;HTML,SQL Server;MySQL;PostgreSQL;Oracle;Neo4j,MongoDB;SQL Server;MySQL;PostgreSQL;Oracle;Neo4j,AWS;Windows Desktop or Server,AWS;Heroku;Linux;Windows Desktop or Server,Spring,.NET Core;Spring,Eclipse;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile;Kanban;Scrum,Git,Multiple times per day,No,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement,1.0,5.0,2.0,3.0,4.0,6.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,No,,Yes,9,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,Yes,A little bit interested,Not at all interested,Very interested,Very interested,Extremely interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was too long,Somewhat easy
1670,2348,Yes,Yes,Indonesia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Fewer than 10 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3.0,5.0,7.0,6.0,8.0,1.0,2.0,4.0,9.0,10.0,1.0,9.0,2.0,8.0,11.0,10.0,3.0,4.0,6.0,7.0,5.0,2.0,1.0,5.0,4.0,3.0,1.0,5.0,4.0,2.0,7.0,3.0,6.0,I had a negative experience or interaction at work,,,Monthly,,IDR,Facebook;Google Hangouts/Chat,,Participated in a hackathon;Contributed to open source software,,,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,JavaScript;PHP;SQL;HTML;CSS,Go;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,Redis;MySQL;PostgreSQL;SQLite;Oracle;Memcached;Elasticsearch,Android;WordPress;Firebase,Android;AWS;Google Cloud Platform/App Engine;Heroku;Linux;Mac OS;Raspberry Pi,,Node.js;React;TensorFlow,Android Studio;Notepad++;Sublime Text;Visual Studio Code,Windows,1,Extreme programming (XP),Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,1.0,5.0,2.0,4.0,7.0,6.0,3.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,7,Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,I'm not sure,A little bit interested,A little bit interested,A little bit interested,Somewhat interested,Somewhat interested,I do not have a set schedule,Over 12 hours,1 - 2 hours,Daily or almost every day,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian;South Asian,18 - 24 years old,,,The survey was too long,Neither easy nor difficult
1758,2468,Yes,No,Indonesia,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Data scientist or machine learning specialist;Educator or academic researcher;Student,6-8 years,0-2 years,Slightly dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Between 1 and 2 years ago,5.0,9.0,2.0,10.0,4.0,1.0,3.0,7.0,8.0,6.0,2.0,7.0,10.0,11.0,9.0,3.0,4.0,5.0,6.0,8.0,1.0,,,,,,,,,,,,,My job status or other personal status changed,,,,,,Slack;Trello,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",,"To improve my knowledge of a specific programming language, framework, or other technology;To win prizes or cash awards;Because I find it enjoyable",Agree,Neither Agree nor Disagree,Agree,C++;Python,Haskell;Julia;Python,MongoDB;Redis,MongoDB,AWS,,Torch/PyTorch,Node.js;Torch/PyTorch,Android Studio;IPython / Jupyter;Notepad++;Visual Studio Code,Linux-based,1,,Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to view a specific advertisement,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,4.0,1.0,3.0,2.0,5.0,6.0,7.0,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,9,Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Very interested,Somewhat interested,Very interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,1 - 2 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
2299,3251,No,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Database administrator;Student;System administrator,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C#;JavaScript;SQL;HTML;CSS,C#;JavaScript;PHP;SQL;HTML;CSS,SQL Server;MySQL;Oracle,SQL Server;MySQL;Oracle,Windows Desktop or Server,Android;iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,3481,No,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Marketing or sales professional,3-5 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
