,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
1008,1009,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Online books;Video-based Online Courses,Coursera;Other,10,8,"Data scientist or machine learning specialist;Developer, back-end;Engineering manager;Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,50000000.0,Monthly,Bash/Shell;Clojure;JavaScript;Python;Rust;TypeScript,Bash/Shell;Clojure;F#;Python;Rust;TypeScript,Cloud Firestore;PostgreSQL,Cloud Firestore;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Firebase;Google Cloud;Linode;Microsoft Azure,AWS;Firebase;Google Cloud,FastAPI;Fastify;Node.js,FastAPI;Fastify;Node.js,Apache Spark;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Apache Spark;NumPy;Scikit-learn;TensorFlow;Torch/PyTorch,Docker;Homebrew;npm;Terraform;Yarn,Docker;Homebrew;Kubernetes;npm;Terraform;Yarn,Neovim,Neovim,Linux-based;macOS,macOS,Git,Command-line,,,Airtable;Notion;Trello,Airtable,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",No,,,,,,,,,,,,,,,,,,,,Too long,Easy,40956.0
1770,1771,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,,,10,2,"Engineer, data;Developer, desktop or enterprise applications;DevOps specialist;System administrator",2 to 9 employees,I have some influence,Start a free trial;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,,Monthly,C#;HTML/CSS,JavaScript;Rust;TypeScript,,,DigitalOcean,DigitalOcean;Managed Hosting,Deno,Deno,,,Yarn,,Vim;Visual Studio Code,Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Command-line;Dedicated version control GUI application,,,,,Google Chat;Microsoft Teams;Zoom,,Very unfavorable,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,,Asian;Southeast Asian,None of the above,Prefer not to say,Yes,Independent contributor,2.0,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,Less than 15 minutes a day,Just right,Innersource initiative,No,Yes,Yes,Appropriate in length,Neither easy nor difficult,
2809,2810,"I used to be a developer by profession, but no longer am","Not employed, but looking for work",,,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum",,8,,"Developer, game or graphics;Designer",,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,C++;HTML/CSS;Java;JavaScript;Python;TypeScript,C++;Python;Rust,,,Google Cloud,Google Cloud,,,Electron;React Native,,npm;Unity 3D;Unreal Engine,,Nano;Visual Studio;Visual Studio Code,Nano;Visual Studio;Visual Studio Code,Windows,Linux-based;Windows,Git,Command-line;Dedicated version control GUI application,,,Notion,Notion,Microsoft Teams;Slack;Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too short,Easy,
2859,2860,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial;Coding sessions (live or recorded)",,10,2,"Developer, full-stack;Developer, back-end",20 to 99 employees,I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,10000000.0,Monthly,C;Go;Haskell;JavaScript;Rust;SQL;TypeScript,C;Clojure;Haskell;OCaml;Rust;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,Heroku,AWS;DigitalOcean,Express;Fastify;Gatsby;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,Deno,GTK;Qt,Electron;Flutter;GTK;Ionic;Qt;React Native,Docker;npm;Yarn,Docker,Android Studio;Atom;Neovim;Vim;Visual Studio;Visual Studio Code;Webstorm,Neovim,Windows Subsystem for Linux (WSL),Linux-based,Git,Command-line,,,ClickUp;Confluence;Jira Work Management,,Slack,Mattermost;Rocketchat;Slack;Wire,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,5.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Just right,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,Yes,No,Too long,Easy,8196.0
2931,2932,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);Online forum;Coding sessions (live or recorded)",,5,4,"Developer, back-end",2 to 9 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,,,Bash/Shell;Go;Python;Rust;SQL,Rust,Elasticsearch;PostgreSQL;Redis;SQLite,PostgreSQL,AWS;Google Cloud,AWS,,,,,Ansible;Docker;Kubernetes;Terraform,Kubernetes,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Linux-based,Git,Command-line,,,Confluence;Trello,,Slack,,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,4.0,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,10+ times a week,3-5 times a week,15-30 minutes a day,15-30 minutes a day,Somewhat short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools,No,No,Yes,Appropriate in length,Neither easy nor difficult,
3006,3007,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses,Udacity,12,4,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indonesia,IDR	Indonesian rupiah,,Monthly,Bash/Shell;C;C#;C++;Go;Java;Kotlin;Lua;Python;Rust;SQL,Go;Kotlin;Rust;SQL,Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,MySQL;Redis;SQLite,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Linode;Oracle Cloud Infrastructure;OVH,AWS;Firebase;Google Cloud;Oracle Cloud Infrastructure,Express;FastAPI;Flask;Node.js;React.js,React.js,.NET;Flutter;GTK;Keras;NumPy;Pandas;Qt;Scikit-learn;TensorFlow,,Docker;Homebrew;Kubernetes;npm;Yarn,Docker;Homebrew;Kubernetes,Android Studio;GoLand;IPython/Jupyter;Neovim;Qt Creator;Visual Studio;Visual Studio Code,Android Studio;Visual Studio Code,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack,Slack,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,No,,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,4.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,Less than 15 minutes a day,Somewhat short,Innersource initiative;DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,No,No,Appropriate in length,Neither easy nor difficult,
3074,3075,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded),Udemy,17,10,"Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,IDR	Indonesian rupiah,190000000.0,Yearly,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,AWS,AWS,Angular;Express;Node.js,Express;Next.js;Node.js;Svelte,Spring,Flutter;Spring,Docker;Kubernetes,Docker;Kubernetes;Pulumi,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),,Git,Code editor;Command-line;Version control hosting service web GUI,,,Asana;Confluence;Jira Work Management;Trello,Confluence;Jira Work Management;Trello,Microsoft Teams;Rocketchat;Zoom,Zoom,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,12.0,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Never,1-2 times a week,Never,60-120 minutes a day,15-30 minutes a day,Just right,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools,No,Yes,Yes,Appropriate in length,Neither easy nor difficult,12971.0
3098,3099,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague;Other (please specify):","Technical documentation;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",,Less than 1 year,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,,,,C,C;Java,,,,,,,,,,,Visual Studio Code,Visual Studio Code,,Windows,Git,,,,Notion,,Zoom,Microsoft Teams;Zoom,Favorable,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Under 18 years old,Woman,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
3133,3134,I am a developer by profession,"Employed, full-time",Full in-person,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,12,8,"Developer, full-stack;Database administrator",100 to 499 employees,I have a great deal of influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,10000000.0,Monthly,C#;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,MySQL;Oracle,DigitalOcean,AWS;DigitalOcean,Laravel,Laravel,.NET,.NET,Docker,Docker,Sublime Text;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Dedicated version control GUI application,,,Asana,Asana,Zoom,,Very unfavorable,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,10.0,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,6-10 times a week,6-10 times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,Just right,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Yes,Yes,Yes,Appropriate in length,Easy,8196.0
3144,3145,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos",Udemy;Other,15,6,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end","5,000 to 9,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indonesia,IDR	Indonesian rupiah,16700000.0,Monthly,Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Elixir;Go;HTML/CSS;Kotlin;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MySQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud;Heroku;Linode;Managed Hosting,DigitalOcean;Google Cloud,Angular.js;Django;Express;Flask;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js;Ruby on Rails;Symfony;Vue.js,Next.js;Node.js;Nuxt.js;Phoenix;React.js;Svelte;Vue.js,,,Ansible;Docker;Kubernetes;npm;Yarn,Ansible;Docker;Kubernetes;npm;Yarn,Android Studio;GoLand;PhpStorm;PyCharm;RubyMine;Sublime Text;Visual Studio Code;Webstorm,GoLand;PyCharm;Visual Studio Code;Webstorm,Linux-based;macOS;Windows Subsystem for Linux (WSL),Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,Confluence;Jira Work Management;Notion,Confluence;Jira Work Management;Notion,Google Chat;Slack;Zoom,Slack;Zoom,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,6.0,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,1-2 times a week,6-10 times a week,Never,Less than 15 minutes a day,60-120 minutes a day,Somewhat short,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,13680.0
