languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
C#; JavaScript; SQL,C#; Elixir,SQL Server; MySQL; PostgreSQL; SQLite,PostgreSQL,AngularJS; Node.js; React; .NET Core,.NET Core
C++; C#; JavaScript; PHP; SQL; VB.NET; VBA,C; C++; C#; Java; JavaScript; PHP; Python; Ruby; Scala; SQL,SQL Server; MySQL; PostgreSQL; Oracle,MongoDB; SQL Server; MySQL; PostgreSQL; SQLite,AngularJS; Hadoop; Node.js,AngularJS; Node.js; React; Cordova; Xamarin; .NET Core
Python,JavaScript; Python,,Cassandra; Redis; MySQL,,Hadoop; Spark
C; C++; C#; PHP; SQL,JavaScript,MySQL,Cassandra,,Node.js
JavaScript; PHP; SQL,JavaScript; PHP; SQL,MySQL,Redis; MySQL,,Node.js; React
C#; JavaScript,Go; Lua; Python; TypeScript,,MongoDB; Redis; MySQL,AngularJS; .NET Core,Hadoop; Node.js; Spark
C#,JavaScript; PHP,MySQL,MySQL,,
,C#; PHP; VB.NET,,SQL Server; MySQL,,
C#; SQL; VB.NET,C#; JavaScript; PHP; R; SQL; VB.NET,SQL Server; MySQL,SQL Server; MySQL,,
C; C++; C#; Java; JavaScript; SQL,C++; C#; Java; JavaScript; Objective-C; SQL,SQL Server,Redis; SQL Server,Node.js; React; Xamarin; .NET Core,Node.js; React; .NET Core
C#; JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; SQL,,MongoDB; SQL Server; PostgreSQL; Oracle,,AngularJS; Node.js; React; Xamarin; .NET Core
C++; C#; JavaScript; PHP; SQL,Assembly; C; C++; C#; Java; JavaScript; PHP; Python; SQL,SQL Server; MySQL,SQL Server; MySQL; Oracle,AngularJS; Xamarin; .NET Core,AngularJS; Xamarin; .NET Core
JavaScript; PHP; Python; SQL,Go; JavaScript; PHP; SQL,MongoDB; MySQL,MongoDB; MySQL,Node.js,Node.js; React
C; Java; SQL,C; Java; Scala; SQL,Redis; MySQL; Oracle; SQLite,Redis; MySQL; PostgreSQL; Oracle; SQLite,Hadoop,Hadoop; Spark
Go; JavaScript; Perl; PHP; SQL,C++; Go; JavaScript; SQL,MongoDB; Redis; PostgreSQL,Redis; MySQL; PostgreSQL,Firebase,
C; C++; C#; Go; Java; JavaScript; Perl; PHP; SQL,Go,MongoDB; Redis; SQL Server; MySQL; PostgreSQL; SQLite,MySQL; PostgreSQL,,React
C++; Java; PHP; SQL; VB.NET,Java; SQL; VB.NET,MySQL; SQLite,MySQL; SQLite,,
Java; JavaScript,,MySQL; SQLite,,AngularJS; Node.js; Cordova,
JavaScript; PHP; SQL,C#; PHP; Python; SQL,MySQL,MySQL,,
C; C++; JavaScript; PHP; Python,,MySQL,,Node.js,AngularJS; Firebase
,,Redis; MySQL,MongoDB; Redis,AngularJS; Node.js; React,AngularJS; Node.js
PHP; SQL,Groovy; Java; JavaScript; PHP; SQL,MySQL,MongoDB; MySQL,,
Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,SQL Server; MySQL,,,
