Date,"C Sharp (bahasa pemrograman)"
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,92
2021-03,642
2021-04,500
2021-05,329
2021-06,534
2021-07,503
2021-08,695
2021-09,1013
2021-10,745
2021-11,621
2021-12,489
2022-01,422
2022-02,508
2022-03,604
2022-04,388
2022-05,408
2022-06,384
2022-07,449
2022-08,700
2022-09,958
2022-10,805
2022-11,552
2022-12,612
2023-01,674
2023-02,429
2023-03,641
2023-04,416
2023-05,481
2023-06,455
2023-07,533
2023-08,527
2023-09,432
2023-10,460
2023-11,569
2023-12,464
2024-01,404
2024-02,289
2024-03,349
2024-04,242
2024-05,352
2024-06,308
2024-07,381
2024-08,354
2024-09,354
