Date,"Ada (bahasa pemrograman)","MariaDB","Solidity","Swift (bahasa pemrograman)","Kotlin (bahasa pemrograman)","Perl","Scratch (bahasa pemrograman)","R (bahasa pemrograman)","Scala (bahasa pemrograman)","Rust (bahasa pemrograman)"
2015-07,135,141,0,63,0,348,90,133,0,0
2015-08,170,208,0,81,0,498,100,156,0,0
2015-09,254,178,0,94,0,570,151,623,0,0
2015-10,242,272,0,96,0,585,654,688,0,0
2015-11,306,280,0,118,0,656,180,686,0,0
2015-12,218,309,0,175,0,461,153,635,0,0
2016-01,241,328,0,116,0,520,140,695,0,0
2016-02,217,351,0,96,0,419,144,400,0,0
2016-03,205,422,0,147,0,504,145,795,0,0
2016-04,238,378,0,249,0,425,211,765,0,0
2016-05,167,350,0,130,0,384,212,621,0,0
2016-06,237,260,0,114,0,296,125,235,0,0
2016-07,425,177,0,101,0,379,142,573,0,0
2016-08,385,307,0,150,0,697,341,684,0,0
2016-09,350,365,0,181,0,489,665,750,0,0
2016-10,371,448,0,220,0,596,605,1012,0,0
2016-11,332,598,0,211,0,554,490,913,0,0
2016-12,508,347,0,135,0,421,331,739,0,0
2017-01,403,328,0,200,0,370,356,578,0,0
2017-02,235,325,0,182,0,495,376,612,39,0
2017-03,255,424,0,211,0,537,356,858,89,0
2017-04,188,377,0,219,0,486,358,1028,95,0
2017-05,158,366,0,171,0,494,364,714,114,0
2017-06,103,195,0,211,0,287,243,789,59,0
2017-07,151,296,0,163,0,422,437,730,119,30
2017-08,302,339,0,225,0,522,638,713,77,47
2017-09,273,412,0,239,0,484,875,1269,60,35
2017-10,261,436,0,369,0,619,1033,1855,100,43
2017-11,195,492,0,208,0,499,572,1101,73,48
2017-12,150,347,0,155,136,376,425,1116,50,39
2018-01,163,288,0,184,244,350,403,725,70,70
2018-02,217,371,0,143,203,387,318,820,46,42
2018-03,243,408,0,165,332,428,449,1147,92,90
2018-04,206,432,0,176,338,403,452,1201,66,72
2018-05,170,349,0,177,252,487,394,1000,62,66
2018-06,119,203,22,166,182,233,229,507,55,53
2018-07,198,291,28,206,256,451,562,668,74,57
2018-08,254,399,39,237,310,488,542,1094,80,59
2018-09,307,370,90,203,399,471,1066,1171,81,75
2018-10,402,402,59,240,462,583,1355,1266,76,109
2018-11,268,352,58,258,473,444,742,907,52,90
2018-12,207,287,18,187,320,403,700,841,59,84
2019-01,188,370,57,251,389,412,622,722,54,87
2019-02,265,309,32,177,388,311,701,866,70,93
2019-03,280,447,43,349,466,419,557,1154,74,144
2019-04,254,370,41,241,381,429,633,1005,100,267
2019-05,140,350,28,206,454,326,624,868,70,203
2019-06,124,232,23,214,355,212,376,659,62,103
2019-07,161,421,50,311,598,308,1268,987,79,141
2019-08,192,485,29,418,766,562,1059,1168,118,182
2019-09,249,647,25,467,985,581,1463,1814,93,157
2019-10,314,530,32,459,807,688,1739,1764,104,155
2019-11,180,514,45,440,596,499,1377,2101,137,155
2019-12,140,310,24,309,587,356,1131,1206,98,272
2020-01,173,365,36,270,581,363,2952,1005,117,240
2020-02,196,353,29,278,486,399,2003,976,118,237
2020-03,282,462,37,326,582,366,4266,1060,97,176
2020-04,182,422,40,271,927,400,3630,976,94,206
2020-05,70,285,29,201,734,279,2236,612,94,170
2020-06,94,218,66,261,731,260,2136,562,115,201
2020-07,105,264,35,157,689,242,965,588,134,182
2020-08,96,222,38,203,490,215,1036,603,178,162
2020-09,165,279,35,246,692,329,1515,907,403,128
2020-10,164,514,43,215,590,384,1472,1087,1466,215
2020-11,148,355,60,184,381,368,2199,823,2078,137
2020-12,155,311,55,153,365,324,1389,892,2310,141
2021-01,95,215,62,182,392,266,2946,831,1383,177
2021-02,128,175,70,204,379,268,3908,827,125,151
2021-03,201,297,101,217,441,326,4212,991,99,148
2021-04,120,188,89,135,300,210,1992,898,80,116
2021-05,76,133,129,115,177,145,1360,594,83,105
2021-06,64,135,147,143,266,187,3072,629,104,98
2021-07,84,183,110,185,383,265,787,730,121,222
2021-08,71,251,123,237,286,257,1471,679,95,187
2021-09,140,268,130,259,463,410,2059,1111,148,188
2021-10,109,342,157,308,464,366,2055,832,138,191
2021-11,91,195,152,227,286,367,1982,706,107,181
2021-12,76,185,162,196,232,270,1930,656,158,218
2022-01,65,169,335,159,231,203,2042,564,86,173
2022-02,79,212,275,221,183,194,3205,583,1361,169
2022-03,75,264,187,171,198,292,4047,630,1856,130
2022-04,75,187,168,188,196,250,2167,651,2220,134
2022-05,73,103,105,80,173,195,1968,417,1947,117
2022-06,71,129,89,140,256,274,1968,405,1287,165
2022-07,74,167,113,90,243,244,1365,484,1070,241
2022-08,76,136,78,151,241,284,1893,535,629,186
2022-09,98,162,136,139,343,274,1768,695,672,204
2022-10,102,195,70,172,247,293,2539,640,950,310
2022-11,135,180,71,154,241,268,3045,406,1024,205
2022-12,47,93,65,100,239,203,1554,321,1791,177
2023-01,73,1222,75,115,226,237,2785,541,2625,188
2023-02,61,257,65,92,202,254,3712,569,1897,183
2023-03,91,294,84,109,200,260,4646,528,1101,199
2023-04,44,98,47,73,135,147,2480,415,216,135
2023-05,76,125,62,78,251,209,8079,442,88,196
2023-06,121,248,55,90,228,228,6190,423,75,212
2023-07,95,91,62,83,203,235,2052,320,111,150
2023-08,110,127,82,94,212,267,3776,370,100,162
2023-09,102,87,43,104,277,309,3076,404,93,179
2023-10,142,146,39,96,253,260,3843,346,100,212
2023-11,83,154,69,111,205,314,3241,268,410,216
2023-12,98,71,81,88,175,187,3094,322,575,157
2024-01,82,126,105,84,171,265,11795,304,187,199
2024-02,100,65,74,60,187,220,13036,305,81,156
2024-03,1453,125,121,79,269,276,15354,560,88,206
2024-04,1272,88,100,93,184,152,15183,1661,71,223
2024-05,776,106,70,103,338,227,11932,2710,78,218
2024-06,215,98,60,55,275,242,6388,1965,35,168
2024-07,91,85,39,69,294,249,2202,1527,71,208
2024-08,85,80,75,98,260,213,2496,1398,82,186
2024-09,97,83,45,120,388,286,3498,1731,111,224
