Date,"MATLAB","SQLite","Bash (syel Unix)","Bahasa rakitan","PowerShell","FoxPro","Embarcadero Delphi","Visual FoxPro","Unity (mesin permainan)","Arduino"
2015-07,561,294,0,694,6,13,327,315,0,954
2015-08,582,365,0,1435,5,23,516,547,0,1390
2015-09,1639,326,0,2720,9,36,527,706,0,1815
2015-10,1701,384,0,3047,5,39,659,729,0,1997
2015-11,1468,493,0,2099,15,37,633,600,0,1713
2015-12,1084,416,0,1316,8,31,401,498,0,1970
2016-01,1001,472,0,1491,4,30,468,751,0,2279
2016-02,1339,333,0,1332,8,29,415,651,0,1952
2016-03,1938,433,0,1928,8,53,709,784,0,3105
2016-04,1491,573,0,1757,6,37,581,696,0,2729
2016-05,1069,464,0,1499,10,30,460,592,0,2474
2016-06,979,371,0,976,3,18,286,345,0,2367
2016-07,487,191,0,671,2,12,290,317,0,2028
2016-08,840,286,0,1429,3,12,435,536,0,2807
2016-09,1578,294,0,1828,15,23,514,544,0,3625
2016-10,1494,421,0,2165,9,25,572,700,0,4233
2016-11,1337,335,0,1837,5,21,613,646,0,3654
2016-12,1075,383,0,1414,1,31,447,475,0,3010
2017-01,883,452,0,1554,4,23,441,539,0,3244
2017-02,1019,332,0,1389,12,30,428,759,0,3059
2017-03,1646,412,0,2060,5,20,619,684,0,3550
2017-04,1368,396,0,1855,5,29,676,621,0,3879
2017-05,1471,416,0,1583,6,16,487,585,0,3540
2017-06,815,273,0,932,7,9,343,284,0,2394
2017-07,833,312,0,1224,7,26,464,418,0,3109
2017-08,949,238,0,1305,22,15,379,459,0,3762
2017-09,2153,279,0,1701,7,19,644,669,0,4139
2017-10,1789,314,0,2078,10,24,814,722,0,5360
2017-11,1675,351,0,1663,7,15,660,841,0,5152
2017-12,1194,325,0,1190,5,19,515,629,0,3701
2018-01,1135,437,0,1117,8,14,532,551,0,5079
2018-02,1097,273,0,884,5,8,517,478,0,4018
2018-03,1586,321,0,1444,8,32,826,666,0,5179
2018-04,1214,439,0,1303,19,17,823,562,0,4586
2018-05,1220,410,0,944,10,17,622,454,0,4411
2018-06,614,204,0,533,6,20,238,293,0,2048
2018-07,974,407,0,1086,8,15,451,488,0,3570
2018-08,1082,353,0,1060,10,26,432,405,0,3986
2018-09,2054,505,0,1893,12,20,531,653,0,4541
2018-10,1895,418,0,1924,14,29,658,675,0,4631
2018-11,1387,442,0,1437,9,14,520,727,0,4175
2018-12,1406,439,0,1163,7,11,423,454,0,3164
2019-01,1087,430,0,1255,5,24,432,521,0,4236
2019-02,1328,337,0,1004,6,18,529,503,0,3201
2019-03,1761,464,0,1369,5,17,722,651,0,3900
2019-04,1431,388,0,1476,6,16,887,905,0,3535
2019-05,1167,440,0,1130,5,12,475,447,0,3618
2019-06,767,264,0,749,1,40,399,5664,0,2194
2019-07,1036,398,0,1208,7,20,539,793,0,3847
2019-08,1001,378,0,1443,7,15,676,553,0,4096
2019-09,2257,375,0,2397,8,31,757,653,0,4418
2019-10,1938,463,0,2629,7,21,750,750,0,5041
2019-11,1363,465,0,1969,8,19,676,637,0,4620
2019-12,1138,411,0,1658,14,8,544,512,0,4151
2020-01,867,490,0,2091,6,18,521,506,0,4256
2020-02,1374,332,0,1335,7,7,742,529,0,4010
2020-03,1301,358,0,1999,5,4,848,642,0,4967
2020-04,908,422,0,1973,11,7,851,467,0,4082
2020-05,764,272,0,1231,6,5,435,343,0,2901
2020-06,805,295,0,1608,7,8,641,416,0,5009
2020-07,630,354,0,1162,11,6,453,327,0,3097
2020-08,450,206,0,1436,15,7,414,204,0,3633
2020-09,1362,176,0,2317,13,14,401,424,0,4644
2020-10,1695,279,0,2777,18,15,494,519,0,4871
2020-11,1449,260,0,2264,14,4,601,636,0,5136
2020-12,1184,253,0,2239,14,2,448,420,0,5180
2021-01,840,352,0,1993,13,1,393,331,248,4338
2021-02,789,199,0,1492,14,11,264,287,298,3758
2021-03,1049,315,0,2862,22,8,512,370,396,5573
2021-04,704,225,0,1688,10,6,417,225,416,3360
2021-05,388,170,0,889,11,4,258,156,360,2359
2021-06,629,373,0,2010,10,6,368,280,461,4683
2021-07,571,397,0,1174,9,3,354,238,763,3393
2021-08,579,239,0,1103,15,3,320,194,1036,4130
2021-09,1347,269,0,1713,12,5,428,293,761,4973
2021-10,986,304,0,2124,13,4,544,340,776,4877
2021-11,584,248,0,1350,11,4,407,418,583,4501
