Date,"Java"
2015-07,2977
2015-08,4984
2015-09,6450
2015-10,6561
2015-11,5726
2015-12,5070
2016-01,5233
2016-02,4427
2016-03,6123
2016-04,5023
2016-05,4384
2016-06,3574
2016-07,3926
2016-08,5030
2016-09,6384
2016-10,7048
2016-11,5450
2016-12,4297
2017-01,4272
2017-02,4093
2017-03,5509
2017-04,4899
2017-05,4453
2017-06,2997
2017-07,4197
2017-08,5062
2017-09,5767
2017-10,5838
2017-11,5448
2017-12,4191
2018-01,4769
2018-02,3515
2018-03,5164
2018-04,4692
2018-05,3694
2018-06,2541
2018-07,4696
2018-08,5344
2018-09,6373
2018-10,6295
2018-11,4970
2018-12,3750
2019-01,4045
2019-02,3433
2019-03,4310
2019-04,4711
2019-05,3478
2019-06,2515
2019-07,4905
2019-08,5439
2019-09,7059
2019-10,6692
2019-11,5206
2019-12,4258
2020-01,4012
2020-02,3741
2020-03,4484
2020-04,4735
2020-05,3048
2020-06,3493
2020-07,3565
2020-08,3847
2020-09,7263
2020-10,6565
2020-11,4151
2020-12,4646
2021-01,2925
2021-02,2675
2021-03,4406
2021-04,2720
2021-05,1796
2021-06,3299
2021-07,2776
2021-08,3296
2021-09,5754
2021-10,4346
2021-11,3453
2021-12,2912
2022-01,2143
2022-02,2111
2022-03,3116
2022-04,2006
2022-05,2151
2022-06,2110
2022-07,2061
2022-08,2656
2022-09,3834
2022-10,3975
2022-11,2617
2022-12,2072
2023-01,2311
2023-02,2305
2023-03,2987
2023-04,1422
2023-05,2139
2023-06,2621
2023-07,2208
2023-08,2534
2023-09,2875
2023-10,3011
2023-11,2709
2023-12,3066
2024-01,3277
2024-02,2342
2024-03,3236
2024-04,2625
2024-05,2941
2024-06,2110
2024-07,1936
2024-08,1585
2024-09,1843
