Date,"JavaScript"
2015-07,2446
2015-08,2838
2015-09,3290
2015-10,3987
2015-11,3831
2015-12,3142
2016-01,3740
2016-02,3239
2016-03,4296
2016-04,4298
2016-05,4025
2016-06,3271
2016-07,3015
2016-08,3428
2016-09,3519
2016-10,4192
2016-11,3919
2016-12,3180
2017-01,3474
2017-02,3346
2017-03,3358
2017-04,3956
2017-05,3946
2017-06,2650
2017-07,3194
2017-08,3542
2017-09,3275
2017-10,3637
2017-11,3327
2017-12,2803
2018-01,3214
2018-02,2443
2018-03,3194
2018-04,2968
2018-05,2825
2018-06,2113
2018-07,2919
2018-08,2957
2018-09,3330
2018-10,3618
2018-11,3130
2018-12,2725
2019-01,3198
2019-02,2546
2019-03,2562
2019-04,2596
2019-05,2296
2019-06,1900
2019-07,2566
2019-08,2355
2019-09,2560
2019-10,2817
2019-11,2584
2019-12,2187
2020-01,2367
2020-02,2185
2020-03,2566
2020-04,3049
2020-05,2295
2020-06,2575
2020-07,2773
2020-08,2303
2020-09,3019
2020-10,6973
2020-11,9450
2020-12,9332
2021-01,5275
2021-02,1960
2021-03,2677
2021-04,1950
2021-05,1732
2021-06,2136
2021-07,5630
2021-08,6707
2021-09,7828
2021-10,11713
2021-11,13008
2021-12,12878
2022-01,13760
2022-02,15152
2022-03,17321
2022-04,17437
2022-05,14219
2022-06,16358
2022-07,15815
2022-08,15929
2022-09,20508
2022-10,21249
2022-11,17777
2022-12,14623
2023-01,13353
2023-02,10299
2023-03,11293
2023-04,6389
2023-05,5574
2023-06,7240
2023-07,7095
2023-08,6363
2023-09,3188
2023-10,1861
2023-11,2581
2023-12,2357
2024-01,1581
2024-02,1181
2024-03,1937
2024-04,1794
2024-05,2697
2024-06,2508
2024-07,2747
2024-08,2385
2024-09,2148
