Date,"Node.js"
2015-07,367
2015-08,384
2015-09,379
2015-10,424
2015-11,420
2015-12,423
2016-01,417
2016-02,460
2016-03,473
2016-04,485
2016-05,487
2016-06,459
2016-07,453
2016-08,542
2016-09,522
2016-10,696
2016-11,637
2016-12,583
2017-01,633
2017-02,655
2017-03,741
2017-04,748
2017-05,799
2017-06,746
2017-07,917
2017-08,853
2017-09,926
2017-10,1029
2017-11,883
2017-12,620
2018-01,687
2018-02,569
2018-03,777
2018-04,744
2018-05,694
2018-06,623
2018-07,755
2018-08,842
2018-09,796
2018-10,781
2018-11,748
2018-12,751
2019-01,984
2019-02,682
2019-03,685
2019-04,754
2019-05,720
2019-06,740
2019-07,1073
2019-08,1011
2019-09,1102
2019-10,1115
2019-11,1006
2019-12,860
2020-01,912
2020-02,941
2020-03,1031
2020-04,1093
2020-05,860
2020-06,777
2020-07,763
2020-08,698
2020-09,645
2020-10,769
2020-11,690
2020-12,776
2021-01,910
2021-02,755
2021-03,829
2021-04,725
2021-05,538
2021-06,537
2021-07,883
2021-08,892
2021-09,820
2021-10,732
2021-11,844
2021-12,788
2022-01,844
2022-02,737
2022-03,821
2022-04,624
2022-05,765
2022-06,743
2022-07,842
2022-08,740
2022-09,760
2022-10,587
2022-11,572
2022-12,463
2023-01,476
2023-02,486
2023-03,491
2023-04,331
2023-05,326
2023-06,352
2023-07,253
2023-08,359
2023-09,318
2023-10,341
2023-11,431
2023-12,469
2024-01,493
2024-02,432
2024-03,430
2024-04,375
2024-05,593
2024-06,411
2024-07,410
2024-08,342
2024-09,350
