Date,"Stata","VBScript"
2015-07,47,173
2015-08,53,310
2015-09,88,400
2015-10,66,283
2015-11,78,306
2015-12,46,215
2016-01,53,259
2016-02,50,212
2016-03,126,313
2016-04,76,235
2016-05,51,223
2016-06,46,165
2016-07,33,199
2016-08,25,297
2016-09,66,341
2016-10,119,368
2016-11,76,287
2016-12,102,273
2017-01,131,274
2017-02,117,237
2017-03,105,280
2017-04,96,259
2017-05,109,249
2017-06,67,145
2017-07,88,173
2017-08,75,341
2017-09,152,350
2017-10,114,340
2017-11,111,213
2017-12,94,234
2018-01,65,229
2018-02,85,229
2018-03,106,270
2018-04,122,220
2018-05,103,213
2018-06,61,180
2018-07,98,209
2018-08,112,245
2018-09,96,245
2018-10,120,234
2018-11,162,230
2018-12,111,193
2019-01,98,176
2019-02,123,127
2019-03,137,212
2019-04,104,188
2019-05,117,135
2019-06,95,102
2019-07,119,170
2019-08,106,213
2019-09,153,164
2019-10,174,198
2019-11,118,213
2019-12,128,181
2020-01,135,179
2020-02,145,133
2020-03,168,140
2020-04,201,192
2020-05,170,117
2020-06,101,116
2020-07,141,117
2020-08,97,100
2020-09,177,114
2020-10,171,137
2020-11,135,145
2020-12,176,110
2021-01,160,133
2021-02,117,119
2021-03,133,130
2021-04,106,110
2021-05,76,79
2021-06,108,103
2021-07,90,74
2021-08,110,84
2021-09,130,112
2021-10,211,99
2021-11,102,128
2021-12,122,124
2022-01,79,99
2022-02,60,118
2022-03,91,94
2022-04,70,110
2022-05,58,105
2022-06,70,113
2022-07,59,95
2022-08,59,93
2022-09,83,131
2022-10,80,129
2022-11,76,127
2022-12,77,122
2023-01,47,114
2023-02,80,100
2023-03,180,131
2023-04,50,73
2023-05,145,96
2023-06,74,109
2023-07,50,227
2023-08,70,257
2023-09,176,130
2023-10,84,176
2023-11,115,160
2023-12,52,99
2024-01,40,122
2024-02,52,114
2024-03,98,126
2024-04,67,117
2024-05,173,110
2024-06,128,76
2024-07,93,94
2024-08,72,111
2024-09,68,101
2024-10,86,80
