Date,"C Sharp (bahasa pemrograman)","Dart (bahasa pemrograman)","JavaScript","Java","Node.js","PHP","Visual Basic"
2015-07,0,0,2446,2977,367,5034,3169
2015-08,0,0,2838,4984,384,7669,6404
2015-09,0,0,3290,6450,379,7466,6517
2015-10,0,0,3987,6561,424,9579,7767
2015-11,0,0,3831,5726,420,9131,6271
2015-12,0,0,3142,5070,423,6553,5268
2016-01,0,0,3740,5233,417,6546,5495
2016-02,0,0,3239,4427,460,5797,4967
2016-03,0,0,4296,6123,473,7393,6900
2016-04,0,0,4298,5023,485,7243,7610
2016-05,0,0,4025,4384,487,6440,7092
2016-06,0,0,3271,3574,459,4634,5278
2016-07,0,0,3015,3926,453,4785,5208
2016-08,0,0,3428,5030,542,6454,7514
2016-09,0,0,3519,6384,522,6900,7431
2016-10,0,0,4192,7048,696,7756,8880
2016-11,0,0,3919,5450,637,6926,7062
2016-12,0,0,3180,4297,583,5570,6393
2017-01,0,0,3474,4272,633,6204,6766
2017-02,0,0,3346,4093,655,5643,5694
2017-03,0,0,3358,5509,741,6382,8251
2017-04,0,0,3956,4899,748,7096,7843
2017-05,0,0,3946,4453,799,6515,8189
2017-06,0,0,2650,2997,746,4570,4748
2017-07,0,0,3194,4197,917,5785,6236
2017-08,0,0,3542,5062,853,5963,7164
2017-09,0,0,3275,5767,926,5557,7391
2017-10,0,0,3637,5838,1029,5668,8951
2017-11,0,0,3327,5448,883,5455,6912
2017-12,0,0,2803,4191,620,4295,5974
2018-01,0,0,3214,4769,687,4418,6366
2018-02,0,0,2443,3515,569,3693,5472
2018-03,0,0,3194,5164,777,4315,7596
2018-04,0,0,2968,4692,744,4383,6566
2018-05,0,0,2825,3694,694,3861,5777
2018-06,0,0,2113,2541,623,2244,2332
2018-07,0,0,2919,4696,755,3843,4406
2018-08,0,0,2957,5344,842,4226,5348
2018-09,0,0,3330,6373,796,4359,6387
2018-10,0,0,3618,6295,781,5091,7375
2018-11,0,0,3130,4970,748,4512,5461
2018-12,0,0,2725,3750,751,3876,4777
2019-01,0,0,3198,4045,984,4306,5493
2019-02,0,0,2546,3433,682,3260,4619
2019-03,0,0,2562,4310,685,4296,6475
2019-04,0,0,2596,4711,754,4418,5060
2019-05,0,0,2296,3478,720,3628,4599
2019-06,0,2,1900,2515,740,3138,2766
2019-07,0,0,2566,4905,1073,4451,3913
2019-08,0,0,2355,5439,1011,4082,4959
2019-09,0,0,2560,7059,1102,4762,6006
2019-10,0,0,2817,6692,1115,5309,7378
2019-11,0,0,2584,5206,1006,4561,6866
2019-12,0,0,2187,4258,860,3428,4810
2020-01,0,0,2367,4012,912,3938,6224
2020-02,0,0,2185,3741,941,3582,4518
2020-03,0,0,2566,4484,1031,3895,8141
2020-04,0,0,3049,4735,1093,3825,7522
2020-05,0,0,2295,3048,860,2640,6528
2020-06,0,0,2575,3493,777,3199,8972
2020-07,0,0,2773,3565,763,3501,4170
2020-08,0,0,2303,3847,698,2735,4483
2020-09,0,0,3019,7263,645,3381,7145
2020-10,0,0,6973,6565,769,7566,8717
2020-11,0,0,9450,4151,690,4825,11295
2020-12,0,0,9332,4646,776,4440,8030
2021-01,0,0,5275,2925,910,3440,6505
2021-02,92,0,1960,2675,755,2179,5801
2021-03,642,0,2677,4406,829,3469,8957
2021-04,500,0,1950,2720,725,2584,4208
2021-05,329,0,1732,1796,538,1646,2746
2021-06,534,0,2136,3299,537,2455,6354
2021-07,503,0,5630,2776,883,3707,2894
2021-08,695,0,6707,3296,892,3490,3081
2021-09,1013,0,7828,5754,820,3745,4309
2021-10,745,0,11713,4346,732,3854,4854
2021-11,621,0,13008,3453,844,3347,5119
2021-12,489,0,12878,2912,788,2830,4318
2022-01,422,0,13760,2143,844,2607,2878
2022-02,508,0,15152,2111,737,2407,2923
2022-03,604,0,17321,3116,821,3127,4100
2022-04,388,0,17437,2006,624,2474,1946
2022-05,408,0,14219,2151,765,1796,2094
2022-06,384,0,16358,2110,743,2495,2634
2022-07,449,0,15815,2061,842,2170,2049
2022-08,700,0,15929,2656,740,2044,1622
2022-09,958,0,20508,3834,760,2547,2453
2022-10,805,0,21249,3975,587,5812,2172
2022-11,552,0,17777,2617,572,5612,2352
2022-12,612,0,14623,2072,463,2978,1454
2023-01,674,0,13353,2311,476,2440,1931
2023-02,429,0,10299,2305,486,1921,2077
2023-03,641,0,11293,2987,491,3455,2325
2023-04,416,73,6389,1422,331,1541,981
2023-05,481,136,5574,2139,326,2204,1756
2023-06,455,145,7240,2621,352,2433,1909
2023-07,533,159,7095,2208,253,1934,1412
2023-08,527,152,6363,2534,359,1649,1328
2023-09,432,205,3188,2875,318,1785,1610
2023-10,460,197,1861,3011,341,1778,1557
2023-11,569,186,2581,2709,431,1924,1592
2023-12,464,139,2357,3066,469,1845,1174
2024-01,404,158,1581,3277,493,2799,1656
2024-02,289,115,1181,2342,432,1769,1176
2024-03,349,146,1937,3236,430,2675,2061
2024-04,242,175,1794,2625,375,2178,1268
2024-05,352,233,2697,2941,593,2919,1758
2024-06,308,244,2508,2110,411,2662,1423
2024-07,381,327,2747,1936,410,2745,1941
2024-08,354,252,2385,1585,342,1703,1037
2024-09,354,228,2148,1843,350,1765,857
2024-10,310,170,2134,1577,399,1445,714
