Date,"PHP"
2015-07,5034
2015-08,7669
2015-09,7466
2015-10,9579
2015-11,9131
2015-12,6553
2016-01,6546
2016-02,5797
2016-03,7393
2016-04,7243
2016-05,6440
2016-06,4634
2016-07,4785
2016-08,6454
2016-09,6900
2016-10,7756
2016-11,6926
2016-12,5570
2017-01,6204
2017-02,5643
2017-03,6382
2017-04,7096
2017-05,6515
2017-06,4570
2017-07,5785
2017-08,5963
2017-09,5557
2017-10,5668
2017-11,5455
2017-12,4295
2018-01,4418
2018-02,3693
2018-03,4315
2018-04,4383
2018-05,3861
2018-06,2244
2018-07,3843
2018-08,4226
2018-09,4359
2018-10,5091
2018-11,4512
2018-12,3876
2019-01,4306
2019-02,3260
2019-03,4296
2019-04,4418
2019-05,3628
2019-06,3138
2019-07,4451
2019-08,4082
2019-09,4762
2019-10,5309
2019-11,4561
2019-12,3428
2020-01,3938
2020-02,3582
2020-03,3895
2020-04,3825
2020-05,2640
2020-06,3199
2020-07,3501
2020-08,2735
2020-09,3381
2020-10,7566
2020-11,4825
2020-12,4440
2021-01,3440
2021-02,2179
2021-03,3469
2021-04,2584
2021-05,1646
2021-06,2455
2021-07,3707
2021-08,3490
2021-09,3745
2021-10,3854
2021-11,3347
2021-12,2830
2022-01,2607
2022-02,2407
2022-03,3127
2022-04,2474
2022-05,1796
2022-06,2495
2022-07,2170
2022-08,2044
2022-09,2547
2022-10,5812
2022-11,5612
2022-12,2978
2023-01,2440
2023-02,1921
2023-03,3455
2023-04,1541
2023-05,2204
2023-06,2433
2023-07,1934
2023-08,1649
2023-09,1785
2023-10,1778
2023-11,1924
2023-12,1845
2024-01,2799
2024-02,1769
2024-03,2675
2024-04,2178
2024-05,2919
2024-06,2662
2024-07,2745
2024-08,1703
2024-09,1765
