Date,"Visual Basic"
2015-07,3169
2015-08,6404
2015-09,6517
2015-10,7767
2015-11,6271
2015-12,5268
2016-01,5495
2016-02,4967
2016-03,6900
2016-04,7610
2016-05,7092
2016-06,5278
2016-07,5208
2016-08,7514
2016-09,7431
2016-10,8880
2016-11,7062
2016-12,6393
2017-01,6766
2017-02,5694
2017-03,8251
2017-04,7843
2017-05,8189
2017-06,4748
2017-07,6236
2017-08,7164
2017-09,7391
2017-10,8951
2017-11,6912
2017-12,5974
2018-01,6366
2018-02,5472
2018-03,7596
2018-04,6566
2018-05,5777
2018-06,2332
2018-07,4406
2018-08,5348
2018-09,6387
2018-10,7375
2018-11,5461
2018-12,4777
2019-01,5493
2019-02,4619
2019-03,6475
2019-04,5060
2019-05,4599
2019-06,2766
2019-07,3913
2019-08,4959
2019-09,6006
2019-10,7378
2019-11,6866
2019-12,4810
2020-01,6224
2020-02,4518
2020-03,8141
2020-04,7522
2020-05,6528
2020-06,8972
2020-07,4170
2020-08,4483
2020-09,7145
2020-10,8717
2020-11,11295
2020-12,8030
2021-01,6505
2021-02,5801
2021-03,8957
2021-04,4208
2021-05,2746
2021-06,6354
2021-07,2894
2021-08,3081
2021-09,4309
2021-10,4854
2021-11,5119
2021-12,4318
2022-01,2878
2022-02,2923
2022-03,4100
2022-04,1946
2022-05,2094
2022-06,2634
2022-07,2049
2022-08,1622
2022-09,2453
2022-10,2172
2022-11,2352
2022-12,1454
2023-01,1931
2023-02,2077
2023-03,2325
2023-04,981
2023-05,1756
2023-06,1909
2023-07,1412
2023-08,1328
2023-09,1610
2023-10,1557
2023-11,1592
2023-12,1174
2024-01,1656
2024-02,1176
2024-03,2061
2024-04,1268
2024-05,1758
2024-06,1423
2024-07,1941
2024-08,1037
2024-09,857
